model,feature,gain,split,gain_share
real_20251016_to_20260213,w180_presence_rate,156.1553810119629,3.8,0.0013592540481897183
real_20251016_to_20260213,buygap_mean,150.95342025756835,5.2,0.0013139735963211198
real_20251016_to_20260213,w90_buyday_rate,150.93465995788574,5.6,0.0013138102973484966
real_20251016_to_20260213,w180_days_presence_only,145.6752788543701,5.4,0.001268030030222265
real_20251016_to_20260213,w7_days_cart,132.98826026916504,5.0,0.0011575959147941386
real_20251016_to_20260213,w14_aov,128.27795944213867,2.8,0.00111659511529664
real_20251016_to_20260213,trend_pres_7_14,127.64654026031494,5.4,0.001111098928912049
real_20251016_to_20260213,w30_days_cat,124.82385940551758,4.2,0.0010865289118318373
real_20251016_to_20260213,w60_buyday_rate,123.45714092254639,5.0,0.0010746323148738883
real_20251016_to_20260213,w90_srch_per_day,122.55229949951172,5.2,0.0010667561254063258
real_20251016_to_20260213,trend_gmv_30_60,119.93430042266846,4.8,0.0010439677602517268
real_20251016_to_20260213,w30_srch2cart,119.43112068176269,4.4,0.0010395878336980538
real_20251016_to_20260213,w30_gmv_per_day,101.70555953979492,3.2,0.0008852957396151206
real_20251016_to_20260213,dlog_buyd_30_60,100.07283935546874,3.6,0.0008710837316412398
real_20251016_to_20260213,w180_ponly_share,96.91252059936524,4.6,0.0008435747464563201
real_20251016_to_20260213,rec_buy,90.85053939819336,3.6,0.0007908082491742853
real_20251016_to_20260213,rec_over_buygap,89.9880802154541,3.0,0.0007833009757909433
real_20251016_to_20260213,w30_lgmv_std,88.14254112243653,3.8,0.0007672364862612207
real_20251016_to_20260213,w60_days_presence_only,86.06469993591308,3.4,0.0007491499238515593
real_20251016_to_20260213,w7_days_cat,80.76286125183105,3.0,0.0007030000848419432
real_20251016_to_20260213,trend_gmv_60_180,80.46998023986816,2.8,0.000700450702947009
real_20251016_to_20260213,w60_presence_rate,78.95605964660645,2.0,0.0006872727856591563
real_20251016_to_20260213,w180_carts,75.61470050811768,3.4,0.0006581879350058277
real_20251016_to_20260213,w7_carts,73.80240058898926,2.8,0.0006424127757660671
real_20251016_to_20260213,w30_days_present,71.3158992767334,3.0,0.0006207690325110467
real_20251016_to_20260213,w90_srch2cart,67.5351209640503,3.2,0.0005878592589667798
real_20251016_to_20260213,dlog_gmv_60_180,65.81842041015625,3.0,0.0005729162441165183
real_20251016_to_20260213,w14_srch2cart,63.37550010681152,2.8,0.0005516518516235577
real_20251016_to_20260213,w60_gmv_per_day,60.79375991821289,3.0,0.0005291791018535198
real_20251016_to_20260213,w30_srch_per_day,60.352199745178225,3.0,0.0005253355426445628
real_20251016_to_20260213,w90_gmv_max,57.12454090118408,2.8,0.000497240395865482
real_20251016_to_20260213,trend_srch_7_30,56.2944995880127,2.2,0.0004900153037310875
real_20251016_to_20260213,w60_searches,50.355919647216794,1.6,0.0004383229523518756
real_20251016_to_20260213,w7_srch2cart,49.82452049255371,1.6,0.0004336973899953337
real_20251016_to_20260213,trend_pres_7_30,45.08372077941895,1.6,0.0003924311130346863
real_20251016_to_20260213,w90_gmv_per_day,42.41952037811279,1.6,0.00036924058858912374
real_20251016_to_20260213,w180_searches,41.83882083892822,2.0,0.00036418589118258313
real_20251016_to_20260213,w90_gmv_cat,39.413759803771974,1.8,0.000343076954636293
real_20251016_to_20260213,w90_orders,35.86803970336914,1.2,0.00031221324459961496
real_20251016_to_20260213,w60_days_buy,35.614739990234376,1.4,0.0003100083980022547
real_20251016_to_20260213,w180_gmv_max,32.9256196975708,1.2,0.0002866009584367103
real_20251016_to_20260213,w180_gmv,31.49029998779297,1.0,0.0002741072223046679
real_20251016_to_20260213,w7_days_present,31.237180709838867,1.2,0.00027190394630479943
real_20251016_to_20260213,w60_orders,29.44725971221924,1.2,0.0002563235843205533
real_20251016_to_20260213,w7_days_presence_only,27.999739837646484,0.8,0.00024372365189044792
real_20251016_to_20260213,w7_ponly_share,27.039879608154298,0.8,0.00023536855138620328
real_20251016_to_20260213,dlog_gmv_7_30,26.53499984741211,1.2,0.00023097382701493552
real_20251016_to_20260213,buygap_cv,25.738200187683105,1.4,0.00022403808675376663
real_20251016_to_20260213,w30_searches,23.092139625549315,1.0,0.00020100546048416675
real_20251016_to_20260213,trend_srch_7_14,21.88833999633789,1.0,0.00019052699020276443
real_20251016_to_20260213,w14_gmv_max,20.878800201416016,1.0,0.00018173945406943674
real_20251016_to_20260213,w7_searches,19.910380172729493,1.0,0.0001733098448186398
real_20251016_to_20260213,w30_orders,19.646639823913574,0.6,0.00017101411773913852
real_20251016_to_20260213,w7_gmv_max,18.740380477905273,0.6,0.00016312558596528193
real_20251016_to_20260213,w30_gmv_cat,18.6970796585083,0.8,0.00016274867411201216
real_20251016_to_20260213,w30_presence_rate,18.090480041503906,0.6,0.0001574685295553517
real_20251016_to_20260213,w7_days_search,17.596879959106445,0.4,0.0001531719891105871
real_20251016_to_20260213,trend_pres_14_30,17.128420257568358,0.8,0.00014909428303601632
real_20251016_to_20260213,w14_days_present,14.393300247192382,0.8,0.0001252864390648666
real_20251016_to_20260213,w60_gmv_cat,14.351979827880859,0.4,0.00012492676559823287
real_20251016_to_20260213,w14_srch_per_day,14.222380065917969,0.6,0.00012379866485683744
real_20251016_to_20260213,w14_gmv,13.559260177612305,0.6,0.00011802653976724134
real_20251016_to_20260213,w60_gmv,13.311059951782227,0.6,0.00011586608164191238
real_20251016_to_20260213,w30_lgmv,12.244079971313477,0.4,0.00010657855758484239
real_20251016_to_20260213,trend_srch_14_30,11.671000289916993,0.6,0.00010159018720768728
real_20251016_to_20260213,w180_gmv_cat,11.531879806518555,0.6,0.0001003792133749575
real_20251016_to_20260213,w90_days_cat,10.859360504150391,0.4,9.452527111369388e-05
real_20251016_to_20260213,w90_lgmv,9.949219894409179,0.4,8.660295489125242e-05
real_20251016_to_20260213,w180_gmv_per_day,9.659300231933594,0.4,8.407935005409637e-05
real_20251016_to_20260213,w180_cat_gmv_share,9.527279663085938,0.4,8.293017740639403e-05
real_20251016_to_20260213,w7_cart2ord,9.4,0.4,8.182227195875191e-05
real_20251016_to_20260213,w90_days_buy,9.031660079956055,0.4,7.861605822352844e-05
real_20251016_to_20260213,w14_carts,8.234020233154297,0.4,7.167300455649113e-05
real_20251016_to_20260213,w7_gmv,7.870440292358398,0.4,6.850822404643273e-05
real_20251016_to_20260213,w14_lgmv_std,7.636199951171875,0.4,6.64692796953397e-05
real_20251016_to_20260213,w90_gmv,7.586639785766602,0.4,6.6037883383413e-05
real_20251016_to_20260213,dlog_buyd_14_30,7.34552001953125,0.4,6.393905709750453e-05
real_20251016_to_20260213,w90_cat_gmv_share,7.176359939575195,0.4,6.246660368615042e-05
real_20251016_to_20260213,w14_gmv_per_day,6.238919830322265,0.2,5.430665905164667e-05
real_20251016_to_20260213,w30_buyday_rate,6.0628398895263675,0.2,5.277397173225487e-05
real_20251016_to_20260213,w14_orders,5.991540145874024,0.2,5.215334332632813e-05
real_20251016_to_20260213,w14_buyday_rate,5.880239868164063,0.2,5.1184530391022914e-05
real_20251016_to_20260213,trend_gmv_14_30,4.441839981079101,0.2,3.866398286479911e-05
real_20251016_to_20260213,w30_cat_gmv_share,4.389319992065429,0.2,3.8206822777102586e-05
real_20251016_to_20260213,w14_cart2ord,4.362080001831055,0.2,3.79697123633674e-05
real_20251016_to_20260213,w60_lgmv,4.243080139160156,0.2,3.693387841373842e-05
real_20251016_to_20260213,dlog_gmv_7_14,3.901599884033203,0.2,3.396146455165953e-05
