file,LB_measured,E_public,E_full_test,E_private
SUBMIT_PRIVATE_V2,,1.646394244653172,1.6475976744714744,1.6478983946068977
SUBMIT_NEXT_BEST,1.6466079084,1.6465959868246474,1.6477735974007681,1.6480678685682448
SUBMIT_NEXT_AFTER_EXP069,,1.646607466386657,1.647783944190734,1.6480779324188202
SUBMIT_PRIVATE_OPTIMAL,1.6468136172663015,1.646815916118207,1.6478692477670442,1.6481324754931996
SUBMIT_v2_shrunk,1.6467120249048954,1.646717282732399,1.6479054819901142,1.6482023979638984
SUBMIT_PUBLIC_EB,1.6463246740442117,1.6463293318376175,1.6479263009569696,1.6483253014847907
anchor_diverse_A,1.6478377871880918,1.6478876084723437,1.6483498389850193,1.648465376361678
SUBMIT_v7_newmodel,1.6473311211432606,1.6473311211432606,1.64845133977704,1.648731275509784
PROBE_scale097,1.648022805918134,1.6478354086918676,1.6487019294957639,1.648918488546097
last (1).csv,1.64921756224069,1.6492190286547626,1.6492190286547626,1.6492190286547626
submission_extra90_3.csv,1.6492260257794873,1.6492251259197166,1.6492265260985635,1.6492268761430893
p15_d.csv,1.6492297154362745,1.6492355492851305,1.6492560774584626,1.649261209461872
submission_final6h_B.csv,1.649261256742314,1.6492706152761105,1.649266592541966,1.6492655868568968
submission_combo_candidate_1_ridge_drop_recent_hurdle_stable18_s075.csv,1.6492897556391737,1.649285187020391,1.6492819617388594,1.649281155417491
submission_extra90_2.csv,1.6493195368289055,1.6493094021485177,1.6493009099031095,1.649298786834925
submission_ZERO2D_SHRINK.csv,1.649547109893236,1.6495482532124968,1.6495765177487256,1.6495835838071118
submission_BLEND_20_v1_catboost_ridge_80_STRONGEST_CURRENT.csv,1.6495783351468134,1.6495715521056318,1.6496360819776168,1.6496522140512018
submission_STRONGEST_CURRENT.csv,1.6496571902356203,1.6496619336260419,1.6496588971377577,1.6496581380148132
candidate_B_BTYD05_HEDGE.csv,1.6499310738914448,1.64992526929966,1.6498618269556236,1.6498459659884301
submission_phase11_team_blend_80seq_14classic_06fresh (1).csv,1.6499259199019969,1.6499223214427743,1.6500039033368676,1.6500242981801347
submission_SEQ65_TEMPORAL_HEAVY.csv,1.650194246065671,1.6501974967164654,1.650131027315419,1.6501144095467979
submission_RIDGE15.csv,1.6502464747481933,1.6502459539897774,1.6501858070478646,1.6501707699698407
submission_SEQ01_mix (1).csv,1.650176372731295,1.6501794410285504,1.6501819356263163,1.6501825592751684
submission_SEQAVG3_clip289_mix.csv,1.6503716365582664,1.6503709252301089,1.6502553546674075,1.6502264607620805
submission_LEVEL_MINUS_006.csv,1.6507403632701605,1.6507449057432266,1.650744042103716,1.6507438261937677
submission_dist_head.csv,1.6507774105657085,1.650774724664635,1.6509927612427335,1.6510472658882245
submission_HOLIDAY-YOY.csv,1.6507341725950275,1.650740323791776,1.6509861817725653,1.6510476405473278
submission_tier_a_checkpoint.csv,1.65083133248405,1.6508277246127734,1.6510236196965589,1.6510725898358807
submission_candidate_e11mix.csv,1.651002874621533,1.6510049377915832,1.6512081729331018,1.6512589778100506
submission_experimental_f4_mix.csv,1.6512012383165489,1.651196420917726,1.6514436962800758,1.6515055093356856
submission_strategy_1.csv,1.6512802628833827,1.6512794909431645,1.651513511481168,1.6515720114344676
submission_strategy_1_level_low.csv,1.6519789982910107,1.6519813366500145,1.6522114261761192,1.6522689435511595
submission_s04_b.csv,1.6524425913148435,1.6524425326414103,1.652779482731217,1.6528637095208416
submission_s04_a.csv,1.652557405480757,1.6525581229224346,1.652928231729076,1.6530207459827997
submission_strategy_1_level_high.csv,1.6529908823677866,1.6529909869709591,1.6532263254213377,1.6532851547996392
submission_continue12h_1_safe_ranker_safe.csv,1.654133685532829,1.6541337775183527,1.654195199153829,1.654210554206352
submission_experimental_f4.csv,1.6539593901417788,1.6539618325141778,1.6542573934298679,1.6543312754080761
submission_SEQAVG3_mix.csv,1.6553135958569027,1.6553137893547827,1.6550605349813308,1.654997215332654
exp_019_behavior_v1_dist_wrec050_scale120.csv,1.654502353530087,1.6545031171734808,1.65494814655536,1.655059385203318
exp_020_behavior_v1_slim_dist_wrec050_scale120.csv,1.6547357224929944,1.654735010250352,1.6551043664417537,1.6551966926112258
exp_017_dist_post_order_wrec050_scale120.csv,1.6546318190731422,1.654632261773656,1.6550946920878173,1.6552102794799313
exp_016_post_order_wrec050_scale120.csv,1.6547788658437297,1.6547798443510977,1.6551455970537303,1.6552370226013784
exp_011_dense8_logens_scale120.csv,1.6549097093483665,1.6549096483193906,1.655203705756908,1.6552772119539672
exp_015_dense8_logens_wrec0525_scale120.csv,1.654929901858313,1.6549280259088206,1.6552436709177076,1.6553225727654397
submission_blend_80_first_20_second (1).csv,1.6553765657587376,1.6553730285895003,1.6556156713425572,1.6556763264746042
exp_013_dense8_logens_scale127.csv,1.6557083162306878,1.6557088672542188,1.6560950523491231,1.656191584552643
exp_013_dense8_logens_scale130.csv,1.656279619331512,1.6562803453684651,1.6566957623612,1.6567996003344752
submission_v1_top_v2_catboost_ridge (3).csv,1.6565149686649363,1.6565200055642628,1.656867540690996,1.6569544130831213
exp_010_logens_wrec055_scale101.csv,1.6564975604437144,1.6564949422202693,1.657044401579316,1.6571817379534324
my_submit,1.655996856087816,1.6559968560878158,1.6569662250723307,1.6572084787210326
exp_010_logens_wrec055_scale100.csv,1.6568415196348911,1.6568432829993776,1.657374987805959,1.65750788735709
exp_009_recency_long_buy_lgbm_logens.csv,1.6568530995317488,1.656854706118544,1.6573843749109403,1.6575167656623775
F_hurdle_variance_exp029_season_yoy_1_168.csv,1.6566618522758063,1.6566622445263868,1.6574194706132854,1.6576087230858276
exp_008_recency_lightgbm_scale064.csv,1.6577160296099915,1.6577158184762346,1.6582655250492755,1.6584029232222497
submission_best_overall.csv,1.6585787518498425,1.6585784835496222,1.658825118050794,1.6588867709466633
E_hurdle_variance_exp029.csv,1.65841662470559,1.6584167636293021,1.6589317818164633,1.6590605113826498
exp_011_dense8_logens_scale140.csv,1.6598855449125254,1.6598868413109524,1.6604123650080058,1.6605437199453787
exp_011_dense8_logens_scale100.csv,1.661242797071839,1.6612404293152518,1.6612519499278355,1.661254830068498
C_lgbm (1).csv,1.661564979798205,1.661564857776284,1.661818506889027,1.6618819131181715
submission_strategy_2.csv,1.6619324597771563,1.6619333691413098,1.6629473727477488,1.6632007770544281
submission_phase11_fresh_production_v2 (1).csv,1.6638852873654058,1.6638859291473107,1.6643937749565456,1.6645207121988668
submission_v1.csv,1.6648909387295896,1.6648902737709883,1.664963625535846,1.66498196297213
baseline_hgbr.csv,1.6634718183102302,1.6634723050039737,1.664695401280868,1.6650010349631255
experimental_submission_2.csv,1.6682180280505314,1.668217051341963,1.6671053669675469,1.666827330024913
experimental_submission_1.csv,1.667424590457357,1.6674247060330072,1.667672074285979,1.6677339106162319
C_lgbm_delta_fold2_m0_10.csv,1.6680819816543868,1.6680822744371955,1.6683136190426755,1.668371450181642
submission_dl_best (1).csv,1.6757975147828454,1.6757988690339112,1.6756247621245988,1.6755812325705264
submission_v2.csv,1.674544440628762,1.6745452185062626,1.6754334963063064,1.6756554921808722
C_lgbm.csv,1.6761822747898,1.6761828547857416,1.6763982339033723,1.6764520743592741
submission_dl_phase5_interim.csv,1.6808895533245356,1.6808890659171636,1.6804645268924345,1.6803583753770497
submission_dl_extended_best.csv,1.6878362752942304,1.6878359224195678,1.6877104429366565,1.6876790716082037
submission_continue12h_2_class1_class1_occ.csv,1.688068573391526,1.6880686454280773,1.689103956970903,1.6893626857188206
submission_recency_only.csv,1.8818165921588224,1.881816400440784,1.8783891038413394,1.8775313021479456
B_naive90.csv,2.043919707872623,2.043919622759808,2.045497027156213,2.045891188224702
A_naive30.csv,2.1224835231697265,2.1224835993329974,2.125013510093029,2.125645517304798
