blend,segment,delta_rmsle_wcv,folds_better
RIDGE15_CONTROL,never purchased,0.0013066107590324302,0
RIDGE15_CONTROL,rec_buy 15-60,0.00010709606577664251,1
RIDGE15_CONTROL,w180_days_buy 0-1,0.00041006055730615404,1
RIDGE15_CONTROL,w180_days_buy 2-15,0.00010347954387433708,0
RIDGE15_CONTROL,w180_days_buy >=16,0.00038651723842355603,0
RIDGE15_MAIN,never purchased,0.0015015754380967028,0
RIDGE15_MAIN,rec_buy 15-60,0.00015036794118160243,1
RIDGE15_MAIN,w180_days_buy 0-1,0.0005381086943167634,0
RIDGE15_MAIN,w180_days_buy 2-15,0.00015459670712667518,0
RIDGE15_MAIN,w180_days_buy >=16,0.0004763247413776058,0
