name,wcv,fold_cal,fold_offsets,mean_z,auc_positive,prediction_sha256,component,seed,rounds,artifact,artifact_sha256
UNC_S42_R200,1.7506997440639802,"[1.7701890803239015, 1.7633447538933738, 1.752133670638985, 1.7443853612866391]","[-0.163670858473898, -0.11126835250628433, -0.03462780794568278, -0.05930201129169787]",2.717135778616886,0.8413586687556779,37fab13f1f4f0d9d987eb8c532152c0fc74ef5127a5a440f18177abdc7855ed5,UNC,42,200,,
UNC_S42_R250,1.7507262458066761,"[1.770328801141983, 1.7633372097320092, 1.7521713529012963, 1.7444006318611194]","[-0.1679618920486031, -0.11108972685615962, -0.031270113007928674, -0.057968361482042624]",2.716942029929078,0.8412516466641324,debb65b12e262e80ffdb13bf1e88890543509fae69699f7477ebafae2ffc557e,UNC,42,250,,
UNC_S42_R300,1.750774884785464,"[1.7703699446444303, 1.7633722394620863, 1.7522060821619823, 1.7444605649456786]","[-0.1699600529274941, -0.1107359764259762, -0.03214238148748537, -0.05855867052365906]",2.7177125386230276,0.8411912395353984,35d907c8b4224691792d0911aef93dee17ccd7e8830a17dec4c130fed265711a,UNC,42,300,,
UNC_S42_R600,1.7515059932485448,"[1.7715221656894633, 1.76426697076522, 1.7528700998603925, 1.7451316740083374]","[-0.1758524590347353, -0.10853020840952438, -0.03186661453415559, -0.06401832568997122]",2.719892016701737,0.8407941298299506,31593b08ee6866cd4df3d91cff8fa9800ed4a515aff0d06a5d8f8ff91c309812,UNC,42,600,,
UNC_S43_R200,1.7507624881148127,"[1.7700819805007482, 1.763305854829974, 1.7520483682181553, 1.744568769836109]","[-0.16747169757523805, -0.11299150438216819, -0.037956276732883314, -0.062237516311442205]",2.7200835458992887,0.8413900952992147,3718e4ebf7887c6839bbe511644158640c9f9ce36209f666205bce1c2b668dfd,UNC,43,200,,
UNC_S43_R250,1.7506979095965647,"[1.770267914276233, 1.7632681125949936, 1.7519119737834605, 1.744502076168551]","[-0.1693951314616493, -0.11008414801098929, -0.036235820557926283, -0.061812062981895684]",2.719281397174693,0.8413245924074384,bf7a94ed72eefd5b75b0a41c4844c95d214c86ffa5486795c3fb032dda7e4a98,UNC,43,250,,
UNC_S43_R300,1.7507241352036786,"[1.7704859438352423, 1.763303514896675, 1.7520254724805218, 1.7444583955630624]","[-0.1720400923688517, -0.10998383743457495, -0.03404099206865439, -0.061853894768849574]",2.7193577261719972,0.8412491230271355,e70090ee8a16c45d239d0e32aff280fdea3ec6625b31cb8d9fe2b73af2334f13,UNC,43,300,,
UNC_S43_R600,1.7513978848997447,"[1.771631681610739, 1.7640952592010248, 1.7529239808711403, 1.7449312687498524]","[-0.18047595379209772, -0.10963357404991006, -0.032260416614907986, -0.06443940891723103]",2.721510125913238,0.8408567052851308,e62f7c514fda1091b3b2c2c326f6cb59f851b6506f9b0a25a1fb0f85b2375266,UNC,43,600,,
UNC_S44_R200,1.7507531028120562,"[1.7701811680369066, 1.7632187145376856, 1.7520101011073856, 1.744579692579878]","[-0.167021345947602, -0.11196442837302384, -0.0339851592186225, -0.061093790803430505]",2.718427639656372,0.8413606584827391,3ac82ca5bf6eed5bbc897d907ec5660ce0ca853db3aea983937c4f723a538489,UNC,44,200,,
UNC_S44_R250,1.7507525079332666,"[1.7702598676707935, 1.7632483671420525, 1.752093924017399, 1.7445194151218129]","[-0.169649744875527, -0.1104501507193674, -0.03121243618327496, -0.05947152587979658]",2.717581882608753,0.8412887947492378,2dc534ea064512b67ceca8652a6966d5eaf91acf95ec7c04fcc88d7edfd7b1e1,UNC,44,250,,
UNC_S44_R300,1.7508296250878634,"[1.7703784376004181, 1.7633925078563923, 1.7521995932270402, 1.7445603187620737]","[-0.17295423605134913, -0.10669523186472454, -0.030646312366282024, -0.059571697236158246]",2.7173337382215537,0.841217608508135,74cef24d99e4c29e4257e596f78ff01956722d636cf872f4a53856a3e15409b0,UNC,44,300,,
UNC_S44_R600,1.7515374536399946,"[1.771820573014883, 1.7639996978845016, 1.752873116088347, 1.7452186714328304]","[-0.18033452388804977, -0.10687012637043236, -0.030617475046169598, -0.06476957760537798]",2.7204653354205774,0.840840813139938,acab26cd7a902463ab37ed88d20bbffa2f39f536fd1a5ec6f4d90cbd9b93e75c,UNC,44,600,,
CAP_S42_R200,1.7602156027846478,"[1.7762380452355229, 1.7714174874158457, 1.7613393803046697, 1.754850437560478]","[-0.08115828853085261, -0.047163661536499354, -0.06231232342689031, -0.08455604906527676]",2.6944921609082804,0.8395597387077901,1a3477257bdf1c7a2a43bfcef7d5a80b0e112471a3e32de6c436866065479c16,CAP,42,200,,
CAP_S42_R250,1.760222177539076,"[1.7763052299466806, 1.7713894591504298, 1.7613014521517283, 1.7548803382789608]","[-0.08111900320025965, -0.04731176256106234, -0.0622576363706726, -0.08433312650700693]",2.694443841800749,0.8395286754378564,43bf127f4a5b3d3818c6c82a19a7026f0be6b9669d265bd7e52a47911784b95b,CAP,42,250,,
CAP_S42_R300,1.7602568882918794,"[1.776323098251345, 1.771450150802675, 1.7612242568388436, 1.7549666121457654]","[-0.08092758339390475, -0.046920316826129835, -0.061752052480767504, -0.0838780518058472]",2.69405613838229,0.83950958791279,da205a7f11b6e9f0b7d0c95af8a3d521710ec4362dd9362f4bf67915149b19fc,CAP,42,300,,
