variant,unc_only_delta_wcv,cap_only_delta_wcv,both_delta_wcv,replacement_interaction_wcv,unc_only_fold_delta,cap_only_fold_delta,both_fold_delta
B,-4.437854292227428e-05,-8.59594623059401e-06,-5.255978406704109e-05,4.147050858271939e-07,"[-3.224556831549208e-05, -8.245433124765e-05, -3.496181326489989e-05, -4.108458249518776e-05]","[6.864470403211698e-07, -1.4164467057486974e-05, -4.526419763450917e-06, -1.0398878416362223e-05]","[-3.116957767068662e-05, -9.624905662275474e-05, -3.8906929223925246e-05, -5.1137669148770826e-05]"
C,1.662653717016127e-05,1.1337737977568096e-05,3.3136066023287114e-05,5.171790875557747e-06,"[-4.020733125797982e-05, 1.1345160911391261e-05, 4.60083324442806e-05, 1.036021715128399e-05]","[2.377275197584794e-06, -1.0045121354718134e-06, 3.1203025984805066e-05, 5.6107143497907686e-06]","[-3.132539934669332e-05, 1.6116709939506535e-05, 8.244768567378102e-05, 2.0792778390177347e-05]"
D,-7.629908557849063e-06,-3.876063972008126e-07,-2.446564666636064e-06,5.570950288413812e-06,"[-6.683890115777302e-05, -2.9831842151217813e-05, 4.025376138416803e-06, -5.059434329268697e-07]","[5.1606426771932945e-06, -5.896568401331237e-06, 1.923508869383639e-05, -9.515244575819537e-06]","[-5.501476911229375e-05, -2.9728044724341984e-05, 2.900490386581467e-05, -4.78090336297754e-06]"
