left,right,var_oof,var_test,test_oof_ratio
CAP,UNC,0.04772213108884032,0.06641759549274817,1.3917566960516508
CAP,DIST,0.04005758631372671,0.05812041869215417,1.4509216365899158
CAP,SEQ_AVG3,0.06405042423998357,0.06418455437973944,1.0020941335103934
CAP,ETX_AVG3,0.05938878165401878,0.05883555472942238,0.990684656105267
UNC,DIST,0.024513215553041597,0.025283456625827972,1.0314214620729676
UNC,SEQ_AVG3,0.03519761095631092,0.04359515634463674,1.2385828230998202
UNC,ETX_AVG3,0.028228918184563346,0.040459243943697015,1.4332552058555925
DIST,SEQ_AVG3,0.03335509088227981,0.04097385096297257,1.2284137107460347
DIST,ETX_AVG3,0.02516306326722946,0.034418421952783336,1.367815261093723
SEQ_AVG3,ETX_AVG3,0.023181777471590073,0.017966924385672794,0.7750451581071284
