metric_record_id,run_id,experiment_association,source_path,source_kind,evidence_tier,cv_score,cv_key,weighted_cv,weighted_cv_key,oof_score,oof_key,delta,delta_key,lb_score,lb_key,folds_or_scores,folds_key,runtime,runtime_key,verdict,verdict_key,model,model_key,seed,seed_key,params,params_key,description,description_key,all_metric_candidates
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R150.json,GAP-E10-K5-G030-S42-R150,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R150.json,linked_worktree_run_metric_json,2_run_saved_metric,1.75973445097,cv_mean,1.75141496471,wcv,1.75957965662,oof_rmsle,unknown,unknown,unknown,unknown,"[1.7742145571629198,1.7664645342755485,1.7533488943332758,1.7449098181254383]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=30, seed=42 [срез 150 раундов]",description,"{""per_fold[0].rmsle"":1.7742145571629198,""per_fold[0].rmsle_cal"":1.7720003887175713,""per_fold[1].rmsle"":1.7664645342755485,""per_fold[1].rmsle_cal"":1.7653835533220803,""per_fold[2].rmsle"":1.7533488943332758,""per_fold[2].rmsle_cal"":1.7529868621978817,""per_fold[3].rmsle"":1.7449098181254383,""per_fold[3].rmsle_cal"":1.744563690815827,""fold_scores"":[1.7742145571629198,1.7664645342755485,1.7533488943332758,1.7449098181254383],""wcv"":1.7514149647119917,""wcv_raw"":1.7519878498700416,""cv_mean"":1.7597344509742956,""oof_rmsle"":1.7595796566194237}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R200.json,GAP-E10-K5-G030-S42-R200,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R200.json,linked_worktree_run_metric_json,2_run_saved_metric,1.76005828662,cv_mean,1.75166525351,wcv,1.75990171945,oof_rmsle,unknown,unknown,unknown,unknown,"[1.774965306131928,1.766608935703871,1.753553030351491,1.7451058743044099]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=30, seed=42 [срез 200 раундов]",description,"{""per_fold[0].rmsle"":1.774965306131928,""per_fold[0].rmsle_cal"":1.7726468386929888,""per_fold[1].rmsle"":1.766608935703871,""per_fold[1].rmsle_cal"":1.7655433681298802,""per_fold[2].rmsle"":1.753553030351491,""per_fold[2].rmsle_cal"":1.753259943042691,""per_fold[3].rmsle"":1.7451058743044099,""per_fold[3].rmsle_cal"":1.7447756819386195,""fold_scores"":[1.774965306131928,1.766608935703871,1.753553030351491,1.7451058743044099],""wcv"":1.7516652535088313,""wcv_raw"":1.7522161528920608,""cv_mean"":1.760058286622925,""oof_rmsle"":1.7599017194457394}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R250.json,GAP-E10-K5-G030-S42-R250,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R250.json,linked_worktree_run_metric_json,2_run_saved_metric,1.7603892733,cv_mean,1.75203226858,wcv,1.76023284814,oof_rmsle,unknown,unknown,unknown,unknown,"[1.775385534872223,1.7669583609599155,1.753633781663047,1.745579415710745]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=30, seed=42 [срез 250 раундов]",description,"{""per_fold[0].rmsle"":1.775385534872223,""per_fold[0].rmsle_cal"":1.7730413417827289,""per_fold[1].rmsle"":1.7669583609599155,""per_fold[1].rmsle_cal"":1.7658926180636674,""per_fold[2].rmsle"":1.753633781663047,""per_fold[2].rmsle_cal"":1.7533914206574666,""per_fold[3].rmsle"":1.745579415710745,""per_fold[3].rmsle_cal"":1.7452614710127081,""fold_scores"":[1.775385534872223,1.7669583609599155,1.753633781663047,1.745579415710745],""wcv"":1.7520322685761063,""wcv_raw"":1.752564847275347,""cv_mean"":1.7603892733014828,""oof_rmsle"":1.7602328481431813}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R300.json,GAP-E10-K5-G030-S42-R300,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R300.json,linked_worktree_run_metric_json,2_run_saved_metric,1.76083209855,cv_mean,1.75245860208,wcv,1.76067526715,oof_rmsle,unknown,unknown,unknown,unknown,"[1.7759570528356898,1.7673431956551613,1.7540107787020285,1.7460173669873662]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=30, seed=42 [срез 300 раундов]",description,"{""per_fold[0].rmsle"":1.7759570528356898,""per_fold[0].rmsle_cal"":1.773537441896122,""per_fold[1].rmsle"":1.7673431956551613,""per_fold[1].rmsle_cal"":1.7663161527557643,""per_fold[2].rmsle"":1.7540107787020285,""per_fold[2].rmsle_cal"":1.7537767268479159,""per_fold[3].rmsle"":1.7460173669873662,""per_fold[3].rmsle_cal"":1.7457002970455702,""fold_scores"":[1.7759570528356898,1.7673431956551613,1.7540107787020285,1.7460173669873662],""wcv"":1.7524586020775919,""wcv_raw"":1.7529883663235373,""cv_mean"":1.7608320985450614,""oof_rmsle"":1.7606752671479577}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R50.json,GAP-E10-K5-G030-S42-R50,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R50.json,linked_worktree_run_metric_json,2_run_saved_metric,1.76742100245,cv_mean,1.75958952065,wcv,1.76726960135,oof_rmsle,unknown,unknown,unknown,unknown,"[1.7807919587475511,1.7747637664662934,1.761476985930606,1.752651298672196]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=30, seed=42 [срез 50 раундов]",description,"{""per_fold[0].rmsle"":1.7807919587475511,""per_fold[0].rmsle_cal"":1.7798801298764844,""per_fold[1].rmsle"":1.7747637664662934,""per_fold[1].rmsle_cal"":1.774323322326531,""per_fold[2].rmsle"":1.761476985930606,""per_fold[2].rmsle_cal"":1.7611746634763716,""per_fold[3].rmsle"":1.752651298672196,""per_fold[3].rmsle_cal"":1.7525771726702115,""fold_scores"":[1.7807919587475511,1.7747637664662934,1.761476985930606,1.752651298672196],""wcv"":1.759589520653115,""wcv_raw"":1.7598291883186754,""cv_mean"":1.767421002454162,""oof_rmsle"":1.7672696013458762}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R75.json,GAP-E10-K5-G030-S42-R75,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42-R75.json,linked_worktree_run_metric_json,2_run_saved_metric,1.760841713,cv_mean,1.75279663457,wcv,1.76069081652,oof_rmsle,unknown,unknown,unknown,unknown,"[1.7743948989104734,1.767853688224522,1.7548820958964195,1.74623616895796]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=30, seed=42 [срез 75 раундов]",description,"{""per_fold[0].rmsle"":1.7743948989104734,""per_fold[0].rmsle_cal"":1.772818520073477,""per_fold[1].rmsle"":1.767853688224522,""per_fold[1].rmsle_cal"":1.7669906998765117,""per_fold[2].rmsle"":1.7548820958964195,""per_fold[2].rmsle_cal"":1.7543365093749645,""per_fold[3].rmsle"":1.74623616895796,""per_fold[3].rmsle_cal"":1.7459754451530949,""fold_scores"":[1.7743948989104734,1.767853688224522,1.7548820958964195,1.74623616895796],""wcv"":1.7527966345700745,""wcv_raw"":1.7533013340405916,""cv_mean"":1.760841712997344,""oof_rmsle"":1.7606908165210837}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42.json,GAP-E10-K5-G030-S42,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G030-S42.json,linked_worktree_run_metric_json,2_run_saved_metric,1.7598295271,cv_mean,1.75161718001,wcv,1.75967707725,oof_rmsle,unknown,unknown,unknown,unknown,"[1.773756099418453,1.766707982451991,1.7537202428196372,1.7451337837121967]",fold_scores,159.3,runtime_s,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=30, seed=42",description,"{""per_fold[0].rmsle"":1.773756099418453,""per_fold[0].rmsle_cal"":1.77186427758108,""per_fold[1].rmsle"":1.766707982451991,""per_fold[1].rmsle_cal"":1.7656946989534257,""per_fold[2].rmsle"":1.7537202428196372,""per_fold[2].rmsle_cal"":1.7531708188486455,""per_fold[3].rmsle"":1.7451337837121967,""per_fold[3].rmsle_cal"":1.7447900936513066,""fold_scores"":[1.773756099418453,1.766707982451991,1.7537202428196372,1.7451337837121967],""wcv"":1.7516171800061977,""wcv_raw"":1.7522082203532372,""cv_mean"":1.7598295271005693,""oof_rmsle"":1.759677077253318,""runtime_s"":159.3}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R100.json,GAP-E10-K5-G060-S42-R100,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R100.json,linked_worktree_run_metric_json,2_run_saved_metric,1.7617732556,cv_mean,1.75407727532,wcv,1.76165327492,oof_rmsle,unknown,unknown,unknown,unknown,"[1.772337884144943,1.7666625255173678,1.7570918663105428,1.7510007464366864]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=60, seed=42 [срез 100 раундов]",description,"{""per_fold[0].rmsle"":1.772337884144943,""per_fold[0].rmsle_cal"":1.7720274659107593,""per_fold[1].rmsle"":1.7666625255173678,""per_fold[1].rmsle_cal"":1.7666565951557307,""per_fold[2].rmsle"":1.7570918663105428,""per_fold[2].rmsle_cal"":1.7559855153983925,""per_fold[3].rmsle"":1.7510007464366864,""per_fold[3].rmsle_cal"":1.747734551500242,""fold_scores"":[1.772337884144943,1.7666625255173678,1.7570918663105428,1.7510007464366864],""wcv"":1.7540772753211817,""wcv_raw"":1.7561357581276895,""cv_mean"":1.7617732556023848,""oof_rmsle"":1.7616532749168463}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R150.json,GAP-E10-K5-G060-S42-R150,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R150.json,linked_worktree_run_metric_json,2_run_saved_metric,1.76175493049,cv_mean,1.75391120946,wcv,1.76163536831,oof_rmsle,unknown,unknown,unknown,unknown,"[1.77236756862215,1.7663227901816787,1.7573604545303596,1.7509689086382418]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=60, seed=42 [срез 150 раундов]",description,"{""per_fold[0].rmsle"":1.77236756862215,""per_fold[0].rmsle_cal"":1.7720373485837153,""per_fold[1].rmsle"":1.7663227901816787,""per_fold[1].rmsle_cal"":1.7663067799411412,""per_fold[2].rmsle"":1.7573604545303596,""per_fold[2].rmsle_cal"":1.7559461666615992,""per_fold[3].rmsle"":1.7509689086382418,""per_fold[3].rmsle_cal"":1.7475290708516398,""fold_scores"":[1.77236756862215,1.7663227901816787,1.7573604545303596,1.7509689086382418],""wcv"":1.7539112094617009,""wcv_raw"":1.756147082414192,""cv_mean"":1.7617549304931077,""oof_rmsle"":1.761635368314634}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R200.json,GAP-E10-K5-G060-S42-R200,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R200.json,linked_worktree_run_metric_json,2_run_saved_metric,1.76219577284,cv_mean,1.75434497761,wcv,1.76207663055,oof_rmsle,unknown,unknown,unknown,unknown,"[1.7727637560389828,1.7666999761174067,1.7578893508111573,1.7514300084031995]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=60, seed=42 [срез 200 раундов]",description,"{""per_fold[0].rmsle"":1.7727637560389828,""per_fold[0].rmsle_cal"":1.7724224212884627,""per_fold[1].rmsle"":1.7666999761174067,""per_fold[1].rmsle_cal"":1.7666735398635158,""per_fold[2].rmsle"":1.7578893508111573,""per_fold[2].rmsle_cal"":1.7563490029880904,""per_fold[3].rmsle"":1.7514300084031995,""per_fold[3].rmsle_cal"":1.7480011438977159,""fold_scores"":[1.7727637560389828,1.7666999761174067,1.7578893508111573,1.7514300084031995],""wcv"":1.7543449776099722,""wcv_raw"":1.7566107452496016,""cv_mean"":1.7621957728426865,""oof_rmsle"":1.7620766305481523}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R250.json,GAP-E10-K5-G060-S42-R250,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R250.json,linked_worktree_run_metric_json,2_run_saved_metric,1.7626451913,cv_mean,1.75472420809,wcv,1.7625253147,oof_rmsle,unknown,unknown,unknown,unknown,"[1.7732719404088804,1.7671211283154928,1.758444527286233,1.7517431692034178]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=60, seed=42 [срез 250 раундов]",description,"{""per_fold[0].rmsle"":1.7732719404088804,""per_fold[0].rmsle_cal"":1.7729227618783465,""per_fold[1].rmsle"":1.7671211283154928,""per_fold[1].rmsle_cal"":1.7670860268417647,""per_fold[2].rmsle"":1.758444527286233,""per_fold[2].rmsle_cal"":1.756854372478491,""per_fold[3].rmsle"":1.7517431692034178,""per_fold[3].rmsle_cal"":1.748293851986891,""fold_scores"":[1.7732719404088804,1.7671211283154928,1.758444527286233,1.7517431692034178],""wcv"":1.754724208091398,""wcv_raw"":1.757015843987476,""cv_mean"":1.762645191303506,""oof_rmsle"":1.7625253146957853}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R300.json,GAP-E10-K5-G060-S42-R300,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R300.json,linked_worktree_run_metric_json,2_run_saved_metric,1.76312918964,cv_mean,1.75515856007,wcv,1.76300826136,oof_rmsle,unknown,unknown,unknown,unknown,"[1.7737744738550352,1.7677089110200364,1.7589990247643759,1.7520343489298171]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=60, seed=42 [срез 300 раундов]",description,"{""per_fold[0].rmsle"":1.7737744738550352,""per_fold[0].rmsle_cal"":1.773399341294579,""per_fold[1].rmsle"":1.7677089110200364,""per_fold[1].rmsle_cal"":1.767663584837263,""per_fold[2].rmsle"":1.7589990247643759,""per_fold[2].rmsle_cal"":1.7573129313294193,""per_fold[3].rmsle"":1.7520343489298171,""per_fold[3].rmsle_cal"":1.7486750205939086,""fold_scores"":[1.7737744738550352,1.7677089110200364,1.7589990247643759,1.7520343489298171],""wcv"":1.7551585600692037,""wcv_raw"":1.7574308790927433,""cv_mean"":1.7631291896423162,""oof_rmsle"":1.7630082613585123}"
json:evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R50.json,GAP-E10-K5-G060-S42-R50,independent_domain:exp_028,evidence/worktree_artifacts/independent_domain/artifacts/source_main/report_GAP-E10-K5-G060-S42-R50.json,linked_worktree_run_metric_json,2_run_saved_metric,1.77018235429,cv_mean,1.76296710028,wcv,1.77005607751,oof_rmsle,unknown,unknown,unknown,unknown,"[1.7805226995030994,1.7764424962360745,1.7655298779406836,1.75823434348778]",fold_scores,unknown,unknown,unknown,unknown,direct,model,42,params.params.seed,unknown,unknown,"S_01 e10, k=5, G=60, seed=42 [срез 50 раундов]",description,"{""per_fold[0].rmsle"":1.7805226995030994,""per_fold[0].rmsle_cal"":1.7804855531886576,""per_fold[1].rmsle"":1.7764424962360745,""per_fold[1].rmsle_cal"":1.7763320433154393,""per_fold[2].rmsle"":1.7655298779406836,""per_fold[2].rmsle_cal"":1.7651964002523057,""per_fold[3].rmsle"":1.75823434348778,""per_fold[3].rmsle_cal"":1.7563214079169203,""fold_scores"":[1.7805226995030994,1.7764424962360745,1.7655298779406836,1.75823434348778],""wcv"":1.7629671002776084,""wcv_raw"":1.7640934634426815,""cv_mean"":1.7701823542919095,""oof_rmsle"":1.7700560775053897}"
