config,wcv,fold_0904,fold_0918,fold_1002,fold_1016,oof_cal,mean_z
S1-DIST-MIX,1.749483597,1.769133568,1.762566098,1.750726646,1.743135201,1.756445559,2.692027593
TIER-A-CHECKPOINT,1.749465322,1.769072559,1.762535805,1.750681985,1.743138464,1.756407520,2.691567237
delta,-0.000018276,-0.000061009,-0.000030293,-0.000044661,0.000003263,-0.000038040,-0.000460356
