cutoff,oracle_headroom,oracle_headroom_debiased,oracle_rho,rank,proxy_dow_rms,proxy_dom_rms,corr_dow_dom,purged_rho,purged_correction_rms,purged_Delta_MSE,oracle_gate_ge_0_001,observable_gate
2025-09-04,4.1106446860006045e-06,0.0,0.0011464581381079122,2.0,0.2994905872505353,0.21314957199174858,-0.04735289819413722,,,,,
2025-09-18,5.4515798114284835e-05,2.178686282124941e-05,0.004193367046475181,2.0,0.33606202808150865,0.2388895539158309,-0.038181312124270644,,,,,
2025-10-02,6.363902702686918e-06,0.0,0.001442327481657961,2.0,0.3195531030524602,0.3117564441430049,0.00440508879939466,,,,,
2025-10-16,8.389349447341503e-05,5.314879144719828e-05,0.005259412183258517,2.0,0.3053347644155525,0.31429482627001226,0.008086074385231474,,,,,
weighted_1_2_4_8,5.398305383417588e-05,3.125093714800567e-05,0.0038251866415838836,2.0,0.31283367806318757,0.2968208711037018,-0.002760438144216538,-0.0050873021991484375,0.002267729254027653,4.5324977149294755e-05,False,False
