candidate,cutoff,n,oracle_headroom,oracle_headroom_debiased,null_df_bias,oracle_rho,rank,oracle_correction_rms,raw_scalar_corr_residual,purged_source,purged_recipient,purged_rho,purged_correction_rms,purged_Delta_MSE,oracle_gate_ge_0_001,observable_gate
uid_rank_20,2025-09-04,188518,0.0002909528651698245,0.0,0.00031676087021730547,0.009645273592101026,19.0,0.017057340506943706,0.0007912729293041005,,,,,,,
uid_rank_20,2025-09-18,191025,0.00023578768599440212,0.0,0.00031092488528383655,0.008720918961474271,19.0,0.015355379708571284,-0.0014170416708034895,,,,,,,
uid_rank_20,2025-10-02,193694,0.00024011464470372312,0.0,0.0003010542373955505,0.008859545385647531,19.0,0.0154956330849605,-0.0020295174809190474,,,,,,,
uid_rank_20,2025-10-16,197379,0.00019135884466513708,0.0,0.00029207467874905915,0.007943233619297347,19.0,0.013833251413356751,0.0003020876240700318,,,,,,,
uid_rank_20,weighted_1_2_4_8,770616,0.00021692383821964118,0.0,0.0002986283346906436,0.008404744134134563,19.0,0.01469444290471882,-0.0005162786228945876,2025-09-04,2025-10-16,0.0006524617536251266,0.01705719707865234,0.0002521847691131905,False,False
uid_mod_10,2025-09-04,188518,0.00011677194351333088,0.0,0.00015004462273451313,0.006110440031060459,9.0,0.010806106769476749,0.0004113537639225468,,,,,,,
uid_mod_10,2025-09-18,191025,7.780571531766165e-05,0.0,0.0001472802088186594,0.005009650642793002,9.0,0.00882075480430455,0.0005711004544056091,,,,,,,
uid_mod_10,2025-10-02,193694,0.00013842699058292082,0.0,0.0001426046387663134,0.0067268617415413,9.0,0.011765500014148191,0.00263424740370576,,,,,,,
uid_mod_10,2025-10-16,197379,7.914171757653544e-05,0.0,0.0001383511636179754,0.005108293022508794,9.0,0.008896163081718743,0.00041443558957394245,,,,,,,
uid_mod_10,weighted_1_2_4_8,770616,9.728167180617474e-05,0.0,0.0001414555269587259,0.005593568830858801,9.0,0.00977859473922857,0.0010270686002765562,2025-09-04,2025-10-16,-0.00022323543449860594,0.01080823349934806,0.0001252216934247189,False,False
uid_local_gap_decile,2025-09-04,188518,0.00021888464314869606,6.884002041418293e-05,0.00015004462273451313,0.008365865505192334,9.0,0.014794750526747547,0.0007932246071826791,,,,,,,
uid_local_gap_decile,2025-09-18,191025,9.045380322914137e-05,0.0,0.0001472802088186594,0.005401509032646698,9.0,0.009510720436914411,-0.0012423543783105352,,,,,,,
uid_local_gap_decile,2025-10-02,193694,6.75277455557563e-05,0.0,0.0001426046387663134,0.004698326981652337,9.0,0.008217526729847376,-0.0002932225298794862,,,,,,,
uid_local_gap_decile,2025-10-16,197379,0.0002050865646988183,6.673540108084291e-05,0.0001383511636179754,0.008223215486483932,9.0,0.014320843714628629,0.0017953128573671175,,,,,,,
uid_local_gap_decile,weighted_1_2_4_8,770616,0.0001540397166280367,4.018154860406175e-05,0.0001414555269587259,0.006916527692597769,9.0,0.01208353653579966,0.000766541905998707,2025-09-04,2025-10-16,0.004556186732234749,0.014794824630085876,-1.5897039417359917e-05,False,False
eligibility_min_days,2025-09-04,188518,0.00016373767461609845,9.70511756229815e-05,6.668649899311695e-05,0.007235649832157794,4.0,0.012796002290406906,-0.001579690560606484,,,,,,,
eligibility_min_days,2025-09-18,191025,0.0004771720080855409,0.00041171413749947007,6.545787058607085e-05,0.012406211201296953,4.0,0.021844267167509646,-0.012707185501211709,,,,,,,
eligibility_min_days,2025-10-02,193694,0.00034606339086521397,0.0002826835514135191,6.337983945169485e-05,0.010636039520299158,4.0,0.018602779116712997,-0.013965719419424063,,,,,,,
eligibility_min_days,2025-10-16,197379,0.00015813397337365178,9.664456732121827e-05,6.14894060524335e-05,0.007220805673494619,4.0,0.012575133135424509,-0.010720917482842703,,,,,,,
eligibility_min_days,weighted_1_2_4_8,770616,0.0002511604694158167,0.00018829134632304963,6.286912309276707e-05,0.008823911713593684,4.0,0.01543311454504495,-0.011241618606897852,2025-09-04,2025-10-16,0.003845764645698768,0.012671945252857928,-9.161304290300188e-06,False,False
eligibility_end_gap,2025-09-04,188518,5.2383666724968945e-05,0.0,6.668649899311695e-05,0.004092617710444413,4.0,0.007237656162389098,0.006944674155022255,,,,,,,
eligibility_end_gap,2025-09-18,191025,0.000272608180595458,0.00020715031000938716,6.545787058607085e-05,0.009377155822098474,4.0,0.016510850389833295,0.011265157142045684,,,,,,,
eligibility_end_gap,2025-10-02,193694,0.00015573231555309955,9.23524761014047e-05,6.337983945169485e-05,0.007134959026889276,4.0,0.012479275441831564,0.01380575324443842,,,,,,,
eligibility_end_gap,2025-10-16,197379,0.00010504036545659505,4.3550959404161545e-05,6.14894060524335e-05,0.005885063831732363,4.0,0.01024892020929987,0.013183676967029994,,,,,,,
eligibility_end_gap,weighted_1_2_4_8,770616,0.0001373901475854029,7.54745466438457e-05,6.286912309276707e-05,0.006564485074403824,4.0,0.011477854692252062,0.01267782781020715,2025-09-04,2025-10-16,0.004076743593712273,0.007212070271438466,-5.039319173636597e-05,False,False
eligibility_joint_geometry,2025-09-04,188518,0.000400990672656374,8.716786976723347e-07,0.0004001189939587017,0.011323231001775182,24.0,0.020024751500489955,-0.0018006827943042808,,,,,,,
eligibility_joint_geometry,2025-09-18,191025,0.0008907662537417142,0.0004980190302252892,0.000392747223516425,0.016950541180983797,24.0,0.029845707459226236,-0.01282488306855366,,,,,,,
eligibility_joint_geometry,2025-10-02,193694,0.0006794566308491802,0.0002991775941390112,0.00038027903671016905,0.014903318523934847,24.0,0.02606638891080201,-0.014142032235464388,,,,,,,
eligibility_joint_geometry,2025-10-16,197379,0.0005502198765027673,0.0001812834401881662,0.0003689364363146011,0.013469181440071917,24.0,0.023456766113485603,-0.010948224363416054,,,,,,,
eligibility_joint_geometry,weighted_1_2_4_8,770616,0.0006201405810372441,0.00024292584248064168,0.0003772147385566025,0.014172735932003832,24.0,0.02477572339800235,-0.011440291518706507,2025-09-04,2025-10-16,0.0021735151700653936,0.019825164933232203,0.0002429524669536195,False,False
eligibility_imbalance_decile,2025-09-04,188518,0.0002657845406142797,0.00011573991787976659,0.00015004462273451313,0.009218666208519636,9.0,0.01630289976091001,-0.0014876102146505399,,,,,,,
eligibility_imbalance_decile,2025-09-18,191025,8.266482580076428e-05,0.0,0.0001472802088186594,0.005163712667449409,9.0,0.009092019896632653,0.0030655939532796207,,,,,,,
eligibility_imbalance_decile,2025-10-02,193694,0.0002934173425146877,0.0001508127037483743,0.0001426046387663134,0.00979365954432584,9.0,0.017129429135691807,0.009132581855104956,,,,,,,
eligibility_imbalance_decile,2025-10-16,197379,0.00012230739682205692,0.0,0.0001383511636179754,0.006350375807778491,9.0,0.011059267463175733,0.007875255229643538,,,,,,,
eligibility_imbalance_decile,weighted_1_2_4_8,770616,0.0001722161824567343,4.793271552488425e-05,0.0001414555269587259,0.00730158241219665,9.0,0.012765253053489892,0.006945063129965122,2025-09-04,2025-10-16,0.003255422430503729,0.016297642424387276,8.081863784890019e-05,False,False
eligibility_new_old_ratio_decile,2025-09-04,188518,0.00017925923973914504,2.921461700463191e-05,0.00015004462273451313,0.00757083893706206,9.0,0.01338877289893085,-0.014583075608559058,,,,,,,
eligibility_new_old_ratio_decile,2025-09-18,191025,0.00021626415995117137,6.898395113251197e-05,0.0001472802088186594,0.008352066950542738,9.0,0.014705922614755305,-0.005106562177853701,,,,,,,
eligibility_new_old_ratio_decile,2025-10-02,193694,0.00042921274716353313,0.00028660810839721974,0.0001426046387663134,0.01184509146871771,9.0,0.02071745030556447,0.004247591030266572,,,,,,,
eligibility_new_old_ratio_decile,2025-10-16,197379,0.00026238819240721474,0.00012403702878923935,0.0001383511636179754,0.00930133335483961,9.0,0.016198400921301308,0.002931358767649191,,,,,,,
eligibility_new_old_ratio_decile,weighted_1_2_4_8,770616,0.00029518293917022256,0.0001537274122114966,0.0001414555269587259,0.009737733703449018,9.0,0.017017175114740653,0.0010430022865328902,2025-09-04,2025-10-16,-0.0011075033622498219,0.01338140089999738,0.00023068017437033944,False,False
cohort_rank_w90_gmv,2025-09-04,188518,0.0002804419949469421,0.00013039737221242896,0.00015004462273451313,0.00946945001347935,9.0,0.016746402447897317,0.013176394338516145,,,,,,,
cohort_rank_w90_gmv,2025-09-18,191025,0.00013021094764872437,0.0,0.0001472802088186594,0.0064807525662846635,9.0,0.011411001167676904,0.0035774728320639754,,,,,,,
cohort_rank_w90_gmv,2025-10-02,193694,0.0001907586947514311,4.8154055985117706e-05,0.0001426046387663134,0.007896675358299196,9.0,0.013811542084482497,-0.0019612499675854284,,,,,,,
cohort_rank_w90_gmv,2025-10-16,197379,0.0005747699320073284,0.00043641876838935306,0.0001383511636179754,0.013766390544620413,9.0,0.023974359887332305,-0.00816489025159372,,,,,,,
cohort_rank_w90_gmv,weighted_1_2_4_8,770616,0.0003934705416872495,0.0002542909162178483,0.0001414555269587259,0.010943252062413918,9.0,0.01910729681465597,-0.0035221854586964924,2025-09-04,2025-10-16,-0.007297894860682273,0.01655573181278836,0.0006949185957527162,False,False
cohort_rank_activity,2025-09-04,188518,0.0005222013486575104,0.0003721567259229973,0.00015004462273451313,0.012921776543573096,9.0,0.022851725288422126,-0.006338679889024679,,,,,,,
cohort_rank_activity,2025-09-18,191025,0.0014365063245882733,0.0012892261157696138,0.0001472802088186594,0.021525609723434435,9.0,0.037901270751628795,-0.016088521790465337,,,,,,,
cohort_rank_activity,2025-10-02,193694,0.0006326883365054392,0.0004900836977391259,0.0001426046387663134,0.014381262951764418,9.0,0.02515329673234581,-0.017155640940039175,,,,,,,
cohort_rank_activity,2025-10-16,197379,0.00017132980221513564,3.2978638597160254e-05,0.0001383511636179754,0.007516047610120699,9.0,0.013089301059076288,-0.014241489219531424,,,,,,,
cohort_rank_activity,weighted_1_2_4_8,770616,0.00048644038410512665,0.0003449848571464008,0.0001414555269587259,0.011575095245231015,9.0,0.020265457479578218,-0.014738013399090895,2025-09-04,2025-10-16,0.0016396517835372067,0.023256935339646817,0.0004080657860069278,False,False
cohort_rank_recency,2025-09-04,188518,0.000804999433282129,0.0006549548105476158,0.00015004462273451313,0.016043570213041095,9.0,0.028372511931130277,0.012528579766520694,,,,,,,
cohort_rank_recency,2025-09-18,191025,0.0012170086021750116,0.001069728393356352,0.0001472802088186594,0.019812921309911406,9.0,0.03488565037626522,0.009617504210875106,,,,,,,
cohort_rank_recency,2025-10-02,193694,0.0010236856781862243,0.0008810810394199108,0.0001426046387663134,0.01829302073388258,9.0,0.03199508834471663,0.00892518724154022,,,,,,,
cohort_rank_recency,2025-10-16,197379,0.0007741161209029527,0.0006357649572849773,0.0001383511636179754,0.015976296854795558,9.0,0.027822942348050723,0.0005628568618744189,,,,,,,
cohort_rank_recency,weighted_1_2_4_8,770616,0.000901779221173378,0.0007603236942146523,0.0001414555269587259,0.017110124707117244,9.0,0.029913846989795535,0.0047978128032951425,2025-09-04,2025-10-16,-0.007250717629497124,0.027476791697531495,0.0014488853562352596,False,False
cohort_rank_channel_mix,2025-09-04,188518,0.00012207295555532113,0.0,0.00015004462273451313,0.006247596338901828,9.0,0.01104866306642216,0.005881480455141156,,,,,,,
cohort_rank_channel_mix,2025-09-18,191025,0.0001416713191466203,0.0,0.0001472802088186594,0.006759937172396965,9.0,0.011902576155884118,-0.0012608937683605294,,,,,,,
cohort_rank_channel_mix,2025-10-02,193694,0.0001102412804387698,0.0,0.0001426046387663134,0.006003081470172626,9.0,0.010499584774588436,0.00020201894042912576,,,,,,,
cohort_rank_channel_mix,2025-10-16,197379,8.850466013709088e-05,0.0,0.0001383511636179754,0.005402019344420773,9.0,0.009407691541344828,0.0016096765775112576,,,,,,,
cohort_rank_channel_mix,weighted_1_2_4_8,770616,0.00010362786644669118,0.0,0.0001414555269587259,0.005799730087983497,9.0,0.010140912453820183,0.0011363454200151108,2025-09-04,2025-10-16,0.0031590976273554424,0.011051813975359055,5.37000913386261e-07,False,False
cohort_rank_baseline,2025-09-04,188518,0.0006127898022229337,0.0004627451794884205,0.00015004462273451313,0.013997774620809983,9.0,0.024754591538196195,0.013357331563868605,,,,,,,
cohort_rank_baseline,2025-09-18,191025,0.00029908094823131895,0.00015180073941265955,0.0001472802088186594,0.009821912597404659,9.0,0.0172939569859335,0.004990201227559827,,,,,,,
cohort_rank_baseline,2025-10-02,193694,0.00024051740061238781,9.791276184607442e-05,0.0001426046387663134,0.008866972544489007,9.0,0.015508623427383484,-0.0022632657524709987,,,,,,,
cohort_rank_baseline,2025-10-16,197379,0.00042756159789298655,0.00028921043427501117,0.0001383511636179754,0.011873326526238712,9.0,0.020677562668094777,-0.007051874552009596,,,,,,,
cohort_rank_baseline,weighted_1_2_4_8,770616,0.00037290093895193434,0.00023144541199320845,0.0001414555269587259,0.010939740146899002,9.0,0.019119833370957025,-0.0028086883604648335,2025-09-04,2025-10-16,-0.00816476526199469,0.02480310329948974,0.0013205471564405645,False,False
availability_tenure_rank,2025-09-04,188518,0.000531055790947669,0.00038101116821315586,0.00015004462273451313,0.013030866828659228,9.0,0.023044647772263036,-0.0025203613879301373,,,,,,,
availability_tenure_rank,2025-09-18,191025,0.0005079213902956833,0.0003606411814770239,0.0001472802088186594,0.012799704460781528,9.0,0.022537111400880203,-0.004813571430318632,,,,,,,
