model,n,positive_rate,roc_auc,pr_auc,logloss,brier,ece10,mean_probability
D1-production,1020616,0.24495010856188812,0.998566996914157,0.9960464017839155,0.07431495013230989,0.0172251507126427,0.041511930202029916,0.24490897381347174
D1-depth-raw,1020616,0.24495010856188812,0.9861023644694633,0.9749466196306066,0.09881411840010007,0.025251694534010515,0.009570350188751835,0.24500793127325327
D0-linear,1020616,0.24495010856188812,0.9354845983265335,0.8469492476020877,0.2832914481184031,0.08286151088819363,0.03541315205094161,0.21524484512644346
D1-fixed-L180,1020616,0.24495010856188812,0.6474645845764947,0.3713516582267322,0.5331126129585496,0.17610615603439309,0.019747737999903713,0.24494938051769907
D1-behavior,1020616,0.24495010856188812,0.6392832339505019,0.36008855742048507,0.5353865907877716,0.17701668355128558,0.015945424258245734,0.2449890247445169
D1-missingness,1020616,0.24495010856188812,0.5596722872636956,0.29861751256766966,0.5511987363192867,0.18277694272536402,0.003385976245810253,0.24484833092924674
