validation_cutoff,train_cutoff,n,mean_p_test_like,mean_weight,neff_fraction
2025-09-04,2025-04-03,197912,0.2500245869159698,1.004036457759171,0.9574418908501396
2025-09-04,2025-04-10,198671,0.2493954002857208,1.0022806181747208,0.9587720467940614
2025-09-04,2025-04-17,199382,0.249013751745224,1.0012060656268873,0.959845283468994
2025-09-04,2025-04-24,199994,0.2493076026439666,1.0019845185838998,0.9609133836741512
2025-09-04,2025-05-01,200639,0.2496323883533477,1.0028460271594353,0.9619952109851886
2025-09-04,2025-05-08,201274,0.2498637735843658,1.0034578537654493,0.962836212457141
2025-09-04,2025-05-15,201556,0.2501823306083679,1.00431869441455,0.9637399962702388
2025-09-04,2025-05-22,202557,0.2498339265584945,1.0033658066479485,0.9641784435625356
2025-09-04,2025-05-29,203292,0.2495101541280746,1.0024671572334092,0.9646063499536872
2025-09-04,2025-06-05,203992,0.2490151226520538,1.0011074374035025,0.9649402859164752
2025-09-04,2025-06-12,205122,0.2485261112451553,0.9997640538343034,0.965113249392848
2025-09-04,2025-06-19,205683,0.2481341511011123,0.9987064256150148,0.965468202010292
2025-09-04,2025-06-26,206429,0.248039424419403,0.9984521877732012,0.965808785215631
2025-09-04,2025-07-03,207093,0.2476039379835128,0.9972768337074664,0.9657628189834468
2025-09-04,2025-07-10,207577,0.2471483796834945,0.9960344019027184,0.9656584929331238
2025-09-04,2025-07-17,208274,0.2466924637556076,0.994784739177756,0.965449131559313
2025-09-04,2025-07-24,209056,0.2466667890548706,0.9947119963203244,0.9653624868855024
2025-09-04,2025-07-31,209914,0.246470034122467,0.9941727618221968,0.9653684386541952
2025-09-04,ALL,3668417,0.2485948652029037,1.0,0.9635266613501696
2025-09-18,2025-04-03,197912,0.2500245869159698,1.0047783937754518,0.9574418908501396
2025-09-18,2025-04-10,198671,0.2493954002857208,1.0030212567076124,0.958772046794062
2025-09-18,2025-04-17,199382,0.249013751745224,1.0019459101156676,0.9598452834689936
2025-09-18,2025-04-24,199994,0.2493076026439666,1.0027249383130326,0.9609133836741512
2025-09-18,2025-05-01,200639,0.2496323883533477,1.0035870835031406,0.9619952109851888
2025-09-18,2025-05-08,201274,0.2498637735843658,1.0041993622204213,0.9628362124571412
2025-09-18,2025-05-15,201556,0.2501823306083679,1.0050608389905284,0.9637399962702388
2025-09-18,2025-05-22,202557,0.2498339265584945,1.0041072470844028,0.9641784435625352
2025-09-18,2025-05-29,203292,0.2495101541280746,1.0032079336099466,0.9646063499536868
2025-09-18,2025-06-05,203992,0.2490151226520538,1.0018472090106352,0.9649402859164754
2025-09-18,2025-06-12,205122,0.2485261112451553,1.0005028327437646,0.9651132493928478
