candidate,n_bootstrap,point_delta_wcv,p02_5,p10,p90,p97_5,p_delta_lt_0
FRESH,500,-0.00022495612744277693,-0.0002921280963363752,-0.0002706900274319131,-0.00018282097707329173,-0.00015948135282508122,1.0
BTYD05,500,-0.0003209830153785287,-0.0003999029651337475,-0.0003744709012297494,-0.00026472063404472387,-0.00023422897110736272,1.0
BTYD05_FRESH1_FIXED,500,-0.0004669397382224272,-0.000585340636324974,-0.0005386686300465948,-0.00038687690879176897,-0.00034562230656157936,1.0
VOL,500,7.093135988567312e-06,-1.3934290031088297e-05,-4.922180472875699e-06,2.0472715453678052e-05,2.432567192951262e-05,0.228
REAL_FRESH_MINUS_VOL,500,-0.00023204926343134424,-0.00030314365353507693,-0.0002762301243970248,-0.00019021499144585027,-0.00016758608243590544,1.0
