fold,fresh_delta,vol_delta,real_minus_vol
2025-09-04,-0.00024286919661031803,-6.754802778630165e-05,-0.00017532116882401638
2025-09-18,-0.00016386281619529264,-1.1711285086146717e-06,-0.00016269168768667797
2025-10-02,-0.00019409301424677672,2.9593274905259648e-05,-0.00022368628915203637
2025-10-16,-0.00025342187820664996,7.239278126514037e-06,-0.000260661156333164
wCV,-0.00022495612744277693,7.093135988567312e-06,-0.00023204926343134424
