source,pearson_prediction,pearson_log_prediction,residual_correlation,correction_correlation_vs_exp037,rms_log_prediction_difference,source_wcv,candidate_wcv,incremental_wcv_gain
pred_exp037,0.9981045392276826,0.9996997618772651,0.99976425308721,,0.041268431388427146,1.747509862493216,1.7470429227549935,-0.0004669397382224272
pred_cap,0.9831808357691388,0.9921265392720576,0.9939478039319422,-0.15295076877654182,0.19533639668099076,1.7606420875176922,1.7470429227549935,-0.013599164762698734
pred_unc,0.9861156254930574,0.9974335801789256,0.998025515088446,0.13642567992061336,0.12030668474185569,1.7515059932559802,1.7470429227549935,-0.00446307050098671
pred_dist,0.972987914005835,0.9979487380704084,0.9983303353823584,-0.0080456895362309,0.10162066375527039,1.7506161140007883,1.7470429227549935,-0.0035731912457948045
pred_etx_avg3,0.9856563168583945,0.9975781970058353,0.9981314625871105,-0.03421724689945795,0.11999842389635781,1.7486097311675575,1.7470429227549935,-0.001566808412563958
pred_seq_avg3,0.9783179202007797,0.9970131888117663,0.9975831853100309,0.030286945095274395,0.12860647140049997,1.7496342430853071,1.7470429227549935,-0.002591320330313618
pred_seq_d3a_avg3,0.9728578739736642,0.9966071366205017,0.9973686509533572,0.058938901087357366,0.13733770535370735,1.749406525056878,1.7470429227549935,-0.002363602301884482
pred_ridge15,0.1950894104958179,0.9908492238827107,0.9929656478941189,0.146696137202167,0.20930296907007534,1.7601138328409032,1.7470429227549935,-0.01307091008590966
pred_hurdle_e11,0.9843897297925727,0.9969506894838238,0.9976318433732548,-0.018766741591775327,0.12119062713823986,1.7506967948215009,1.7470429227549935,-0.0036538720665073576
pred_mhz_full,0.9859489383876038,0.9961169297192087,0.9969918325772976,-0.01221213370306923,0.1366666934151603,1.7523448607783068,1.7470429227549935,-0.005301938023313246
pred_holiday_yoy,0.9939993618751118,0.9989217622685836,0.9991284325540628,0.02063163525859169,0.07592843424024757,1.7495766939162385,1.7470429227549935,-0.00253377116124498
pred_block4_saf,0.9972200391034636,0.9993417519059316,0.9994915457708723,0.08458603385641637,0.05816118418701342,1.7477494757910894,1.7470429227549935,-0.0007065530360959027
pred_fresh_contrast,0.9997922237922465,0.9998821608708467,0.9999084414606771,0.7897551525750857,0.02855371444228525,1.7472849062259332,1.7470429227549935,-0.00024198347093973283
pred_btyd,0.9347592569586959,0.9623670561880483,0.9688471063744427,0.7429488263759202,0.5393355127908047,1.8007003575080234,1.7470429227549935,-0.053657434753029865
pred_btyd05,0.9980510950327098,0.9998611025288614,0.9998909444325292,0.7429488269253981,0.025905436477171535,1.7471888794949568,1.7470429227549935,-0.00014595673996331548
