variant,base_score,score,delta,selected_scales,half_deltas,half_alignments
BASE,1.7412785664479717,1.7412785664479717,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0067263022417209445, 0.011498805432847576]"
REAL,1.7412785664479717,1.7412785664479717,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.006877205238611863, 0.011360745435603009]"
SHUFFLED,1.7412785664479717,1.7412785664479717,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.007061309874485071, 0.011069430162030457]"
NEAREST_ONLY,1.7412785664479717,1.7412785664479717,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0067103617017034945, 0.011612424986867107]"
LAST_ONLY,1.7412785664479717,1.7412785664479717,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.006823460556119342, 0.011775705020539167]"
