direction,fold_cutoff,status,rows,rho,latest_rho,b,G,oracle_amplitude,oracle_gain,nested_Delta_MSE,nested_Delta_RMSLE,observed_Delta_RMSLE,bootstrap_CI_low,bootstrap_CI_high,sign_stable,canonical_clean_fold_aligned,notes
exp023_minus_exp019,2026-01-14,AGGREGATE_ONLY_NON_NESTED_WEIGHT_SELECTION,,,,,,,,,,-0.0006343987819208419,-0.0006343987819208419,-0.0005253994624261349,True,False,fold scores reconstructed exactly from two-fold mean/std; no user-level OOF vectors
exp023_minus_exp019,2025-12-15,AGGREGATE_ONLY_NON_NESTED_WEIGHT_SELECTION,,,,,,,,,,-0.0005253994624261349,-0.0006343987819208419,-0.0005253994624261349,True,False,fold scores reconstructed exactly from two-fold mean/std; no user-level OOF vectors
exp024_minus_exp023,2026-01-14,AGGREGATE_ONLY_NON_NESTED_WEIGHT_SELECTION,,,,,,,,,,-0.00010330824989313037,-0.00022508456377035024,-0.00010330824989313037,True,False,fold scores reconstructed exactly from two-fold mean/std; no user-level OOF vectors
exp024_minus_exp023,2025-12-15,AGGREGATE_ONLY_NON_NESTED_WEIGHT_SELECTION,,,,,,,,,,-0.00022508456377035024,-0.00022508456377035024,-0.00010330824989313037,True,False,fold scores reconstructed exactly from two-fold mean/std; no user-level OOF vectors
exp024_minus_exp019,2026-01-14,AGGREGATE_ONLY_NON_NESTED_WEIGHT_SELECTION,,,,,,,,,,-0.0007377070318139722,-0.0007504840261964851,-0.0007377070318139722,True,False,fold scores reconstructed exactly from two-fold mean/std; no user-level OOF vectors
exp024_minus_exp019,2025-12-15,AGGREGATE_ONLY_NON_NESTED_WEIGHT_SELECTION,,,,,,,,,,-0.0007504840261964851,-0.0007504840261964851,-0.0007377070318139722,True,False,fold scores reconstructed exactly from two-fold mean/std; no user-level OOF vectors
exp024_post_current_scored_span,ALL,NOT_IDENTIFIABLE_NO_ROW_LEVEL_COMPONENT_OOF,,,,,,,,,,-0.0007440955290052287,-0.0007504840261964851,-0.0007377070318139722,True,False,raw blend improvement is not a post-span residual estimate; strict-forward coefficients unavailable
