relation,vector_a,vector_b,leaderboard_score_a,leaderboard_score_b,RMS_raw_difference,mean_correction,RMS_centered_correction,RMS_d_perp,perp_fraction_RMS,perp_fraction_energy,corr_z_predictions,corr_d_perp_with_ORTH_minus_V2,corr_d_perp_with_A1_365,corr_d_perp_with_A2,corr_d_perp_with_JOINT_V2_out_of_plane,fraction_clipped_or_zero,projection_pass1_RMS,projection_pass2_RMS,current_span_rank,rank_after_addition,condition_design_before,condition_design_after,condition_gram_after
vs_JOINT_V2,exp_011_dense8_logens_scale120.csv,SUBMIT_JOINT_V2.csv,1.6549097093483665,1.6459363044782171,0.17282492612937658,0.017670086582972568,0.1719192343275607,2.8469967973151464e-06,1.6560083043940936e-05,2.7423635042222013e-10,0.9950087278017252,-6.083087275486563e-05,0.0007544691866787326,0.006391718573393809,-0.0035441267023649027,0.000168,0.1719192343039856,6.780154219810158e-12,66,66.0,48347.855591742205,43437.03650561936,1886776140.390509
vs_JOINT_V2,exp_016_post_order_wrec050_scale120.csv,SUBMIT_JOINT_V2.csv,1.6547788658437297,1.6459363044782171,0.17157405514154428,0.019478181838235575,0.17046482578523436,6.064619265443708e-08,3.557695399920459e-07,1.2657196558615195e-13,0.9951138949512027,0.00017795482880483943,-0.006127625325675263,0.0034002965851887236,-0.01361265170330693,0.000128,0.17046482578527775,9.827792361058483e-12,66,66.0,48347.855591742205,48648.54442356823,2366680874.5318913
vs_JOINT_V2,exp_017_dist_post_order_wrec050_scale120.csv,SUBMIT_JOINT_V2.csv,1.6546318190731422,1.6459363044782171,0.17015407017591794,0.03664014982346915,0.1661622912045478,3.66563243291077e-08,2.2060555414455208e-07,4.86668105194249e-14,0.9952767095843127,0.0001936758395918988,-0.005067973091147534,-0.0018967385996182893,-0.0038625872385376157,0.0,0.16616229120454834,1.6031134730552175e-11,66,66.0,48347.855591742205,48648.89635930511,2366715116.97841
vs_JOINT_V2,exp_019_behavior_v1_dist_wrec050_scale120.csv,SUBMIT_JOINT_V2.csv,1.654502353530087,1.6459363044782171,0.1689114753255301,0.041176189611384605,0.16381577428848074,4.529447240436464e-08,2.764964033597934e-07,7.645026107090156e-14,0.9954919121174357,0.00025323303111918623,-0.008325918122966076,0.0017306487323225993,-0.013453022029018071,0.0,0.16381577428847707,1.1592042855017537e-11,66,66.0,48347.855591742205,48648.75108705275,2366700982.3300157
vs_JOINT_V2,exp_020_behavior_v1_slim_dist_wrec050_scale120.csv,SUBMIT_JOINT_V2.csv,1.6547357224929944,1.6459363044782171,0.17111267339692002,0.03720519607684287,0.16701892222716772,3.046977374993534e-08,1.824330641320535e-07,3.328182288860994e-14,0.9953326711079604,0.00043071594599706294,0.004541509982662826,-0.0006027245064144354,-0.0099449203981425,0.0,0.16701892222718498,6.99765175591406e-12,66,66.0,48347.855591742205,48648.806324335026,2366706356.7826595
vs_JOINT_V2,exp_024_formula_reproduction,SUBMIT_JOINT_V2.csv,,1.6459363044782171,0.164372554745393,0.04117616015891818,0.1591315826229801,0.028760795284441004,0.1807359344410094,0.03266547799826485,0.9962450907303735,-6.626089332692782e-06,-0.00999339454440649,0.011196736252763153,-0.0007995753956694082,0.0,0.15651094927422557,2.3716180919280658e-11,66,67.0,48347.855591742205,48649.91134505342,2366813873.8815575
pairwise_team_b,exp_011_dense8_logens_scale120.csv,exp_016_post_order_wrec050_scale120.csv,1.6549097093483665,1.6547788658437297,0.02920680765984293,-0.001808095255263007,0.029150787386054512,,,,0.9998246354043147,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_011_dense8_logens_scale120.csv,exp_017_dist_post_order_wrec050_scale120.csv,1.6549097093483665,1.6546318190731422,0.060118174300096715,-0.018970063240496583,0.05704674909079718,,,,0.999336608868873,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_011_dense8_logens_scale120.csv,exp_019_behavior_v1_dist_wrec050_scale120.csv,1.6549097093483665,1.654502353530087,0.0726839391682207,-0.023506103028412034,0.06877803525419497,,,,0.9990266338079663,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_011_dense8_logens_scale120.csv,exp_020_behavior_v1_slim_dist_wrec050_scale120.csv,1.6549097093483665,1.6547357224929944,0.07158947301247216,-0.019535109493870304,0.06887257903742228,,,,0.9990213370743302,,,,,,,,66,,48347.855591742205,,
