task,cutoff_a,cutoff_b,feature,hist_mean,test_mean,smd,ks,psi,hist_missing,test_missing,hist_q10,test_q10,hist_q50,test_q50,hist_q90,test_q90,median_delta_iqr,gain,split,gain_share,linear_standardized_coef,signed_ks
p28_mid,2025-08-21,2025-09-18,trend_pres_60_180,1.099819497036934,1.1268984975277136,0.06730584936974551,0.037816666666666665,0.006977438966611828,0.0,0.0,0.6666600108146667,0.6923044919967651,1.0372086763381958,1.0599987506866455,1.6097490787506104,1.6451517343521118,0.05530434500871756,1830.2588008880616,56.0,0.048876671372720004,-0.0020345,0.037816666666666665
p28_mid,2025-08-21,2025-09-18,trend_pres_30_90,1.0340120327035587,1.0552448635051648,0.05621223681641353,0.03015000000000001,0.00456396405299907,0.0,0.0,0.5624968409538269,0.5999891757965088,0.9999986290931702,1.0312471389770508,1.4999932050704956,1.4999960660934448,0.07178685617652898,1684.9438234329223,84.2,0.044996065856624225,0.1570633,0.03015000000000001
p28_mid,2025-08-21,2025-09-18,rec_cat,36.41932468309464,35.18434753084091,-0.02976210515636649,0.016186058850310547,0.0025002380985010776,0.1085666666666667,0.11643333333333339,1.0,1.0,19.0,19.0,101.0,99.0,0.0,1437.2657305717469,97.0,0.038381875150302315,-0.020484427,-0.016186058850310547
p28_mid,2025-08-21,2025-09-18,w180_days_cat,9.707466666666667,9.572716666666667,-0.009297276147239249,0.012849999999999973,0.0010953390762863569,0.0,0.0,0.0,0.0,5.0,5.0,24.0,24.0,0.0,1404.5028060913087,91.2,0.03750694823162686,-0.22261854,-0.012849999999999973
p28_mid,2025-08-21,2025-09-18,trend_srch_30_60,1.0200824665473929,1.0110007626221826,-0.020396998604875864,0.014983333333333237,0.001463060622690052,0.0,0.0,0.42276403307914734,0.4285710632801056,1.0172909498214722,0.9999985694885254,1.6046787261962887,1.5999808311462402,-0.02835265742029303,1132.6115646362305,58.0,0.030246150550297484,0.022246933,-0.014983333333333237
p28_mid,2025-08-21,2025-09-18,dlog_buyd_14_30,-0.2999185161986699,-0.3309478871413817,-0.07662700788799519,0.0349666666666667,0.006521897306046287,0.0,0.0,-0.8472978472709656,-0.9162907600402832,0.0,0.0,0.0,0.0,0.0,902.0672526359558,21.0,0.02408951381181013,0.060912833,-0.0349666666666667
p28_mid,2025-08-21,2025-09-18,trend_srch_60_180,1.1116828401082506,1.1402875151166691,0.052627919942716615,0.030100000000000016,0.004075743716110906,0.0,0.0,0.486648589372635,0.5142848014831543,1.0344794988632202,1.068180799484253,1.8399959087371827,1.8749929666519165,0.05099561880555326,754.42108669281,40.2,0.02014665440376154,0.010908562,0.030100000000000016
p28_mid,2025-08-21,2025-09-18,trend_gmv_14_30,0.6325288035549389,0.580877532414636,-0.06209064570566276,0.02860000000000007,0.00519398853666642,0.0,0.0,0.0,0.0,0.0,0.0,2.1428542137145996,2.142852544784546,0.0,699.5061191558838,24.6,0.01868016189437238,-0.011414882,-0.02860000000000007
p28_mid,2025-08-21,2025-09-18,trend_pres_14_30,1.0191375179611146,1.000366150417924,-0.039040167985386454,0.02588333333333337,0.003681138388284149,0.0,0.0,0.42856886982917786,0.42856886982917786,1.0248433351516724,0.9999989867210388,1.607130765914917,1.571425437927246,-0.05277293428955017,630.4805276870727,34.0,0.016836848178906717,0.00050044217,-0.02588333333333337
p28_mid,2025-08-21,2025-09-18,dlog_gmv_14_30,-0.8549983942861019,-0.9552101907900263,-0.06793159703559792,0.033833333333333326,0.005798641082847748,0.0,0.0,-3.2884257316589354,-3.495080661773682,0.0,0.0,0.0,0.0,0.0,624.690549659729,17.8,0.016682228049141223,-0.030107142,-0.033833333333333326
