fold,segment,n,share,baseline_rmsle,candidate_rmsle,delta
2025-09-04,w180_days_buy >= 16,39025,0.20700941024199282,1.423105190550722,1.4237348402424734,0.0006296496917514993
2025-09-04,w180_days_buy 2-15,107913,0.5724280970517405,1.9674622530971144,1.9669764832990622,-0.00048576979805226017
2025-09-04,w180_days_buy 0-1,41580,0.22056249270626677,1.4856550541283506,1.4854487281040405,-0.0002063260243101439
2025-09-04,rec_buy 15-60,53224,0.28232847791722804,1.9684445255050536,1.968126463483845,-0.0003180620212086538
2025-09-04,never purchased,20965,0.1112095396726042,1.212861206047355,1.2127611584484492,-0.00010004759890569481
2025-09-18,w180_days_buy >= 16,40106,0.20995157701871484,1.3955484493262664,1.395873415361959,0.0003249660356925421
2025-09-18,w180_days_buy 2-15,108979,0.570496008375867,1.9603873139498567,1.9600837473222619,-0.0003035666275947868
2025-09-18,w180_days_buy 0-1,41940,0.21955241460541813,1.506098482193953,1.5059647666193559,-0.00013371557459707084
2025-09-18,rec_buy 15-60,57084,0.29882999607381233,1.9533229229622393,1.9529388187865169,-0.00038410417572243283
2025-09-18,never purchased,20572,0.10769271037822274,1.2258947640282587,1.2259119506299516,1.7186601692920078e-05
2025-10-02,w180_days_buy >= 16,41527,0.21439487025927495,1.409023999130531,1.4091489648788307,0.0001249657482997879
2025-10-02,w180_days_buy 2-15,110149,0.5686753332576125,1.94805831491332,1.947798777757045,-0.00025953715627502483
2025-10-02,w180_days_buy 0-1,42018,0.21692979648311253,1.4781437264767054,1.4778641747739696,-0.0002795517027358585
2025-10-02,rec_buy 15-60,56699,0.2927246068541101,1.949161158533363,1.9488793180818693,-0.00028184045149370895
2025-10-02,never purchased,20357,0.10509876402986154,1.2071380568665406,1.206919970229617,-0.00021808663692368668
2025-10-16,w180_days_buy >= 16,43240,0.21907092446511534,1.4031426279007904,1.4028348510891606,-0.00030777681162974524
2025-10-16,w180_days_buy 2-15,111441,0.5646041372182451,1.945356068020135,1.9451033916346971,-0.0002526763854378
2025-10-16,w180_days_buy 0-1,42698,0.21632493831663957,1.4646315939238377,1.4644133611658092,-0.0002182327580284582
2025-10-16,rec_buy 15-60,56145,0.28445275333242137,1.9405843340337006,1.9402472191331515,-0.000337114900549107
2025-10-16,never purchased,20384,0.103273397879207,1.1814860239665343,1.1812909087895702,-0.0001951151769641335
wCV,never purchased,82278,0.10487847997214346,1.1963394102201539,1.196172814062892,-0.00016659615726184463
wCV,rec_buy 15-60,223152,0.28843392827604425,1.946427311855506,1.9460999417633045,-0.0003273700922014141
wCV,w180_days_buy 0-1,168236,0.2171990676255113,1.4751653117209187,1.4749427899843401,-0.000222521736578359
wCV,w180_days_buy 2-15,438482,0.566996969638659,1.9495545789874125,1.9492777481366228,-0.00027683085078962223
wCV,w180_days_buy >= 16,163898,0.21580396273582966,1.40502927392878,1.4049837559463332,-4.5517982446815115e-05
