contrast,fold,heldout_fold,selection_folds,selection_bounds,heldout_bounds_folds,heldout_bounds,variant,alpha,selection_score,heldout_score,baseline_score,heldout_delta,heldout_offset,clipped_fraction
FRESH,2025-09-04,0,"[1, 2, 3]","{""1"": {""bounds"": [-0.07069762229919434, 0.14395339965820358], ""donor_folds"": [2, 3]}, ""2"": {""bounds"": [-0.08408916473388672, 0.14329332709312434], ""donor_folds"": [1, 3]}, ""3"": {""bounds"": [-0.08903841495513916, 0.08679111003875714], ""donor_folds"": [1, 2]}}","[1, 2, 3]","[-0.08166744947433471, 0.13089673757553139]",GLOBAL,1.0,1.7458947500798079,1.7666404874688348,1.7668833566716835,-0.0002428692028486612,-0.11734445708269592,0.06596717554822351
FRESH,2025-09-18,1,"[0, 2, 3]","{""0"": {""bounds"": [-0.07069762229919434, 0.14395339965820358], ""donor_folds"": [2, 3]}, ""2"": {""bounds"": [-0.13502052307128906, 0.14359737396240235], ""donor_folds"": [0, 3]}, ""3"": {""bounds"": [-0.13656219482421875, 0.08479701519012456], ""donor_folds"": [0, 2]}}","[0, 2, 3]","[-0.12532310485839843, 0.13099954128265512]",GLOBAL,1.0,1.7452754178822347,1.760345713903337,1.7605095767202485,-0.00016386281691160853,-0.07873621248910083,0.0016332940714566156
FRESH,2025-10-02,2,"[0, 1, 3]","{""0"": {""bounds"": [-0.08408916473388672, 0.14329332709312434], ""donor_folds"": [1, 3]}, ""1"": {""bounds"": [-0.13502052307128906, 0.14359737396240235], ""donor_folds"": [0, 3]}, ""3"": {""bounds"": [-0.13773640632629394, 0.06135988235473633], ""donor_folds"": [0, 1]}}","[0, 1, 3]","[-0.12684428691864014, 0.12994913339614889]",GLOBAL,1.0,1.7468581986930087,1.7484351311798259,1.7486292241899832,-0.00019409301015738123,-0.020977553375948747,0.0014507418918500315
FRESH,2025-10-16,3,"[0, 1, 2]","{""0"": {""bounds"": [-0.08903841495513916, 0.08679111003875714], ""donor_folds"": [1, 2]}, ""1"": {""bounds"": [-0.13656219482421875, 0.08479701519012456], ""donor_folds"": [0, 2]}, ""2"": {""bounds"": [-0.13773640632629394, 0.06135988235473633], ""donor_folds"": [0, 1]}}","[0, 1, 2]","[-0.12833185195922853, 0.07998384475707998]",GLOBAL,1.0,1.754442123242493,1.7410251443192215,1.7412785662041037,-0.00025342188488219897,-0.035387154013979336,0.0511351258239225
VOL,2025-09-04,0,"[1, 2, 3]","{""1"": {""bounds"": [-0.028634376525878906, 0.028297519683837924], ""donor_folds"": [2, 3]}, ""2"": {""bounds"": [-0.027242172956466675, 0.031425917148590055], ""donor_folds"": [1, 3]}, ""3"": {""bounds"": [-0.03185570955276489, 0.031212108135223224], ""donor_folds"": [1, 2]}}","[1, 2, 3]","[-0.02949531078338623, 0.030137307643890388]",HIGH16,0.75,1.7461221468611445,1.7668304169185056,1.7668833566716835,-5.293975317788302e-05,-0.11734466693033102,0.01618413095831698
VOL,2025-09-18,1,"[0, 2, 3]","{""0"": {""bounds"": [-0.028634376525878906, 0.028297519683837924], ""donor_folds"": [2, 3]}, ""2"": {""bounds"": [-0.025575056076049804, 0.03323440551757817], ""donor_folds"": [0, 3]}, ""3"": {""bounds"": [-0.031152117252349853, 0.03328148841857914], ""donor_folds"": [0, 2]}}","[0, 2, 3]","[-0.028904938697814943, 0.03152549266815219]",HIGH16,1.0,1.7455016685986329,1.7605084055912157,1.7605095767202485,-1.1711290328619839e-06,-0.07873621248910093,0.014207564454914279
VOL,2025-10-02,2,"[0, 1, 3]","{""0"": {""bounds"": [-0.027242172956466675, 0.031425917148590055], ""donor_folds"": [1, 3]}, ""1"": {""bounds"": [-0.025575056076049804, 0.03323440551757817], ""donor_folds"": [0, 3]}, ""3"": {""bounds"": [-0.030140337944030763, 0.03731122970581047], ""donor_folds"": [0, 1]}}","[0, 1, 3]","[-0.02798073649406433, 0.0339970588684082]",GLOBAL,1.0,1.7470843230192665,1.7486588174674045,1.7486292241899832,2.9593277421247066e-05,-0.020977553375948848,0.01227709686412589
VOL,2025-10-16,3,"[0, 1, 2]","{""0"": {""bounds"": [-0.03185570955276489, 0.031212108135223224], ""donor_folds"": [1, 2]}, ""1"": {""bounds"": [-0.031152117252349853, 0.03328148841857914], ""donor_folds"": [0, 2]}, ""2"": {""bounds"": [-0.030140337944030763, 0.03731122970581047], ""donor_folds"": [0, 1]}}","[0, 1, 2]","[-0.031091690063476562, 0.0340277576446531]",GLOBAL,1.0,1.7546117654360232,1.7412858054817846,1.7412785662041037,7.239277680870515e-06,-0.03538715401397908,0.002016425252939776
