task,cutoff_a,cutoff_b,feature,hist_mean,test_mean,smd,ks,psi,hist_missing,test_missing,hist_q10,test_q10,hist_q50,test_q50,hist_q90,test_q90,median_delta_iqr,gain,split,gain_share,linear_standardized_coef,signed_ks
p28_early,2025-07-03,2025-07-31,w180_days_presence_only,8.03195,8.56705,0.05825837752513158,0.022716666666666663,0.0037510151201732775,0.0,0.0,1.0,1.0,5.0,6.0,19.0,20.0,0.1111111111111111,2217.4400882720947,110.4,0.06433643875144997,0.4019003,0.022716666666666663
p28_early,2025-07-03,2025-07-31,rec_cat,36.901073192469084,37.61265397536394,0.017075953348202368,0.010599097836400562,0.0017978013669610073,0.10236666666666672,0.10699999999999998,1.0,1.0,21.0,21.0,102.0,105.0,0.0,1877.5266112327577,103.0,0.0544742455350485,0.036461275,0.010599097836400562
p28_early,2025-07-03,2025-07-31,w90_days_presence_only,4.5341,4.6343,0.018811812962687795,0.008383333333333354,0.0004636533867187565,0.0,0.0,0.0,0.0,3.0,3.0,11.0,11.0,0.0,1318.4969053268433,70.6,0.03825465041521694,-0.41669032,0.008383333333333354
p28_early,2025-07-03,2025-07-31,w180_ponly_share,0.14385710232824397,0.1504013462163275,0.04743706106680358,0.023249999999999993,0.0028202581095395423,0.0,0.0,0.012195121496915817,0.014084506779909134,0.10606060177087784,0.1111111119389534,0.32258063554763794,0.3333333134651184,0.033022569256222246,1293.7090980529786,66.4,0.03753546108834749,0.043641187,0.023249999999999993
p28_early,2025-07-03,2025-07-31,w180_days_cat,10.303866666666666,9.997233333333334,-0.020513239883344515,0.01526666666666665,0.000985270866237625,0.0,0.0,0.0,0.0,5.0,5.0,26.0,25.0,0.0,1211.1967214584351,76.8,0.03514146068622252,-0.47720292,-0.01526666666666665
p28_early,2025-07-03,2025-07-31,weekend_share,0.2815263260637565,0.27844827122865246,-0.038645861333921054,0.017350000000000088,0.002109899631654746,0.0,0.0,0.190476194024086,0.1875,0.2804878056049347,0.27848100662231445,0.3733493983745573,0.36666667461395264,-0.02495414231183895,789.0609857559205,55.4,0.02289368450121357,-0.04446845,-0.017350000000000088
p28_early,2025-07-03,2025-07-31,w14_srch2cart,14450.330499240557,17850.322732135814,0.008394327543507113,0.006133333333333324,0.00026100570711005657,0.0,0.0,0.0,0.0,0.1666666567325592,0.1666666567325592,0.923076868057251,0.8888887763023376,0.0,782.0103081703186,55.8,0.02268911731175874,-0.0025366198,0.006133333333333324
p28_early,2025-07-03,2025-07-31,w90_ponly_share,0.15379258692370107,0.15601352475661165,0.014288053206355174,0.009516666666666673,0.0005069916014710855,0.0,0.0,0.0,0.0,0.1111111044883728,0.11320754140615463,0.3636363446712494,0.3636363446712494,0.011504838464551229,768.3305479049683,47.6,0.022292215017486593,0.031141711,0.009516666666666673
p28_early,2025-07-03,2025-07-31,w90_days_cat,4.842416666666667,4.8533333333333335,0.0014429145219815131,0.00416666666666668,0.0001901552077960222,0.0,0.0,0.0,0.0,2.0,2.0,12.0,12.0,0.0,704.749525642395,45.8,0.020447485788415,1.129524,0.00416666666666668
p28_early,2025-07-03,2025-07-31,w60_buyday_rate,0.13531235311829173,0.1406671464158843,0.0380630290423945,0.020766666666666656,0.0021298381598209896,0.0,0.0,0.0,0.0,0.10344827175140381,0.1111110970377922,0.333333283662796,0.3333333134651184,0.03678156225160509,672.9651306152343,22.4,0.019525298625509387,-0.02105773,0.020766666666666656
