cutoff,feature,pearson_residual,nonzero_share,mean,std
2025-09-04,eo90_transition_count,-0.008124300910682223,1.0,31.28744125366211,19.664466857910156
2025-09-04,eo90_state_change_count,-0.00860166569626792,0.9831634114514264,18.75181770324707,13.372498512268066
2025-09-04,eo90_repeat_share,0.003758043469588732,0.9898895596176492,0.4144652187824249,0.18452322483062744
2025-09-04,eo90_up_count,-0.0085744937285716,0.9760235096913823,9.348921775817871,6.707642555236816
2025-09-04,eo90_down_count,-0.00838396551297336,0.976500917684253,9.259020805358887,6.651404857635498
2025-09-04,eo90_search_to_cartbuy_count,-0.003027481400284399,0.8891776912549465,4.427985668182373,3.826061725616455
2025-09-04,eo90_cart_to_buy_count,0.0015887352011017253,0.45127255752766315,1.1027593612670898,1.8682557344436646
2025-09-04,eo90_nobuy_to_buy_count,0.01075112826982817,0.7895373386095758,3.825205087661743,3.988978147506714
2025-09-04,eo90_buy_to_nobuy_count,0.010469368051919085,0.7902534505988819,3.8238205909729004,3.9856531620025635
2025-09-04,eo90_buy_to_buy_count,0.017109130031611,0.41000328881061754,1.398503065109253,3.0535638332366943
2025-09-04,eo30_up_count,-0.010836108175264956,0.8813375911053586,3.3678534030914307,2.6370291709899902
2025-09-04,eo30_down_count,-0.011484959906499918,0.8794756999331629,3.3364930152893066,2.625614881515503
2025-09-04,eo90_up_gap_mean,0.005885323367156242,0.9760235096913823,4.170341491699219,4.820546627044678
2025-09-04,eo90_down_gap_mean,0.007261931676796465,0.976500917684253,3.769366502761841,4.475790977478027
2025-09-04,eo_last_transition_code,0.010586033811289463,0.9292693535895776,18.2624568939209,18.422597885131836
2025-09-18,eo90_transition_count,-0.008350502749310144,1.0,31.613431930541992,19.7899112701416
2025-09-18,eo90_state_change_count,-0.006604819899883722,0.9836199450333726,18.963151931762695,13.457674026489258
2025-09-18,eo90_repeat_share,-0.0013761542127268247,0.9895511058761942,0.4137677848339081,0.18382655084133148
2025-09-18,eo90_up_count,-0.006212042256227138,0.9765528072241854,9.45090389251709,6.749443531036377
2025-09-18,eo90_down_count,-0.007120174486083751,0.9771862321685644,9.367920875549316,6.694706439971924
2025-09-18,eo90_search_to_cartbuy_count,-0.0037477801256968306,0.8893024473236487,4.4551496505737305,3.8433616161346436
2025-09-18,eo90_cart_to_buy_count,0.0008337388039158141,0.4532443397461065,1.1150058507919312,1.887977123260498
2025-09-18,eo90_nobuy_to_buy_count,0.01246648158207844,0.7909331239366575,3.8710691928863525,4.0271501541137695
2025-09-18,eo90_buy_to_nobuy_count,0.011271307939734083,0.7919486978144222,3.8702001571655273,4.018558025360107
2025-09-18,eo90_buy_to_buy_count,0.015253212789414721,0.4128988352309907,1.422154188156128,3.0924630165100098
2025-09-18,eo30_up_count,-0.0041343969598052486,0.8836330323256119,3.3944509029388428,2.6408607959747314
2025-09-18,eo30_down_count,-0.005443956416573401,0.8828059154560921,3.371286392211914,2.6345748901367188
2025-09-18,eo90_up_gap_mean,0.005752040406081471,0.9765528072241854,4.114368438720703,4.743366718292236
2025-09-18,eo90_down_gap_mean,0.00977156642132428,0.9771862321685644,3.7306339740753174,4.403203010559082
2025-09-18,eo_last_transition_code,0.010605517553036622,0.9286166732103128,18.11016273498535,18.33478546142578
2025-10-02,eo90_transition_count,-0.0034504393385544154,1.0,32.065185546875,19.92632293701172
2025-10-02,eo90_state_change_count,-0.001954421900602108,0.9836030026743213,19.22849464416504,13.566149711608887
2025-10-02,eo90_repeat_share,-0.003702574549531873,0.9903301083151775,0.41435709595680237,0.18311847746372223
2025-10-02,eo90_up_count,-0.0016733968559093071,0.976948175988931,9.580802917480469,6.803170204162598
2025-10-02,eo90_down_count,-0.0026847561672619677,0.9770772455522628,9.502793312072754,6.749338626861572
2025-10-02,eo90_search_to_cartbuy_count,-0.0032584065206909697,0.8902082666473923,4.513335704803467,3.8774962425231934
2025-10-02,eo90_cart_to_buy_count,0.0011267663479905474,0.454386816318523,1.1288217306137085,1.9094924926757812
2025-10-02,eo90_nobuy_to_buy_count,0.009549445685697815,0.7925232583353125,3.9293835163116455,4.076130390167236
2025-10-02,eo90_buy_to_nobuy_count,0.008790341288929368,0.7938759073590302,3.9358420372009277,4.071144104003906
2025-10-02,eo90_buy_to_buy_count,0.00793166045592879,0.4163267834832261,1.4549288749694824,3.151416778564453
2025-10-02,eo30_up_count,0.003711255827963857,0.885551436802379,3.4252326488494873,2.6571292877197266
2025-10-02,eo30_down_count,0.0034164925433097203,0.8825312090204136,3.3897178173065186,2.644542932510376
2025-10-02,eo90_up_gap_mean,0.004857146210613611,0.976948175988931,4.050800323486328,4.698637962341309
2025-10-02,eo90_down_gap_mean,0.004766572002327118,0.9770772455522628,3.673290729522705,4.364527702331543
2025-10-02,eo_last_transition_code,0.012336857278891725,0.9295176928557415,18.098237991333008,18.29459571838379
2025-10-16,eo90_transition_count,3.075276812636371e-06,1.0,32.49862289428711,20.093839645385742
2025-10-16,eo90_state_change_count,0.001165236117346204,0.9838280668156186,19.479372024536133,13.682409286499023
2025-10-16,eo90_repeat_share,-0.005145043084954862,0.990606903469974,0.4146210849285126,0.1828051060438156
2025-10-16,eo90_up_count,0.001235745387513612,0.9774444089796787,9.713850021362305,6.86438512802124
2025-10-16,eo90_down_count,0.0006267108558951155,0.9773633466579524,9.619797706604004,6.804900169372559
2025-10-16,eo90_search_to_cartbuy_count,-0.0033497225686668812,0.8921161825726142,4.583932399749756,3.92452073097229
2025-10-16,eo90_cart_to_buy_count,0.0012741630076446386,0.4566291246789172,1.1454613208770752,1.9349361658096313
2025-10-16,eo90_nobuy_to_buy_count,0.007070780410125004,0.7931390877448968,3.9806158542633057,4.1253886222839355
2025-10-16,eo90_buy_to_nobuy_count,0.0066446307503343245,0.7941422339762588,3.9802258014678955,4.118786334991455
2025-10-16,eo90_buy_to_buy_count,0.006068369439996961,0.4181295882540696,1.4750404357910156,3.1943230628967285
2025-10-16,eo30_up_count,0.0051307237430734875,0.8888230257524863,3.5022976398468018,2.690217971801758
2025-10-16,eo30_down_count,0.00407153003845713,0.8844507267743782,3.4506356716156006,2.6726062297821045
2025-10-16,eo90_up_gap_mean,0.002075423362929165,0.9774444089796787,3.998763084411621,4.6547532081604
2025-10-16,eo90_down_gap_mean,0.004035218715105731,0.9773633466579524,3.612531900405884,4.254583835601807
2025-10-16,eo_last_transition_code,0.0025921197762391285,0.9309906322354455,18.40662384033203,18.41917610168457
