fold,variant,corr_tab,var_div,solo,mix,mix_d,mix_vs_base,mix_d_vs_prod
2025-09-04,BASE_1HEAD,0.9944015505564369,0.03500282510775431,1.7684564819311246,1.765831605684949,1.7657178745878965,0.0,-0.0004245936825846286
2025-09-04,DIST_TAB,0.9991868970362414,0.0050841353548380114,1.768436062675978,1.7676031877293072,1.766142468137817,0.001771582044358233,-1.3266410192613876e-10
2025-09-04,DIST_X_CLEAN,0.9972708998022369,0.01706785580166385,1.7688514646463258,1.7670159223679482,1.765973255935377,0.0011843166829992313,-0.00016921233510425182
2025-09-04,DIST_X_FRESH,0.9975370509885,0.015395506989507575,1.7680764206190411,1.7668825890247282,1.765829427821643,0.0010509833397791546,-0.0003130404488380645
2025-09-04,DIST_X_VOL,0.9971725948613205,0.01768229901845875,1.7688264192190963,1.7669718889530068,1.7659402918625262,0.0011402832680578179,-0.00020217640795494596
2025-09-04,MHZ_B30_X_CLEAN,0.996316901156662,0.023058810573006246,1.7703407698184468,1.7671073686003111,1.7661293440209918,0.001275762915362133,-0.000013124249489404605
2025-09-04,MHZ_B30_X_FRESH,0.9966071365924437,0.02122876939848108,1.7695214487348214,1.7669699141429758,1.7659812490652123,0.00113830845802676,-0.0001612192052689032
2025-09-04,MHZ_B30_X_VOL,0.9962183545268354,0.02367513998261198,1.7703165293740286,1.7670634609659295,1.7660963396878546,0.001231855280980465,-0.00004612858262653674
2025-09-04,MHZ_CNT_X_CLEAN,0.9965656257322526,0.021495965557279888,1.7699823906251353,1.767092531562822,1.7661291215449046,0.0012609258778730759,-0.000013346725576512952
2025-09-04,MHZ_CNT_X_FRESH,0.9968389815366893,0.019773614504242736,1.7691940352389581,1.7669580279942954,1.7659829633120085,0.0011264223093463421,-0.0001595049584726116
2025-09-04,MHZ_CNT_X_VOL,0.9964668945376028,0.022113351476249637,1.7699574332932861,1.767048346857284,1.7660958638382893,0.0012167411723349453,-0.000046604432191843514
2025-09-04,S04LGB_X_CLEAN,0.9966601347412487,0.020904036085047484,1.7699495670919252,1.767117838805697,1.7661154214374508,0.0012862331207479372,-0.000027046833030341944
2025-09-04,S04LGB_X_FRESH,0.9969600856573496,0.019014996954764895,1.7691105065253863,1.7669780176419985,1.7659660459331576,0.0011464119570494535,-0.00017642233732351187
2025-09-04,S04LGB_X_VOL,0.9965689478283122,0.021473979240437042,1.7699105002283422,1.7670722343620378,1.766081204286175,0.0012406286770887398,-0.00006126398430605917
2025-09-04,SEQ_X_CLEAN,0.9940231524129286,0.03740054372207269,1.7697870265785096,1.766088501111373,1.7658463135763154,0.00025689542642393093,-0.00029615469416577334
2025-09-04,SEQ_X_FRESH,0.9944339302601943,0.034807744366604956,1.7687990286388346,1.7659457089341364,1.7656873445288574,0.00011410324918736947,-0.0004551237416237086
2025-09-04,SEQ_X_VOL,0.9939747183996358,0.03770075248172105,1.7696754737962714,1.7660371170650482,1.7658076648948797,0.00020551138009916592,-0.00033480337560143347
2025-09-04,[смесь с SEQ-01],0.9942408125553298,0.0360364719867838,1.769696772915476,1.7661424682704812,1.7661424682704812,0.00031086258553214563,0.0
2025-09-18,BASE_1HEAD,0.9935245031941731,0.040182495256367676,1.7627892406830972,1.7581951703410843,1.7580824667662196,0.0,-0.00003060633417528713
2025-09-18,DIST_TAB,0.9991909373915485,0.005015130675685904,1.76084279820515,1.7597091129698466,1.7581130730662897,0.0015139426287622548,-3.410516313806511e-11
2025-09-18,DIST_X_CLEAN,0.9974286421781465,0.015944874139311553,1.7615753578439848,1.7592768487516195,1.758079380472764,0.0010816784105351918,-0.0000336926276309768
2025-09-18,DIST_X_FRESH,0.997674795602568,0.014410306517367823,1.7608183284914158,1.7591410753917602,1.7579557047016712,0.0009459050506759326,-0.00015736839872371178
2025-09-18,DIST_X_VOL,0.9973577359304487,0.016384340892603162,1.7615664124598482,1.759247932435416,1.7580567668394549,0.001052762094331694,-0.0000563062609399978
2025-09-18,MHZ_B30_X_CLEAN,0.9965103286149555,0.02166729753268916,1.7632246971855565,1.759430987297143,1.7582816483501906,0.0012358169560586774,0.0001685752497957438
2025-09-18,MHZ_B30_X_FRESH,0.9967780001520181,0.01999224907937564,1.7624299468338773,1.7592920606471587,1.7581552678155479,0.001096890306074405,0.00004219471515298778
2025-09-18,MHZ_B30_X_VOL,0.9964372619082257,0.022120614246639584,1.763220353611639,1.7594026279788963,1.7582593855204076,0.0012074576378120483,0.0001463124200127286
2025-09-18,MHZ_CNT_X_CLEAN,0.9967199174504423,0.020360038395414552,1.7628594567638007,1.7593992051098484,1.7582666755619152,0.001204034768764073,0.00015360246152029688
2025-09-18,MHZ_CNT_X_FRESH,0.9969801503359779,0.018732858939154065,1.7620795301349867,1.759261922651864,1.7581414830112596,0.001066752310779684,0.000028409910864723997
2025-09-18,MHZ_CNT_X_VOL,0.9966453177088707,0.02082283674275473,1.7628583077693778,1.75937123995455,1.7582446897167294,0.0011760696134657245,0.00013161661633454003
2025-09-18,S04LGB_X_CLEAN,0.9968510472209927,0.01953688815576328,1.7622914887377785,1.759277628057695,1.7581357698056315,0.0010824577166106408,0.000022696705236580073
