run,part,n,offset,rmsle,rmsle_cal,auc,mean_z,std_z
BASE42,SEQ-D3A-BASE-S42-V0918,191025,-0.06674569817016074,1.7662322561477286,1.764971362176542,0.8406278226715943,2.7075145310161157,1.582049900526178
D3A42,SEQ-D3A-S42-V0918,191025,-0.08942160436229307,1.7707849720980813,1.7685257120216473,0.8392553271655191,2.7302347942023295,1.522037627481631
BASE43,SEQ-D3A-BASE-S43-V0918,191025,-0.04692110024690917,1.764645294848421,1.7640228104768787,0.8410178772767084,2.6876182487856233,1.5694087886559263
D3A43,SEQ-D3A-S43-V0918,191025,-0.004849328598944605,1.76367894656701,1.7636722836143575,0.8409457516720917,2.645577736435066,1.5490708056772509
