bank,fit,intercept,component_sum,L1_norm,effective_components,signed_share_SEQ,signed_share_ETX,signed_share_TABULAR,signed_share_BTYD_OTHER,absolute_share_SEQ,absolute_share_ETX,absolute_share_TABULAR,absolute_share_BTYD_OTHER
reference_40,2025-09-04,0.0,1.0,1.0,4.678362573099415,0.225,0.225,0.55,0.0,0.225,0.225,0.55,0.0
reference_40,2025-09-18,-0.09089315374436116,1.0212188840318146,4.604661920618739,16.265372513605843,0.3419815090094503,0.2786516963422761,0.2094576501678759,0.1699091444803978,0.07584443353513756,0.13667642480439246,0.3639260647923639,0.42355307686810595
reference_40,2025-10-02,-0.08241088393168695,1.0185283077049614,4.129164633378348,14.479094327773215,0.30424162724703413,0.2861548045012341,0.149222744265881,0.26038082398585066,0.07504634405429184,0.07058492325887854,0.4113653960202751,0.4430033366665545
reference_40,2025-10-16,-0.06366922928847685,1.0175161709202434,4.073396379605621,12.389499764782308,0.26753559867656923,0.25582792416050376,0.1482700690817751,0.328366408081152,0.06682919425990005,0.08797195082655793,0.37689378477866375,0.46830507013487843
reference_40,final_all_folds,-0.04861092105498325,1.012931731034294,3.704949764829972,14.030803287878355,0.2729176334123684,0.20906076244172417,0.20721946938423846,0.31080213476166896,0.07461556792656268,0.07651906408725848,0.4081033268262048,0.44076204115997397
forward_deployable,2025-09-04,0.0,1.0,1.0,4.678362573099415,0.225,0.225,0.55,0.0,0.225,0.225,0.55,0.0
forward_deployable,2025-09-18,-0.09093361596420318,1.0129211409383654,2.5772004521939498,9.614209851465512,0.2711666073117987,0.29754120781904403,0.22938624054929885,0.2019059443198586,0.10657703750937503,0.28707368081093015,0.4754659207541146,0.13088336092558034
forward_deployable,2025-10-02,-0.08179345658176344,1.0147194957714107,1.9751217567710229,8.238729355815627,0.25538458384357837,0.2925687370416232,0.25182732023813187,0.20021935887666645,0.13120391958478644,0.1503072913412149,0.5700489214946686,0.14843986757932998
forward_deployable,2025-10-16,-0.06479082175320329,1.0166680422633474,2.021609890490459,8.45722425223146,0.21165303372749314,0.26344975843783003,0.29476097444335975,0.23013623339131725,0.10644035550628617,0.20801297568304544,0.5698111082772523,0.11573556053341615
forward_deployable,final_all_folds,-0.051104081890281546,1.0144026813435802,1.9008535316057404,8.022947993531517,0.21799253146298805,0.2194282091187218,0.3002065753211197,0.26237268409717046,0.11633311286331939,0.16954164945347389,0.5741083716626821,0.14001686602052452
