bank,fit,component,family,weight
reference_40,2025-09-18,BLOCK4:z_new_honest,BTYD_OTHER,-0.04067022673486294
reference_40,2025-09-18,FRESH:z_fresh,BTYD_OTHER,0.6910880615426667
reference_40,2025-09-18,FRESH:z_vol,BTYD_OTHER,-0.22541890117534308
reference_40,2025-09-18,FRESH:z_clean,BTYD_OTHER,-0.42004791077182424
reference_40,2025-10-02,INTERCEPT,INTERCEPT,-0.08241088393168695
reference_40,2025-10-02,S1-E02,TABULAR,0.05023509008701218
reference_40,2025-10-02,S1-E03a,TABULAR,0.06370063714872368
reference_40,2025-10-02,S1-DIST,TABULAR,0.11085282730701314
reference_40,2025-10-02,S1-E10,TABULAR,0.043218884627116205
reference_40,2025-10-02,S1-E11,TABULAR,-0.16046920674014387
reference_40,2025-10-02,S1-SEEDAVG5,TABULAR,-0.14012833465418234
reference_40,2025-10-02,S1-B0,TABULAR,-0.03019308507965483
reference_40,2025-10-02,S1-E01,TABULAR,0.014605912807243935
reference_40,2025-10-02,S1-E03b,TABULAR,-0.008887566975351573
reference_40,2025-10-02,SEQ-AVG3,SEQ,0.06556630694966568
reference_40,2025-10-02,SEQ-D3A-AVG3,SEQ,0.16981972852698954
reference_40,2025-10-02,SEQ-D3A-BASE-AVG3,SEQ,0.07449267425667012
reference_40,2025-10-02,ETX-AVG3,ETX,0.17195445901060377
reference_40,2025-10-02,ETX-AVG2,ETX,0.024350195636714377
reference_40,2025-10-02,ETX-01-S42,ETX,0.0951521141229679
reference_40,2025-10-02,PT-FULL-AVG3,BTYD_OTHER,0.12464772690036871
reference_40,2025-10-02,PT-OD-AVG3,BTYD_OTHER,-0.11439202120878682
reference_40,2025-10-02,PT-SHUF-AVG3,BTYD_OTHER,0.0012566326003479323
reference_40,2025-10-02,RIDGE15,TABULAR,-0.05645852863593282
reference_40,2025-10-02,HOLIDAY-YOY-FAST,TABULAR,-0.08713464361739422
reference_40,2025-10-02,MHZ-FULL,TABULAR,0.016422722347005963
reference_40,2025-10-02,MHZ-BASE,TABULAR,-0.048672663824918194
reference_40,2025-10-02,MHZ-P30,TABULAR,0.011792297974571268
reference_40,2025-10-02,MHZ-SELF,TABULAR,0.015193515589192288
reference_40,2025-10-02,S04-A,TABULAR,-0.11995146819442586
reference_40,2025-10-02,S04-B,TABULAR,0.4403134200721629
reference_40,2025-10-02,S04-C,TABULAR,-0.020076283880380408
reference_40,2025-10-02,GAP-E02-K5-G090-S42,TABULAR,0.008546264565598628
reference_40,2025-10-02,GAP-E10-K5-G090-S42,TABULAR,0.017118851220856428
reference_40,2025-10-02,GAP-DIST-K5-G060-S42,TABULAR,-0.019634184591924623
reference_40,2025-10-02,SAMPLE-TB1-AVG3-R300,TABULAR,0.09007220855111421
reference_40,2025-10-02,SAMPLE-DENSE-S3-F422-S42-R300,TABULAR,-0.003104723169362446
reference_40,2025-10-02,S1-ROUNDS-R600,TABULAR,0.0432188846177974
reference_40,2025-10-02,S1-ROUNDS-R300,TABULAR,-0.07859323836351906
reference_40,2025-10-02,BTYD:z_btyd,BTYD_OTHER,0.0975178595728643
reference_40,2025-10-02,BTYD:z_strongest,BTYD_OTHER,0.09757246091566779
reference_40,2025-10-02,BLOCK4:z_new_honest,BTYD_OTHER,-0.03455717919331973
reference_40,2025-10-02,FRESH:z_fresh,BTYD_OTHER,0.7262247951333864
reference_40,2025-10-02,FRESH:z_vol,BTYD_OTHER,-0.22620409144568657
reference_40,2025-10-02,FRESH:z_clean,BTYD_OTHER,-0.40686094326171024
reference_40,2025-10-16,INTERCEPT,INTERCEPT,-0.06366922928847685
reference_40,2025-10-16,S1-E02,TABULAR,0.015208393721299606
reference_40,2025-10-16,S1-E03a,TABULAR,0.057852834813690315
reference_40,2025-10-16,S1-DIST,TABULAR,0.10956246727698675
reference_40,2025-10-16,S1-E10,TABULAR,0.020359159602241137
reference_40,2025-10-16,S1-E11,TABULAR,-0.16363105921378557
reference_40,2025-10-16,S1-SEEDAVG5,TABULAR,-0.14240544132328145
reference_40,2025-10-16,S1-B0,TABULAR,-0.014102409458002953
reference_40,2025-10-16,S1-E01,TABULAR,-0.00017002316596026335
reference_40,2025-10-16,S1-E03b,TABULAR,-0.01287308684051996
reference_40,2025-10-16,SEQ-AVG3,SEQ,0.09639926113206344
reference_40,2025-10-16,SEQ-D3A-AVG3,SEQ,0.16564349524171307
reference_40,2025-10-16,SEQ-D3A-BASE-AVG3,SEQ,0.010179041576461134
reference_40,2025-10-16,ETX-AVG3,ETX,0.10536054937556011
reference_40,2025-10-16,ETX-AVG2,ETX,-0.04901778809873729
reference_40,2025-10-16,ETX-01-S42,ETX,0.20396628852944743
reference_40,2025-10-16,PT-FULL-AVG3,BTYD_OTHER,0.13399028974642685
reference_40,2025-10-16,PT-OD-AVG3,BTYD_OTHER,-0.08082561955502215
reference_40,2025-10-16,PT-SHUF-AVG3,BTYD_OTHER,0.00876546661265495
reference_40,2025-10-16,RIDGE15,TABULAR,-0.019964018222242922
reference_40,2025-10-16,HOLIDAY-YOY-FAST,TABULAR,-0.13230795529391576
reference_40,2025-10-16,MHZ-FULL,TABULAR,0.016127761570180435
reference_40,2025-10-16,MHZ-BASE,TABULAR,-0.04075902195474088
reference_40,2025-10-16,MHZ-P30,TABULAR,0.001607749278284566
reference_40,2025-10-16,MHZ-SELF,TABULAR,0.03570423599814624
reference_40,2025-10-16,S04-A,TABULAR,-0.07162052811516448
reference_40,2025-10-16,S04-B,TABULAR,0.4437511059938817
reference_40,2025-10-16,S04-C,TABULAR,-0.00809404527501575
reference_40,2025-10-16,GAP-E02-K5-G090-S42,TABULAR,0.04416318201211666
reference_40,2025-10-16,GAP-E10-K5-G090-S42,TABULAR,-0.020242032981102723
reference_40,2025-10-16,GAP-DIST-K5-G060-S42,TABULAR,0.010332714001550133
reference_40,2025-10-16,SAMPLE-TB1-AVG3-R300,TABULAR,0.06802372180464791
reference_40,2025-10-16,SAMPLE-DENSE-S3-F422-S42-R300,TABULAR,-0.05304745050955558
reference_40,2025-10-16,S1-ROUNDS-R600,TABULAR,0.020359159610692824
reference_40,2025-10-16,S1-ROUNDS-R300,TABULAR,-0.012968220376262229
reference_40,2025-10-16,BTYD:z_btyd,BTYD_OTHER,0.0846457187211401
reference_40,2025-10-16,BTYD:z_strongest,BTYD_OTHER,0.08161353643592956
reference_40,2025-10-16,BLOCK4:z_new_honest,BTYD_OTHER,0.031094199265871675
reference_40,2025-10-16,FRESH:z_fresh,BTYD_OTHER,0.7807459429419459
reference_40,2025-10-16,FRESH:z_vol,BTYD_OTHER,-0.19154164989416192
reference_40,2025-10-16,FRESH:z_clean,BTYD_OTHER,-0.5143697540652172
reference_40,final_all_folds,INTERCEPT,INTERCEPT,-0.04861092105498325
reference_40,final_all_folds,S1-E02,TABULAR,-0.00029656622319612636
reference_40,final_all_folds,S1-E03a,TABULAR,0.04065531498088203
reference_40,final_all_folds,S1-DIST,TABULAR,0.09535664522042704
reference_40,final_all_folds,S1-E10,TABULAR,0.024669295193747522
reference_40,final_all_folds,S1-E11,TABULAR,-0.16508331146119998
reference_40,final_all_folds,S1-SEEDAVG5,TABULAR,-0.10054553467257783
reference_40,final_all_folds,S1-B0,TABULAR,-0.00025555314275905967
reference_40,final_all_folds,S1-E01,TABULAR,0.006560147450841452
reference_40,final_all_folds,S1-E03b,TABULAR,-0.018908801975606362
reference_40,final_all_folds,SEQ-AVG3,SEQ,0.12529868622988966
reference_40,final_all_folds,SEQ-D3A-AVG3,SEQ,0.14247947610905806
reference_40,final_all_folds,SEQ-D3A-BASE-AVG3,SEQ,0.008668768503225498
reference_40,final_all_folds,ETX-AVG3,ETX,0.16408546154059697
reference_40,final_all_folds,ETX-AVG2,ETX,-0.03586750425182642
reference_40,final_all_folds,ETX-01-S42,ETX,0.08354632270267441
reference_40,final_all_folds,PT-FULL-AVG3,BTYD_OTHER,0.1037285585589292
reference_40,final_all_folds,PT-OD-AVG3,BTYD_OTHER,-0.08851488323844843
reference_40,final_all_folds,PT-SHUF-AVG3,BTYD_OTHER,0.027139517270088297
reference_40,final_all_folds,RIDGE15,TABULAR,-0.006491095752043843
reference_40,final_all_folds,HOLIDAY-YOY-FAST,TABULAR,-0.1436494073262739
reference_40,final_all_folds,MHZ-FULL,TABULAR,0.00535041042998172
reference_40,final_all_folds,MHZ-BASE,TABULAR,-0.04369648589839218
reference_40,final_all_folds,MHZ-P30,TABULAR,-0.011770934855907286
reference_40,final_all_folds,MHZ-SELF,TABULAR,0.03781429445823664
reference_40,final_all_folds,S04-A,TABULAR,-0.07352865879966353
reference_40,final_all_folds,S04-B,TABULAR,0.4519957344593775
reference_40,final_all_folds,S04-C,TABULAR,0.012264355199798111
reference_40,final_all_folds,GAP-E02-K5-G090-S42,TABULAR,0.06651385653535236
reference_40,final_all_folds,GAP-E10-K5-G090-S42,TABULAR,-0.027345016391945476
reference_40,final_all_folds,GAP-DIST-K5-G060-S42,TABULAR,0.03389156792494632
reference_40,final_all_folds,SAMPLE-TB1-AVG3-R300,TABULAR,0.06120983264192353
reference_40,final_all_folds,SAMPLE-DENSE-S3-F422-S42-R300,TABULAR,-0.040414992954964965
reference_40,final_all_folds,S1-ROUNDS-R600,TABULAR,0.024669295793716402
reference_40,final_all_folds,S1-ROUNDS-R300,TABULAR,-0.019065215007315534
reference_40,final_all_folds,BTYD:z_btyd,BTYD_OTHER,0.07090136075773482
reference_40,final_all_folds,BTYD:z_strongest,BTYD_OTHER,0.0929568128108116
reference_40,final_all_folds,BLOCK4:z_new_honest,BTYD_OTHER,0.0648576080663916
reference_40,final_all_folds,FRESH:z_fresh,BTYD_OTHER,0.6143274250935022
reference_40,final_all_folds,FRESH:z_vol,BTYD_OTHER,-0.1552012547630047
reference_40,final_all_folds,FRESH:z_clean,BTYD_OTHER,-0.41537380018271325
forward_deployable,2025-09-04,INTERCEPT,INTERCEPT,0.0
forward_deployable,2025-09-04,S1-E02,TABULAR,0.2
forward_deployable,2025-09-04,S1-E03a,TABULAR,0.1
forward_deployable,2025-09-04,S1-DIST,TABULAR,0.25
forward_deployable,2025-09-04,S1-E11,TABULAR,0.0
forward_deployable,2025-09-04,SEQ-AVG3,SEQ,0.225
forward_deployable,2025-09-04,ETX-AVG3,ETX,0.225
forward_deployable,2025-09-04,ETX-AVG2,ETX,0.0
forward_deployable,2025-09-04,ETX-01-S42,ETX,0.0
forward_deployable,2025-09-04,RIDGE15,TABULAR,0.0
forward_deployable,2025-09-04,HOLIDAY-YOY-FAST,TABULAR,0.0
forward_deployable,2025-09-04,S04-A,TABULAR,0.0
forward_deployable,2025-09-04,S04-B,TABULAR,0.0
forward_deployable,2025-09-04,SAMPLE-TB1-AVG3-R300,TABULAR,0.0
forward_deployable,2025-09-04,BTYD:z_btyd,BTYD_OTHER,0.0
forward_deployable,2025-09-04,BTYD:z_strongest,BTYD_OTHER,0.0
forward_deployable,2025-09-04,BLOCK4:z_new_honest,BTYD_OTHER,0.0
forward_deployable,2025-09-18,INTERCEPT,INTERCEPT,-0.09093361596420318
forward_deployable,2025-09-18,S1-E02,TABULAR,-0.017956096478627927
forward_deployable,2025-09-18,S1-E03a,TABULAR,0.06683901675040042
forward_deployable,2025-09-18,S1-DIST,TABULAR,0.10968011277938987
forward_deployable,2025-09-18,S1-E11,TABULAR,-0.17404651733721202
forward_deployable,2025-09-18,SEQ-AVG3,SEQ,0.27467038926265286
forward_deployable,2025-09-18,ETX-AVG3,ETX,0.30629495236666326
forward_deployable,2025-09-18,ETX-AVG2,ETX,-0.21923032014933272
forward_deployable,2025-09-18,ETX-01-S42,ETX,0.2143211474829148
forward_deployable,2025-09-18,RIDGE15,TABULAR,-0.03970898249597279
forward_deployable,2025-09-18,HOLIDAY-YOY-FAST,TABULAR,0.013304061816965014
forward_deployable,2025-09-18,S04-A,TABULAR,-0.20544738851126487
forward_deployable,2025-09-18,S04-B,TABULAR,0.5390373878847822
forward_deployable,2025-09-18,SAMPLE-TB1-AVG3-R300,TABULAR,-0.05935142191570175
