candidate,rho_rebuilt_single_seed,rho_composition_matched_EXP076,absolute_difference,passes_0_003
EXP075_joint,0.0015530022457627152,0.0015513507768353753,1.6514689273399667e-06,True
EXP081_A,0.02035892600983471,0.02063974264216375,0.00028081663232903953,True
EXP081_B,0.021521451137961743,0.021763003546862877,0.00024155240890113422,True
EXP081_AB_mean,0.021566524854984462,0.021832727880389965,0.00026620302540550367,True
