rounds,name,wcv,fold_cal,fold_offsets,mean_z,auc_positive,prediction_sha256,delta_wcv,fold_delta,improved_folds,delta_2025_10_16
200,AVG3_R200,1.7475724721370833,"[1.766857836237166, 1.7605495026675682, 1.7487326467804714, 1.7413374566702577]","[-0.11536955438024674, -0.07940476181554541, -0.021703481763846143, -0.034798283599232496]",2.687902065060407,0.8423990095262103,3cc6374db340e8c16683d3f8fbdf4c35ef696c76b5d3b9279ad0af7a7f9d1358,6.505618155472348e-05,"[2.9494206558844382e-05, 6.965393247893026e-05, 7.441791165363476e-05, 6.367112564897859e-05]",0,6.367112564897859e-05
250,AVG3_R250,1.7475332686352698,"[1.7668451502223597, 1.7605062950600276, 1.748687169569291, 1.7412990763636835]","[-0.11592822129275135, -0.07907427243200747, -0.021158808476816095, -0.034537687299314196]",2.687753152422231,0.8423932604251256,6bb4031b63b3008e13aded83481752ba2509359c123dd1a4f6edb4fabfe1bfd8,2.5852679741200646e-05,"[1.6808191752426538e-05, 2.6446324938422805e-05, 2.894070047321229e-05, 2.5290819074763604e-05]",0,2.5290819074763604e-05
300,AVG3_R300,1.7475074159555286,"[1.7668283420306072, 1.7604798487350892, 1.7486582288688177, 1.7412737855446088]","[-0.11643737491201286, -0.07877043304331532, -0.021015601171629428, -0.034574669026025365]",2.6877758646242125,0.8423899439340136,eaac69626629db16decfa109693fbc2eb7f38e8051c12859f5c7566aa1ba87b8,0.0,"[0.0, 0.0, 0.0, 0.0]",0,0.0
600,AVG3_R600,1.7474573027361282,"[1.7668521872220488, 1.7604133277231908, 1.748590317035728, 1.741227428778823]","[-0.11792956664499277, -0.07869429081835139, -0.020925040576504832, -0.03548479750072937]",2.6883323627862845,0.8423712451346156,2a4472908bf42ee42fdcae35e664284ebc7cb3a5260c41891b86888860fe7ce2,-5.011321940040503e-05,"[2.3845191441607128e-05, -6.652101189841275e-05, -6.791183308973991e-05, -4.6356765785793286e-05]",3,-4.6356765785793286e-05
