contrast,effect,delta_wcv,fold_delta,improved_folds,delta_2025_10_16,raw_var_delta_z,raw_max_abs_delta_z,raw_mean_delta_z,raw_pearson_prediction,raw_residual_correlation,raw_corr_delta_with_baseline_residual,raw_corr_with_a_residual
B-A,AVG3_only_at_600,-5.255978406704109e-05,"[-3.116957767068662e-05, -9.624905662275474e-05, -3.8906929223925246e-05, -5.1137669148770826e-05]",4,-5.1137669148770826e-05,0.00019777944210462844,0.15866988897323608,0.00014451274587459003,0.9999581462094412,0.9999678777276374,0.007566127787213931,
C-A,rounds_only_seed42,3.3136066023287114e-05,"[-3.132539934669332e-05, 1.6116709939506535e-05, 8.244768567378102e-05, 2.0792778390177347e-05]",1,2.0792778390177347e-05,0.0001788546286169647,0.14158740043640128,-0.0004986768230268464,0.999962175237192,0.9999709522136008,0.002437431895185009,
D-B,rounds_after_AVG3,5.011321940040503e-05,"[-2.3845191441607128e-05, 6.652101189841275e-05, 6.791183308973991e-05, 4.6356765785793286e-05]",1,4.6356765785793286e-05,9.543122553576488e-05,0.11962721745173122,-0.000556498162071803,0.9999798261433174,0.9999845003722733,-0.00042549537955181377,
D-C,AVG3_at_300,-3.558263068992318e-05,"[-2.3689369765600432e-05, -4.584475466384852e-05, -5.3442781807966355e-05, -2.5573681753154887e-05]",4,-2.5573681753154887e-05,0.00011942064550734296,0.11552132765452061,8.669140682963344e-05,0.9999747184139055,0.9999806048687228,0.006505703766438829,
D-A,combined,-2.446564666636064e-06,"[-5.501476911229375e-05, -2.9728044724341984e-05, 2.900490386581467e-05, -4.78090336297754e-06]",3,-4.78090336297754e-06,0.00029548685106678326,0.21479824384053536,-0.000411985416197213,0.999937473409107,0.9999520089227858,0.005985997029689072,
D-B-C+A,factor_interaction,1.6977153376777445e-05,"[7.480207905086189e-06, 5.040430195890622e-05, -1.4535852584041109e-05, 2.556398739561594e-05]",,,8.216055607137943e-05,0.08890031178792324,-5.78213390449566e-05,,,,-0.003983258418026533
