component,fold,exact_prediction_match,max_abs_delta_z,mae_delta_z,var_delta_z,pearson,old_prediction_sha256,replay_prediction_sha256,old_rmsle_cal,replay_rmsle_cal,delta_rmsle_cal,status
UNC,2025-10-16,True,0.0,0.0,0.0,1.0,76193afe9c48768184bbb617777237a465d5c5d35a36cab266677cf452ab9c7f,76193afe9c48768184bbb617777237a465d5c5d35a36cab266677cf452ab9c7f,1.7451316740083374,1.7451316740083374,0.0,PASS_BITWISE
CAP,2025-10-16,True,0.0,0.0,0.0,0.9999999999999999,c4bfc7e474d53ec2cab48a06acd9c48a4165d5c4b468bd1d6a1e2b35caa99ea2,c4bfc7e474d53ec2cab48a06acd9c48a4165d5c4b468bd1d6a1e2b35caa99ea2,1.7553448642465437,1.7553448642465437,0.0,PASS_BITWISE
