segment,exp,n,share,mse_share,rmsle,auc,rmsle_folds,auc_folds
rec_buy 180+,SEQ-AVG2,19102,0.024787961838321552,0.02091623656451702,1.6011430819829304,0.5824976422401803,"[1.63311, 1.64793, 1.5928, 1.58962]","[0.58203, 0.58403, 0.58534, 0.58075]"
rec_buy 180+,SEQ-AVG3,19102,0.024787961838321552,0.02092461660504341,1.6009236574172974,0.582154430990847,"[1.63286, 1.64835, 1.5918, 1.58964]","[0.58134, 0.58505, 0.5864, 0.57941]"
никогда не покупал,S1-ROUNDS,82278,0.10676913015042512,0.0506739467382431,1.201217786471049,0.6223234642355134,"[1.21549, 1.22929, 1.21225, 1.1869]","[0.61333, 0.62691, 0.6218, 0.62256]"
никогда не покупал,SEQ-AVG2,82278,0.10676913015042512,0.05078181251883507,1.2002733707427977,0.6127976872894274,"[1.21564, 1.23359, 1.21114, 1.18459]","[0.60319, 0.6135, 0.61296, 0.61374]"
никогда не покупал,SEQ-AVG3,82278,0.10676913015042512,0.050780631601810455,1.2003405809402465,0.6130155077135822,"[1.21535, 1.23166, 1.21112, 1.18524]","[0.60639, 0.61669, 0.61485, 0.61201]"
w180_days_buy 0-1,S1-ROUNDS,168236,0.21831366075970393,0.1562773585319519,1.4793819427490233,0.6861520620956496,"[1.48847, 1.50951, 1.48283, 1.46899]","[0.68332, 0.68689, 0.68302, 0.68789]"
w180_days_buy 0-1,SEQ-AVG2,168236,0.21831366075970393,0.15627099573612213,1.4774446407953898,0.6851083572664339,"[1.48753, 1.51022, 1.48062, 1.4664]","[0.68197, 0.68387, 0.68135, 0.68769]"
w180_days_buy 0-1,SEQ-AVG3,168236,0.21831366075970393,0.15628135204315186,1.4771945317586264,0.685097213581917,"[1.48724, 1.50915, 1.4802, 1.46645]","[0.68307, 0.68469, 0.68191, 0.68705]"
w180_days_buy 2-3,S1-ROUNDS,111069,0.14413015042511446,0.17311452329158783,1.9228201150894164,0.6183788229144848,"[1.93134, 1.92768, 1.93211, 1.91589]","[0.61913, 0.61801, 0.61609, 0.61952]"
w180_days_buy 2-3,SEQ-AVG2,111069,0.14413015042511446,0.17304354906082153,1.9217166582743328,0.6187156334192896,"[1.92834, 1.92447, 1.93046, 1.91583]","[0.62221, 0.6195, 0.61656, 0.61916]"
w180_days_buy 2-3,SEQ-AVG3,111069,0.14413015042511446,0.17307330667972565,1.9212343295415242,0.61927346108293,"[1.92802, 1.92398, 1.92983, 1.9154]","[0.62231, 0.62024, 0.61733, 0.61962]"
w180_days_buy 4-7,S1-ROUNDS,157309,0.20413409532114568,0.27332305908203125,2.0277737617492675,0.6254348899628069,"[2.04532, 2.04295, 2.02654, 2.0224]","[0.62415, 0.62527, 0.62627, 0.62522]"
w180_days_buy 4-7,SEQ-AVG2,157309,0.20413409532114568,0.27309319376945496,2.0255064646402996,0.6252451455075283,"[2.04131, 2.041, 2.0248, 2.02001]","[0.62779, 0.62488, 0.62669, 0.6243]"
w180_days_buy 4-7,SEQ-AVG3,157309,0.20413409532114568,0.27311694622039795,2.025026226043701,0.6256088367956525,"[2.04074, 2.04024, 2.02411, 2.01972]","[0.62799, 0.62556, 0.62753, 0.62437]"
w180_days_buy 8-15,S1-ROUNDS,170104,0.22073769555783945,0.26017099618911743,1.9016450723012288,0.6474122618339921,"[1.92859, 1.91397, 1.89342, 1.89931]","[0.65022, 0.64862, 0.64599, 0.64747]"
w180_days_buy 8-15,SEQ-AVG2,170104,0.22073769555783945,0.26016348600387573,1.9012514193852743,0.6426029404707437,"[1.92574, 1.91043, 1.89228, 1.90038]","[0.65059, 0.64714, 0.64247, 0.64054]"
w180_days_buy 8-15,SEQ-AVG3,170104,0.22073769555783945,0.2601894438266754,1.9008288224538168,0.6428847373595915,"[1.9248, 1.91017, 1.89163, 1.9001]","[0.65068, 0.64737, 0.64318, 0.64064]"
w180_days_buy 16+,S1-ROUNDS,163898,0.2126843979361965,0.1371140033006668,1.408916441599528,0.743960497059498,"[1.42657, 1.40043, 1.4132, 1.40669]","[0.74498, 0.75279, 0.74016, 0.74353]"
w180_days_buy 16+,SEQ-AVG2,163898,0.2126843979361965,0.1374286562204361,1.4102418581644693,0.7325302098983028,"[1.42662, 1.39911, 1.41344, 1.40938]","[0.73667, 0.74473, 0.73011, 0.73017]"
w180_days_buy 16+,SEQ-AVG3,163898,0.2126843979361965,0.13733898103237152,1.4091689268747964,0.7335041956425951,"[1.4257, 1.39838, 1.41282, 1.40797]","[0.7369, 0.74551, 0.7309, 0.73138]"
