exp,cutoff,rmsle_cal,auc
S1-ROUNDS,2025-09-04,1.77106,0.83925
S1-ROUNDS,2025-09-18,1.7648,0.84137
S1-ROUNDS,2025-10-02,1.75243,0.84307
S1-ROUNDS,2025-10-16,1.74447,0.84403
SEQ-AVG2,2025-09-04,1.76878,0.8397
SEQ-AVG2,2025-09-18,1.7629,0.84131
SEQ-AVG2,2025-10-02,1.75112,0.84264
SEQ-AVG2,2025-10-16,1.74417,0.84336
SEQ-AVG3,2025-09-04,1.76816,0.8398
SEQ-AVG3,2025-09-18,1.76225,0.84143
SEQ-AVG3,2025-10-02,1.75052,0.84286
SEQ-AVG3,2025-10-16,1.74372,0.84343
