exp,wcv,auc_w,f_0904,f_0918,f_1002,f_1016
SEQ-01-S42,1.7526995452373275,0.8420456408065143,1.7705661525985958,1.7647469394922755,1.7535221154419587,1.7470430856511163
SEQ-01-S43,1.7509635845211025,0.8425589692592957,1.770356272132282,1.76394688233374,1.752472995919687,1.7445389684172536
SEQ-01-S44,1.7521016504943074,0.8423224072945182,1.770339128770425,1.7647808867600725,1.7527877876620601,1.746309088059475
SEQ-AVG2,1.7501588189695643,0.842649690633595,1.76877864143213,1.7629002681443995,1.7511190725984929,1.7441658520535706
SEQ-AVG3,1.7496342431288423,0.8427671952936742,1.768157539430594,1.7622534661035332,1.7505151479683987,1.7437235729276725
S1-DIST-MIX,1.7494835973237886,0.8433383084731666,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954
