a,b,var,s2_from_pair,corr,f_0904,f_0918,f_1002,f_1016
SEQ-01-S42,SEQ-01-S43,0.026572104142863606,0.013286052071431803,0.9945826145700504,0.023825411260462476,0.020428042624137468,0.026330795870707604,0.02269893871245753
SEQ-01-S42,SEQ-01-S44,0.02638255469096925,0.013191277345484625,0.9946433174714117,0.023859038835199672,0.02480988673339558,0.02749958668226149,0.024966931708624383
SEQ-01-S43,SEQ-01-S44,0.024624786211139473,0.012312393105569737,0.9949955069275788,0.024472514319779117,0.025855784843382305,0.02223938370524759,0.022708858230126538
