cutoff,days_to_validation,mean_abs_smd,rms_smd,p90_abs_smd,max_abs_smd
2025-04-03,196,0.20672717690467834,0.3590838313102722,0.38538023829460144,2.0939807891845703
2025-04-10,189,0.19731664657592773,0.32134106755256653,0.336159348487854,1.7724441289901733
2025-04-17,182,0.18142807483673096,0.285203218460083,0.31276530027389526,1.498663067817688
2025-04-24,175,0.17245735228061676,0.2559491693973541,0.2902577221393585,1.2576353549957275
2025-05-01,168,0.1621088981628418,0.22981663048267365,0.28208887577056885,1.0520684719085693
2025-05-08,161,0.1553531438112259,0.20922943949699402,0.2887849509716034,0.8735395669937134
2025-05-15,154,0.1423998773097992,0.18911004066467285,0.2767648994922638,0.714027464389801
2025-05-22,147,0.13376547396183014,0.1719004213809967,0.2504251301288605,0.5753473043441772
2025-05-29,140,0.12866488099098206,0.15878929197788239,0.24008986353874207,0.49033570289611816
2025-06-05,133,0.12465310841798782,0.14930520951747894,0.22551673650741577,0.4238775968551636
2025-06-12,126,0.11825840175151825,0.14024920761585236,0.2218031883239746,0.36281654238700867
2025-06-19,119,0.11111198365688324,0.13152717053890228,0.21093590557575226,0.30081748962402344
2025-06-26,112,0.10543110966682434,0.12532010674476624,0.20387372374534607,0.27894043922424316
2025-07-03,105,0.100726418197155,0.12075091898441315,0.18582060933113098,0.27475857734680176
2025-07-10,98,0.09760777652263641,0.11736352741718292,0.17749157547950745,0.269992470741272
2025-07-17,91,0.09151574969291687,0.11139325052499771,0.16971731185913086,0.2625427544116974
2025-07-24,84,0.08870668709278107,0.10860259085893631,0.16632424294948578,0.26229703426361084
2025-07-31,77,0.08618436008691788,0.1063045933842659,0.16325080394744873,0.2607336640357971
2025-08-07,70,0.0827212929725647,0.10257382690906525,0.16476134955883026,0.25764021277427673
2025-08-14,63,0.07775762677192688,0.09742972254753113,0.15581151843070984,0.2510494589805603
2025-08-21,56,0.07264212518930435,0.09316903352737427,0.14798693358898163,0.24200542271137238
2025-08-28,49,0.06752553582191467,0.0892813503742218,0.14665639400482178,0.23774217069149017
2025-09-04,42,0.07071436196565628,0.09205594658851624,0.14886406064033508,0.2511242926120758
2025-09-11,35,0.0732283964753151,0.09215322881937027,0.14442722499370575,0.2538282573223114
