weight,wcv_calibrated,delta_wcv_calibrated,wcv_raw,fold_calibrated,fold_raw
0.0,1.7475098625201952,0.0,1.7482292992656145,"[1.7668833567997195, 1.7605095767798136, 1.748629223964952, 1.7412785664479717]","[1.7707756796471366, 1.7622693780887533, 1.748755048777322, 1.741638107256286]"
0.025,1.7473096241312,-0.00020023838899508502,1.7478531177110666,"[1.7665148116309692, 1.7601837967415017, 1.7484696980139358, 1.7411103955997858]","[1.7698637377868218, 1.7615762502107912, 1.7485244585432809, 1.7413353366605586]"
0.05,1.7471888776280595,-0.00032098489213560434,1.747589352077435,"[1.7662286882524283, 1.7599386434229134, 1.7483873364482239, 1.741022230441218]","[1.7690747134085116, 1.7610065547549842, 1.7484001699358958, 1.741143972312433]"
0.1,1.7471859156763188,-0.0003239468438765325,1.7473992571776438,"[1.7659038561017615, 1.7596903406535476, 1.748454139874518, 1.7410859547797315]","[1.7678660497774876, 1.7602379145258686, 1.7484705688890354, 1.7410955879099113]"
0.15,1.7475009789044877,-8.88361570745565e-06,1.7476591743611216,"[1.7659090433830709, 1.7597648050412242, 1.7488295988688403, 1.7414697043283045]","[1.7671506989029344, 1.7599641048846415, 1.7489661942822134, 1.7414929912019692]"
