segment,n,STRONGEST_CURRENT_fixed_final_cal,SHUFFLED_SLOT_fixed_final_cal,MATCHED_SLOT_fixed_final_cal,matched_minus_shuffled,matched_minus_strongest
all,197379,1.7412785664479717,1.7412924105662186,1.7412947349972308,2.324431012112882e-06,1.6168549259010234e-05
rec_buy_15_60,56145,1.9405843349902085,1.9406034195272377,1.9405107998863624,-9.261964087525776e-05,-7.353510384611184e-05
w180_days_buy_2_15,111441,1.9453560683692304,1.9454045266528506,1.9454006089261258,-3.917726724811388e-06,4.4540556895400485e-05
history_poor_w180_0_1,42698,1.4646315943520065,1.46454004825057,1.464592187999687,5.213974911710828e-05,-3.940635231947098e-05
frequent_w180_16plus,43240,1.4031426275935308,1.4031422556652606,1.403115681966239,-2.657369902170359e-05,-2.6945627291885543e-05
user_half_A,98707,1.733550904639614,1.7336065737853532,1.7335244756082286,-8.209817712456768e-05,-2.6429031385388768e-05
user_half_B,98672,1.7489748076407885,1.74894718014973,1.7490332123770136,8.603222728353899e-05,5.840473622509279e-05
