weight,wcv_calibrated,delta_wcv_calibrated,wcv_raw,fold_calibrated,fold_raw
0.0,1.7475098625201952,0.0,1.7482292992656145,"[1.7668833567997195, 1.7605095767798136, 1.748629223964952, 1.7412785664479717]","[1.7707756796471366, 1.7622693780887533, 1.748755048777322, 1.741638107256286]"
0.025,1.7473096252261455,-0.0002002372940496618,1.7478531173506642,"[1.7665148118961347, 1.760183799847476, 1.7484697008088894, 1.7411103954456923]","[1.7698637360472649, 1.7615762477532277, 1.7485244604453907, 1.7413353358655848]"
0.05,1.7471888795027914,-0.0003209830174036643,1.7475893516728744,"[1.7662286884236902, 1.7599386487719195, 1.7483873415449236, 1.7410222300493312]","[1.769074709883182, 1.7610065503585637, 1.7484001741681598, 1.7411439709775212]"
0.1,1.747185918164476,-0.00032394435571910424,1.7473992576339914,"[1.7659038550074664, 1.7596903478973491, 1.7484541480937217, 1.7410859536612613]","[1.7678660425432315, 1.7602379078112826, 1.7484705790642512, 1.7410955862608837]"
0.15,1.7475009807442805,-8.881775914722688e-06,1.7476591769436154,"[1.7659090395863573, 1.7597648107231065, 1.7488296082349253, 1.741469702148992]","[1.7671506877788838, 1.7599640979348243, 1.7489662121065273, 1.7414929902599487]"
