method,n_validation,RMSE_level,MAE_level,bias,sign_accuracy,last3_RMSE,error_time_spearman,error_time_spearman_p,obvious_monotonic_drift
L0,7,0.13101331388648754,0.12098633735691491,-0.12098633735691491,0.0,0.09778640687420163,0.6071428571428572,0.1482311614811614,False
L1,7,0.09674040403415801,0.07592857523252393,0.045748589954774994,1.0,0.09007694034409897,-0.21428571428571433,0.6445115810207203,False
L2,7,0.09824385303571294,0.07357371816001379,0.04744551877176306,1.0,0.0780580604700192,0.3571428571428572,0.4316113520383278,False
