method,n_validation,RMSE_level,MAE_level,bias,sign_accuracy,last3_RMSE,error_time_spearman,error_time_spearman_p,obvious_monotonic_drift
L0,3,0.14938312210681726,0.14639347353450508,-0.14639347353450508,0.0,0.14938312210681726,1.0,0.0,True
L1,3,0.10880613173903951,0.09630520353013165,0.09630520353013165,1.0,0.10880613173903951,-1.0,0.0,True
L2,3,0.059562823281440386,0.048225658019037144,0.048225658019037144,1.0,0.059562823281440386,-0.5,0.6666666666666667,False
