recency_weight,post_order_dist_weight,behavior_dist_weight,rmsle_mean,rmsle_std,bias_mean,pred_log_mean,pred_mean
0.4,0.15,0.45,1.7075751662219982,0.05136298930913937,0.0622335994850991,2.2725380151642627,34.28120728474408
0.35,0.2,0.45,1.7075761984933697,0.05146284588833742,0.06285488464815092,2.2719167300012106,34.20409730112851
0.4,0.2,0.4,1.7075792055051011,0.05135921645520083,0.06200002691678996,2.2727715877325716,34.28342897940364
0.35,0.15,0.5,1.707585069027525,0.051466420780923734,0.06308905926783015,2.2716825553815316,34.20259321367317
0.35,0.25,0.4,1.707587132239507,0.051457936909168056,0.06262160898376123,2.2721500056656003,34.20672922470164
0.4,0.1,0.5,1.7075909320367142,0.051365426985810606,0.06246807149562361,2.272303543153738,34.28011410631489
0.4,0.25,0.35,1.707603045985048,0.05135411045022339,0.06176735155040913,2.2730042630989526,34.28678107054273
0.45,0.15,0.4,1.7076035203885884,0.05125774650913675,0.0613796660792032,2.2733919485701586,34.36382061190085
0.45,0.1,0.45,1.707606377735026,0.051260382376620665,0.061613536962677795,2.273158077686684,34.36200858178249
0.3,0.25,0.45,1.7076094796625885,0.051559954173825896,0.06347739566827082,2.271294218981091,34.13062648486087
0.3,0.2,0.5,1.7076114570829661,0.051564665446982766,0.06371127432127843,2.2710603403280833,34.12871095798393
0.35,0.1,0.55,1.7076137478029176,0.05146865966318332,0.06332413530918468,2.271447479340177,34.202215417830985
0.35,0.3,0.35,1.7076178663530166,0.05145169587419829,0.06238923014528619,2.2723823845040756,34.21049101936421
0.45,0.2,0.35,1.7076204649934814,0.051253776450003605,0.06114669293848185,2.27362492171088,34.36676383871864
0.4,0.05,0.55,1.7076265069028873,0.05136652756294876,0.06270344552799445,2.2720681691213676,34.28014805574895
0.3,0.3,0.4,1.7076273056348925,0.051553909965709625,0.06324441565001981,2.271527198999342,34.13366944169776
0.45,0.05,0.5,1.7076290409305872,0.051261682033774215,0.061848307943616954,2.272923306705745,34.36132602224954
0.3,0.15,0.55,1.7076332418735305,0.051568041863532935,0.06394605396580233,2.2708255606835595,34.12792115994988
0.4,0.3,0.3,1.7076466837956847,0.05134767342298252,0.06153557147870581,2.273236043170656,34.29126593953504
0.45,0.25,0.3,1.7076572076918985,0.05124847431811108,0.06091461552129096,2.273856999128071,34.37084049099745
0.5,0.1,0.4,1.7076600713023082,0.05115352526253627,0.060760523713702774,2.274011090935659,34.44795907209439
0.35,0.05,0.6,1.7076622388497396,0.051469560720833044,0.06356011558296792,2.2712114990663936,34.20296285180392
0.3,0.35,0.35,1.7076649310671583,0.051546534854992734,0.0630123322449625,2.2717592824043993,34.13784201915989
0.35,0.35,0.3,1.7076683969519713,0.05144412491960799,0.062157746334443154,2.2726138683149184,34.21538522018933
0.5,0.05,0.45,1.707669827378723,0.05115502331546033,0.06099469447934758,2.273776920170014,34.4465563808517
0.25,0.25,0.5,1.7076701008889688,0.05166016334007605,0.06433472035275711,2.270436894296605,34.05841790690868
0.5,0.15,0.35,1.707670117861382,0.05115069202908837,0.0605272513986177,2.274244363250744,34.450494035711046
0.45,0.0,0.55,1.7076715139318337,0.05126164356342814,0.062083981718956016,2.2726876329304058,34.3617717009876
0.3,0.1,0.6,1.7076748380770692,0.05157008161532652,0.06418173730078935,2.2705898773485726,34.12825587102146
0.25,0.3,0.45,1.7076750143454178,0.051654316555423616,0.06410113639556592,2.2706704782537956,34.06074564530476
0.4,0.0,0.6,1.7076818948489043,0.05136628922443173,0.06293972450895469,2.2718318901404073,34.28130822921253
0.25,0.2,0.55,1.707684993867872,0.051664676490254045,0.06456920503965691,2.2702024096097047,34.057215608106105
0.5,0.0,0.5,1.7076993899950204,0.05115518417982212,0.06122976616865072,2.2735418484807113,34.44628438979946
0.25,0.35,0.4,1.7076997302347663,0.05164713805222679,0.06386845091773274,2.270903163731629,34.06420068188989
0.5,0.2,0.3,1.7076999631981202,0.05114652572157481,0.060294875399474535,2.274476739249887,34.45416334856317
0.25,0.15,0.6,1.7077196973473792,0.051667854208270345,0.06480459304715858,2.269967021602203,34.05713737084874
0.3,0.4,0.3,1.707722352055113,0.051537830982782896,0.06278114376116006,2.271990470888202,34.14314690748583
0.35,0.0,0.65,1.707730546293201,0.051469122252255604,0.0637970032531916,2.27097461139617,34.204834930541914
0.3,0.05,0.65,1.707736249826664,0.051570783011329446,0.06441832737587094,2.270353287273491,34.129714346454435
0.25,0.4,0.35,1.7077442445974567,0.051638629861395134,0.06363666200277973,2.271134952646582,34.068785364381185
0.55,0.05,0.4,1.7077488520807886,0.05104655115240077,0.06014259766038599,2.2746290169889756,34.53590244743556
0.55,0.1,0.35,1.707751998489127,0.051044855590348555,0.05990902461482084,2.274862590034541,34.53802951199421
0.2,0.3,0.5,1.7077610046908682,0.051752917197098416,0.0649594017177122,2.2698122129316496,33.99166750133635
0.55,0.0,0.45,1.7077655089281847,0.051046910594345615,0.060377070034148606,2.2743945446152134,34.534909007728245
0.2,0.25,0.55,1.7077690081015011,0.051758566248395525,0.06519359273307046,2.269578021916291,33.99005195992747
0.2,0.35,0.45,1.7077728067158855,0.05174593580642274,0.06472611133764294,2.270045503311719,33.994408467372345
0.25,0.1,0.65,1.7077742154799478,0.051669694818853085,0.06504088731485025,2.2697307273345118,34.05818229082565
0.55,0.15,0.3,1.7077749442859396,0.05104182599952623,0.05967634864355631,2.2750952660058053,34.5412921267031
0.2,0.2,0.6,1.7077968210445635,0.051762881177550756,0.06542868686991943,2.2693429277794426,33.9895603060167
0.2,0.4,0.4,1.7078044101415357,0.05173762398284335,0.0644937194460673,2.2702778952032947,33.998276875370294
0.25,0.45,0.3,1.7078085535010827,0.05162879412643789,0.06340576806284104,2.2713658465865207,34.0745025400337
0.3,0.0,0.7,1.7078174813756597,0.05157014448209918,0.06465582760149036,2.2701157870478714,34.13229631183542
0.2,0.15,0.65,1.707844447702544,0.05176586033037532,0.06566468696172834,2.2691069276876332,33.990191475450935
0.25,0.05,0.7,1.7078485525345897,0.05167019677426056,0.06527809114078154,2.2694935235085802,34.06034993235734
0.2,0.45,0.35,1.7078558109751372,0.05172798375268682,0.06426222422921257,2.270509390420149,34.003275231850715
0.6,0.05,0.35,1.7078661001693802,0.05093626574707104,0.05929201085388702,2.2754796037954748,34.62943135746908
0.6,0.0,0.4,1.707869855957985,0.05093682282471845,0.059525886345518586,2.275245728303843,34.6277120645922
0.6,0.1,0.3,1.7078821443138152,0.050934373730342944,0.059059033363921376,2.2757125812854406,34.632287680254365
0.15,0.35,0.5,1.7078841723621923,0.051842930197739244,0.06558532345900137,2.26918629119036,33.92841598151891
0.15,0.3,0.55,1.7078852885184985,0.051849714282996694,0.06581922193667755,2.2689523927126842,33.92638620992009
0.15,0.4,0.45,1.7079028605777795,0.05183481514643969,0.06535232568930893,2.269419288960053,33.93157143855193
0.15,0.25,0.6,1.7079062131833602,0.05185516563904656,0.06605402350685963,2.268717591142502,33.925480426374456
0.2,0.1,0.7,1.7079118923725507,0.051767502187178606,0.06590159619868663,2.2688700184506754,33.99194487150939
0.2,0.5,0.3,1.7079270052510949,0.0517170172592515,0.06403162420134967,2.2707399904480123,34.00940654332999
0.15,0.45,0.4,1.707941349090762,0.05182537102219253,0.06512022658184402,2.2696513880675178,33.93585475875523
0.25,0.0,0.75,1.7079427129317204,0.05166935866039935,0.06551620819297299,2.269255406456389,34.06364032495158
0.15,0.2,0.65,1.707946950579231,0.0518592826383523,0.06628973090044621,2.2684818837489154,33.92569740620726
0.2,0.05,0.75,1.7079991595007382,0.05176780536983653,0.06613941813889679,2.268632196510465,33.9948203610007
0.15,0.5,0.35,1.707999633869742,0.05181459984345999,0.06488902442348876,2.269882590225873,33.94126860960675
0.15,0.15,0.7,1.7080075050429995,0.051862063795913,0.06652634720391237,2.268245267445449,33.92703639147277
0.65,0.0,0.35,1.7080124155715728,0.05082492128931265,0.05867620895690728,2.2760954056924545,34.72476401058218
0.65,0.05,0.3,1.7080215560093577,0.050824167670580886,0.058442928241682734,2.276328686407679,34.72721421263769
0.1,0.35,0.55,1.708033838775516,0.05193812425231331,0.06644609826405334,2.2683255163853087,33.86617708137078
0.1,0.4,0.5,1.7080396074916298,0.05193020603873381,0.06621249134251506,2.2685591233068467,33.86862231986876
0.1,0.3,0.6,1.7080478774905448,0.051944711218933085,0.06668060841934809,2.268091006230014,33.86485620790639
0.1,0.45,0.45,1.7080651794546158,0.05192095831679498,0.06597978536920146,2.2687918292801603,33.872193782612904
0.15,0.55,0.3,1.708077710911582,0.051802503750594184,0.06465871782903543,2.2701128968203266,33.947816159534185
0.1,0.25,0.65,1.7080817279084504,0.05194996534362638,0.06691602443994293,2.267855590209419,33.86465831319171
0.15,0.1,0.75,1.7080878810602051,0.05186350777749603,0.0667638758702338,2.268007738779128,33.92949708659968
0.2,0.0,0.8,1.7081062537229368,0.05176676865011592,0.06637815672147585,2.268393457927886,33.9988182719701
0.1,0.5,0.4,1.7081105505442216,0.051910382962054094,0.06574797839720237,2.269023636252159,33.876893809812714
0.1,0.2,0.7,1.708135394416979,0.05195388518313556,0.06715234931238867,2.267619265336973,33.86558247746276
0.1,0.55,0.35,1.7081757166854035,0.051898481981637976,0.06551706881231789,2.269254545837044,33.88272523247153
0.15,0.05,0.8,1.7081880833055318,0.05186361340934801,0.0670023207317314,2.26776929391763,33.93307965562506
0.7,0.0,0.3,1.708193171460354,0.050711206723284365,0.057828032522636796,2.2769435821267248,34.82613939290195
0.1,0.15,0.75,1.7082088815541054,0.05195646945553792,0.06738958638896886,2.2673820282603927,33.86762824267403
0.05,0.4,0.55,1.7082146623474004,0.05202380041675768,0.06707422809452201,2.2676973865548398,33.80938596468729
0.05,0.35,0.6,1.7082218175073853,0.05203152214141132,0.06730844783409706,2.267463166815265,33.80764879017369
0.05,0.45,0.5,1.7082273134919426,0.05201474902416745,0.06684091190105668,2.267930702748305,33.81224816021249
0.05,0.3,0.65,1.7082487833017006,0.05203791264209049,0.0675435736548804,2.2672280409944814,33.80703508727649
0.05,0.5,0.45,1.7082597667019765,0.052004369672355756,0.06660849706478178,2.26816311758458,33.81623739979052
0.1,0.6,0.3,1.7082606738338064,0.051885257510076006,0.06528705532856627,2.2694845593207953,33.88969138399793
0.05,0.25,0.7,1.7082955641795383,0.0520429705248753,0.06777960844698305,2.2669920062023787,33.80754377340634
0.1,0.1,0.8,1.708302194048652,0.05195771705162264,0.06762773940034728,2.2671438752490145,33.87079560926707
