feature,gain_mean,split_mean
searches_sum_120d,3819.038224220276,75.0
recency_search_to_cart_days,3818.123459815979,38.5
w90_lgmv_mean,3814.129189491272,80.5
w180_gmv_per_buyday,3745.227463722229,61.5
search_to_ord_mean_all,3739.478458404541,71.0
active_days_120d,3721.0338554382324,70.0
b1_weekend_gmv_share_all,3716.1256155967712,87.0
gmv_search_sum_14d,3707.8937034606934,36.0
search_sum_30d,3690.7611413002014,36.0
cat_sum_all,3686.808138370514,81.5
to_cart_sum_all,3567.2536430358887,66.5
b1_searches_per_search_day_30d,3543.5927391052246,86.0
post_order_cart_share_all,3529.6558771133423,75.0
b1_active_gap_mean_all,3497.109743118286,72.5
b1_weekend_active_days_all,3494.639651298523,71.5
w90_orders_per_buyday,3482.956154823303,79.0
b1_order_gmv_p90_all,3437.1800651550293,71.5
b1_active_gap_median_all,3393.919671535492,58.5
has_cat_to_ord_mean_all,3376.2775087356567,61.0
search_to_ord_sum_30d,3332.541084289551,18.0
orders_per_active_day_120d,3290.533387184143,72.5
gmv_cat_mean_all,3262.1452598571777,61.5
to_cart_mean_all,3210.1696815490723,75.0
post_order_active_share,3193.1500177383423,69.5
b1_pre_last_order_searches_7d,3163.2164368629456,59.0
b1_route_search_only_to_order_rate_90d,3112.504312515259,67.5
post_order_searches_sum,3089.5210876464844,72.5
b1_cart_friction_score,3034.081489086151,69.0
to_cart_max_all,2968.7490949630737,58.5
b1_multi_order_day_share_all,2931.8803930282593,64.0
b1_order_gmv_std_all,2927.011799812317,59.5
b1_route_mixed_day_share_90d,2913.9219574928284,66.0
search_to_cart_sum_all,2902.495849609375,59.0
orders_per_active_day_60d,2902.1518425941467,59.5
recency_cat_to_cart_days,2898.7297954559326,65.0
to_cart_sum_14d,2839.8718423843384,31.0
has_cat_to_cart_mean_all,2825.2865977287292,63.0
has_search_to_cart_sum_30d,2810.080855369568,15.0
active_days_60d,2795.5180339813232,54.5
has_search_to_cart_sum_all,2781.2185921669006,52.5
gmv_per_active_day_30d,2752.3685393333435,59.0
searches_sum_60d,2750.8166975975037,59.5
cat_to_cart_mean_all,2651.032651424408,61.0
w365_gmv_per_buyday,2602.815040588379,53.5
b1_order_gap_min_all,2578.93199300766,65.0
b1_post_order_intent_without_buy_score,2446.901894569397,49.5
post_order_search_days,2424.8850045204163,45.0
b1_search_no_cart_days_90d,2409.7540016174316,53.0
b1_cart_no_order_share_90d,2404.0946531295776,53.5
b1_order_gmv_top3_sum,2394.9134092330933,49.0
search_sum_120d,2382.4879455566406,48.5
days_last_order_to_last_search,2372.1947917938232,57.5
cat_to_ord_mean_all,2291.8371415138245,50.0
b1_last_order_day_searches,2277.4211530685425,55.5
post_order_cart_per_day,2244.4092926979065,53.0
b1_cart_heavy_no_order_score,2186.774790763855,50.0
search_to_cart_sum_120d,2180.919445991516,45.5
b1_pre_last_order_carts_7d,2170.939595222473,45.0
gmv_cat_max_all,2164.4841146469116,41.5
b1_searches_day_max_90d,2082.151454925537,45.0
b1_cart_no_order_share_30d,2032.9035472869873,39.5
w90_gmv_per_buyday,1996.1152019500732,42.5
has_search_to_ord_sum_all,1980.349850654602,19.5
gmv_search_max_all,1881.6808004379272,41.5
gmv_cat_sum_all,1880.3479595184326,39.0
gmv_max_all,1855.7075538635254,38.5
to_ord_sum_14d,1813.6526041030884,11.5
to_cart_sum_120d,1808.8788495063782,39.5
b1_searches_day_max_30d,1792.3415923118591,40.0
cat_sum_120d,1780.314866065979,44.0
to_cart_sum_7d,1774.3741436004639,32.5
b1_last_order_day_carts,1769.682029724121,48.5
orders_per_active_day_30d,1716.8035011291504,43.0
search_to_cart_sum_60d,1670.0112042427063,35.5
to_cart_sum_60d,1642.1123504638672,35.5
post_order_active_days,1625.854043006897,41.0
search_to_cart_sum_7d,1618.6981835365295,26.0
days_last_order_to_last_cart,1607.3279023170471,40.0
gmv_per_active_day_14d,1602.0963506698608,37.5
b1_pre_last_order_active_days_7d,1601.7881989479065,36.0
b1_route_search_only_days_90d,1573.7022037506104,35.5
gmv_search_sum_7d,1554.843264579773,21.5
b1_post_order_search_no_cart_days,1436.5834951400757,30.0
gmv_per_active_day_7d,1407.5060415267944,32.0
gmv_cat_sum_120d,1397.9348421096802,29.0
w365_lgmv_mean,1388.8990964889526,22.5
search_to_ord_sum_120d,1343.0996112823486,18.0
b1_search_no_cart_days_30d,1341.7692470550537,32.0
search_to_ord_max_all,1333.0010509490967,24.5
b1_weekend_order_days_all,1327.309190273285,27.0
b1_search_days_90d,1301.574158668518,27.5
search_sum_60d,1279.298502922058,28.5
b1_month_start_order_days_all,1271.3450045585632,27.5
b1_month_mid_order_days_all,1255.7625098228455,26.0
b1_cart_days_90d,1231.911145210266,27.5
search_to_cart_sum_30d,1198.8862037658691,29.0
cat_to_cart_sum_all,1196.357548713684,28.0
b1_route_mixed_to_order_rate_90d,1171.6121950149536,29.0
to_ord_max_all,1135.62184715271,25.0
post_order_cart_sum,1121.2181515693665,26.0
b1_route_cat_only_days_90d,1115.8837966918945,26.5
w365_lgmv_std,1114.8148546218872,24.0
orders_per_active_day_14d,1106.2385487556458,27.0
cat_to_cart_max_all,1103.3554368019104,28.5
b1_cart_no_order_days_30d,1096.8394541740417,19.5
gmv_cat_sum_60d,1077.7430534362793,25.0
recency_gmv_days,1067.487949371338,8.5
search_to_cart_sum_14d,1031.0618982315063,17.5
has_search_to_cart_sum_120d,1028.7628955841064,21.5
b1_silent_high_value_score,1023.452100276947,23.5
b1_post_order_cat_to_cart_sum,988.952401638031,27.5
b1_payday_10_order_days_all,966.6199507713318,20.0
post_order_cat_days,945.8909502029419,23.5
to_cart_sum_30d,933.0956525802612,23.0
b1_payday_25_order_days_all,847.9537992477417,18.5
has_cat_to_cart_sum_all,802.8830528259277,18.5
post_order_cart_days,799.3758449554443,16.5
gmv_cat_sum_30d,780.7736196517944,19.5
cat_to_cart_sum_120d,765.6909513473511,17.5
b1_route_search_only_order_days_90d,758.5165424346924,15.0
has_search_to_cart_sum_60d,747.0000534057617,16.0
b1_month_end_order_days_all,746.0270462036133,18.0
b1_search_days_30d,710.6911678314209,6.5
b1_route_mixed_order_days_90d,701.9259481430054,16.0
b1_cart_no_order_days_90d,688.0010967254639,19.0
b1_last_order_day_orders,682.6591897010803,18.0
cat_to_cart_sum_30d,664.2587471008301,16.0
cat_sum_30d,644.9677505493164,14.5
b1_route_mixed_days_90d,643.3929958343506,14.5
b1_order_gmv_mean_all,628.2253360748291,8.5
b1_post_order_search_to_cart_sum,595.6526489257812,13.0
cat_sum_60d,539.2917966842651,12.5
cat_sum_14d,533.8578996658325,13.5
