recency_weight,post_order_dist_weight,behavior_dist_weight,xgb_behavior_weight,rmsle_mean,rmsle_std,bias_mean,pred_log_mean,pred_mean
0.3,0.1,0.3,0.3,1.7071194908728469,0.05123225833778155,0.061940102933241814,2.27283151171612,34.54158894283806
0.25,0.15,0.3,0.3,1.7071196567343427,0.05132518087164683,0.06256164846928147,2.27220996618008,34.457108630460226
0.3,0.15,0.25,0.3,1.7071234645184812,0.05123112281671022,0.06170634553371368,2.273065269115648,34.5440891315361
0.25,0.1,0.35,0.3,1.7071286002191364,0.05132611945403355,0.06279601116390698,2.271975603485455,34.45532776451337
0.25,0.2,0.25,0.3,1.7071305271572004,0.051322912445396364,0.06232818838739673,2.2724434262619653,34.46001696837122
0.3,0.05,0.35,0.3,1.7071353320525258,0.05123206296024875,0.06217476346880324,2.2725968511805585,34.54021710019272
0.3,0.15,0.3,0.25,1.7071457193767066,0.05128975184253949,0.06207715355770338,2.2726944610916586,34.46584258702213
0.35,0.1,0.25,0.3,1.7071486575160857,0.05113659064036987,0.06108572807627355,2.2736858865730882,34.63206929743349
0.3,0.1,0.35,0.25,1.707149340319175,0.05129104185071472,0.06231123092978641,2.2724603837195754,34.46381813020267
0.35,0.05,0.3,0.3,1.7071515828518917,0.05113659230183261,0.061319784235193575,2.273451830414168,34.629976772054604
0.2,0.2,0.3,0.3,1.7071520854296973,0.05141536203339609,0.06318442400273994,2.271587190646622,34.37647519002154
0.2,0.15,0.35,0.3,1.7071541334180267,0.05141743363813804,0.06341849031001012,2.2713531243393517,34.37428485298483
0.25,0.15,0.35,0.25,1.7071569525238734,0.05138477164187141,0.06293299187167634,2.2718386227776852,34.3817074552349
0.25,0.05,0.4,0.3,1.7071573614347573,0.05132572604117481,0.06303127887346638,2.2717403357758954,34.454672685320205
0.25,0.2,0.3,0.25,1.707160227773144,0.05138234795729022,0.0626992114700875,2.2720724031792745,34.38414089391971
0.3,0.2,0.25,0.25,1.7071619095993715,0.051287131573555106,0.061843977216455404,2.2729276374329066,34.46899578619225
0.35,0.1,0.3,0.25,1.7071634675016134,0.05119441209647386,0.06145632182936378,2.273315292819998,34.551392950700716
0.2,0.25,0.25,0.3,1.707169850363133,0.05141196169821889,0.06295125995322048,2.2718203546961413,34.379792401453784
0.3,0.0,0.4,0.3,1.707170991884614,0.05123053454762361,0.06241032965970472,2.272361284989657,34.53997207264551
0.35,0.15,0.25,0.25,1.7071727602055593,0.0511929253986928,0.06122284762155483,2.273548767027807,34.55413855634958
0.3,0.05,0.4,0.25,1.7071727762428912,0.05129099943731986,0.06254621165014052,2.2722254029992213,34.46292061160527
0.25,0.1,0.4,0.25,1.7071734913339616,0.051385863976468965,0.0631676751034067,2.271603939545955,34.38040012858977
0.35,0.05,0.35,0.25,1.7071739868183902,0.051194567504991156,0.0616906976398226,2.273080917009539,34.54977703651362
0.35,0.0,0.35,0.3,1.7071743238676125,0.05113526206656971,0.061554744224160185,2.273216870425202,34.62901374438394
0.2,0.1,0.4,0.3,1.7071759981566963,0.05141817434925212,0.06365346116390258,2.2711181534854594,34.373219550653715
0.25,0.25,0.25,0.25,1.7071833132616407,0.05137859509632253,0.062466331695015365,2.2723052829543464,34.38770240241953
0.3,0.15,0.35,0.2,1.707193057856696,0.05134739341414169,0.06244892651643186,2.27232268813293,34.39124300987428
