recency_weight,post_order_dist_weight,behavior_dist_weight,xgb_behavior_weight,cat_behavior_weight,rmsle_mean,rmsle_std,bias_mean,pred_log_mean,pred_mean
0.25,0.1,0.2,0.25,0.2,1.7069552944660153,0.05114614948045114,0.062081640135496,2.272689974513866,34.565773421587146
0.2,0.1,0.25,0.25,0.2,1.7069553496417855,0.051236803107515216,0.0629373118108223,2.2718343028385393,34.475442074052765
0.2,0.1,0.2,0.3,0.2,1.7069567767883043,0.051174145372491264,0.06256746102435806,2.2722041536250037,34.55928780442507
0.25,0.05,0.25,0.25,0.2,1.7069581940340197,0.05114634470383806,0.06231581622284854,2.2724557984265132,34.563593990817296
0.2,0.15,0.2,0.25,0.2,1.7069593458117844,0.051235476469118496,0.06270343244086685,2.272068182208495,34.478029015891714
0.25,0.1,0.25,0.2,0.2,1.7069639121857714,0.05120686313556742,0.0624519210067056,2.272319693642656,34.48275323622909
0.2,0.05,0.25,0.3,0.2,1.706964999644962,0.05117398859769278,0.06280192253253158,2.27196969211683,34.55735085480197
0.25,0.05,0.2,0.3,0.2,1.7069670653303932,0.0510844949320318,0.06194617894563215,2.2728254357037296,34.64998923561408
0.2,0.05,0.3,0.25,0.2,1.7069711672235892,0.05123680222311299,0.06317209325155271,2.271599521397809,34.47397951232375
0.25,0.1,0.25,0.25,0.15,1.706971329421275,0.05120668515271726,0.0623516044411605,2.2724200102082013,34.51375120314266
0.25,0.1,0.2,0.3,0.15,1.7069724572177496,0.05114547496248875,0.06198170152692706,2.272789913122435,34.5975360665459
0.2,0.1,0.25,0.3,0.15,1.706973064022713,0.05123575727395663,0.06283741400559517,2.2719342006437664,34.50708361094659
0.25,0.15,0.2,0.2,0.2,1.7069732295325057,0.051205185030091825,0.0622183257506439,2.2725532888987177,34.48558325849046
0.25,0.05,0.3,0.2,0.2,1.7069744059785408,0.05120721335915112,0.06268641669986708,2.2720851979494947,34.48104880002241
0.2,0.15,0.25,0.2,0.2,1.7069754084553563,0.05129699748460754,0.06307392738574125,2.2716976872636208,34.397490853727554
0.25,0.05,0.25,0.3,0.15,1.706976124579517,0.05114540794809109,0.062215909398267266,2.2725557052510945,34.5953812464648
0.2,0.15,0.2,0.3,0.15,1.706976293003453,0.0512346927687067,0.06260350315205687,2.272168111497305,34.5096460299668
0.15,0.15,0.2,0.3,0.2,1.7069787469006004,0.05126105905299222,0.06318996915163311,2.2715816454977285,34.472598318546204
0.2,0.1,0.3,0.2,0.2,1.706979007030169,0.05129847985929932,0.06330812671541097,2.271463487933951,34.395378092145634
0.25,0.15,0.2,0.25,0.15,1.7069798804222551,0.051205268428563655,0.06211797826704846,2.272653636382313,34.516556788662974
0.15,0.1,0.25,0.3,0.2,1.706980074772733,0.05126203301993816,0.06342413448550688,2.271347480163855,34.470253270796675
0.25,0.0,0.3,0.25,0.2,1.706980908329934,0.05114521139254171,0.06255089497516897,2.272220719674193,34.562539975088036
0.25,0.0,0.25,0.3,0.2,1.7069821853869986,0.051083206462614224,0.062180938131963126,2.2725906765173987,34.64846005014917
0.25,0.05,0.3,0.25,0.15,1.7069825912205419,0.05120677371845153,0.06258613202933394,2.272185482620028,34.512071869550375
0.2,0.15,0.25,0.25,0.15,1.7069826099517353,0.05129671004439946,0.06297361999483364,2.271797994654528,34.42834799239916
0.3,0.05,0.2,0.25,0.2,1.7069834957553218,0.05105408355532512,0.061461070060165435,2.2733105445891963,34.65753137915556
0.3,0.05,0.25,0.2,0.2,1.706984669479708,0.05111398863706065,0.06183113753597058,2.272940477113391,34.571965129243964
0.15,0.15,0.25,0.25,0.2,1.706984764880208,0.05132452352704848,0.06356003413331868,2.2712115805160433,34.39123800387361
0.2,0.1,0.3,0.25,0.15,1.7069869759146146,0.05129793087590002,0.06320785093215253,2.271563763717209,34.42626026420172
0.3,0.1,0.2,0.2,0.2,1.7069870903449047,0.0511134426022475,0.06159724501454744,2.2731743696348143,34.57438821581803
0.2,0.05,0.3,0.3,0.15,1.7069896504251714,0.05123549400752228,0.06307222795245915,2.271699386696903,34.505646296701244
0.2,0.2,0.2,0.2,0.2,1.7069916200388127,0.051294188271864744,0.06284062801995827,2.2719309866294033,34.400728369556006
0.3,0.05,0.25,0.25,0.15,1.706992305078347,0.051113920062864616,0.061730813413891195,2.273040801235471,34.60310804121153
0.2,0.0,0.3,0.3,0.2,1.7069930397831028,0.05117250366019395,0.0630372884300221,2.27173432621934,34.556538229202246
0.3,0.0,0.25,0.25,0.2,1.7069932932600453,0.05105314642756688,0.06169554438303826,2.2730760702663235,34.65575913356917
0.15,0.1,0.3,0.25,0.2,1.7069936879395162,0.05132565414803128,0.06379451979197004,2.2709770948573915,34.38936660833843
0.3,0.1,0.2,0.25,0.15,1.7069939589785519,0.05111363552743153,0.06149688968229494,2.2732747249670666,34.60550662127893
0.25,0.1,0.3,0.2,0.15,1.7069952855222037,0.05126691307369397,0.06272247106223205,2.2720491435871297,34.433746388784
0.15,0.2,0.2,0.25,0.2,1.7069956545282423,0.05132206645427397,0.06332645012050175,2.27144516452886,34.39423302305627
0.25,0.15,0.25,0.2,0.15,1.7069962420466003,0.051265340932230084,0.062488525148052254,2.2722830895013093,34.436076706333196
0.25,0.1,0.3,0.15,0.2,1.7069976144059207,0.05126659585825471,0.06282320033769095,2.271948414311671,34.403501567108904
0.2,0.2,0.2,0.25,0.15,1.7069980558099132,0.0512941621039041,0.06274028999683967,2.272031324652522,34.43156113682104
0.25,0.1,0.25,0.3,0.1,1.7069988272451,0.05120609417086501,0.06225210740819431,2.2725195072411672,34.546324527874205
0.25,0.15,0.25,0.15,0.2,1.7069993374740733,0.05126476292043716,0.06258928546196452,2.2721823291873973,34.40585681837523
0.25,0.0,0.3,0.3,0.15,1.7069996082997494,0.05114401214426878,0.06245102095897903,2.2723205936903828,34.59435257002306
0.3,0.05,0.2,0.3,0.15,1.7070008765881721,0.05105351817389573,0.061361123788037375,2.273410490861324,34.689443952949034
0.15,0.05,0.3,0.3,0.2,1.707001218886473,0.051261679862684824,0.0636592036626853,2.2711124109866763,34.469031587325475
0.3,0.0,0.3,0.2,0.2,1.7070020606650504,0.05111320580289046,0.06206593113622638,2.272705683513135,34.57066873912076
0.15,0.15,0.25,0.3,0.15,1.7070022656604082,0.05132336863019088,0.06346014702754421,2.2713114676218176,34.422738083547124
0.2,0.05,0.35,0.2,0.2,1.7070024194412916,0.051298633101823435,0.06354322825339453,2.2712283863959675,34.394388173765506
0.3,0.1,0.25,0.2,0.15,1.7070028760443958,0.05117290034219033,0.06186722275432177,2.27290439189504,34.522542966321154
0.25,0.0,0.35,0.2,0.2,1.7070047145911542,0.051206233426521516,0.06292181519142725,2.2718497994579345,34.48046819166258
0.3,0.1,0.25,0.15,0.2,1.7070057535015808,0.051172212506864795,0.06196799078397919,2.2728036238653826,34.492182932126866
0.25,0.15,0.2,0.3,0.1,1.7070066109877424,0.05120493993151825,0.06201844978597615,2.272753164863386,34.549105811308365
0.2,0.0,0.35,0.25,0.2,1.7070068022409348,0.051235471550407495,0.06340777920818375,2.271363835441178,34.4736396935791
0.3,0.05,0.3,0.2,0.15,1.7070088160564456,0.05117333957498625,0.06210146589726118,2.2726701487521006,34.52062052876012
0.3,0.0,0.2,0.3,0.2,1.7070096075792267,0.05099210587547699,0.061326120055766875,2.273445494593595,34.74477076261074
0.2,0.15,0.25,0.3,0.1,1.7070098933781965,0.05129601034420214,0.06287413311785439,2.271897481531507,34.46077617225902
