feature,is_b1,mean_abs_shap,mean_shap,mean_value,std_value
to_ord_sum_all,False,0.23347802088558506,0.011037231326397398,27.828490000000002,55.75893930018698
w180_orders,False,0.1999612776348398,0.012475147507238582,16.287599999999998,31.278173149150497
to_ord_sum_120d,False,0.11006299236167828,0.013861595687082782,11.464690000000001,22.379219745694314
w180_days_buy,False,0.0919065674909825,0.006781306593633263,9.570789999999999,12.50553985337488
lifetime_gmv_per_day,False,0.08646897072845261,0.003801585158576797,2.8031608686196003,6.753201106837432
to_ord_sum_60d,False,0.08517705606864737,-0.0009888789125995475,6.04482,12.291401643700414
recency_buy_over_buydays,False,0.08352575680775888,0.00802115882739159,15.339390598682527,45.7280071025528
w90_days_buy,False,0.05361911471160288,-0.0018382083675513696,5.17853,6.90440915515725
buyday_rate_all,False,0.051351483273470125,0.005569527313358861,0.12804171669984935,0.11356053416283358
gmv_sum_60d,False,0.046560350718777344,-0.010298531837145125,197.85842059150244,510.5424255758784
w90_orders,False,0.04256952692764699,-8.462547430614702e-05,8.796289999999999,17.424202664070428
all_days_buy,False,0.04219691679134839,0.006942669154996629,16.39595,21.90293164707832
searches_sum_14d,False,0.03652940531498904,-0.0010374247614276311,16.8799,27.19582375896791
active_days_7d,False,0.03334917686085391,0.0010883076401171526,2.66655,2.1179609205070795
has_search_to_ord_sum_60d,False,0.032787007573179414,0.000808231712555013,3.39184,4.711418484790712
gmv_sum_all,False,0.030864589169054935,-0.005642012640839376,952.4237787691932,2047.0779243356233
w365_orders,False,0.030570952479587177,0.0011140781682974824,27.49584,55.02456534274481
searches_sum_7d,False,0.02951154152435322,-0.003812730065299158,8.84683,15.456366325850798
tenure_days,False,0.02898904836254086,0.01753974521969818,321.80683999999997,80.81445300269806
b1_expected_next_order_overdue_ratio,True,0.027677744313933744,0.0069735190021825415,1452.2500007679719,3506.3297726752417
b1_order_cycle_phase,True,0.0267089295860139,0.007014626134925279,1453.5869161497271,3505.779490126125
b1_regular_buyer_overdue_score,True,0.02575932168085541,0.008905614867722757,1452.1637976786747,3506.364944298898
b1_order_gmv_p25_all,True,0.025105835335878318,0.0019522155634668524,18.66360815365091,50.6714804313644
b1_cart_pressure_30d,True,0.023144176319407895,0.0024445578408073625,0.4576718287725374,0.5697416921493477
