fold,feature,base_rmsle,permuted_rmsle,delta
1,to_ord_sum_all,1.672276094829321,1.6810778886050715,0.008801793775750522
1,w180_orders,1.672276094829321,1.6786659995471596,0.006389904717838624
1,to_ord_sum_120d,1.672276094829321,1.6756840937034878,0.003407998874166873
1,recency_buy_over_buydays,1.672276094829321,1.6742010909554714,0.001924996126150491
1,lifetime_gmv_per_day,1.672276094829321,1.6735510334763333,0.0012749386470123358
1,b1_order_cycle_phase,1.672276094829321,1.6731040102170418,0.0008279153877208678
1,gmv_sum_all,1.672276094829321,1.6729573658115038,0.0006812709821828467
1,gmv_sum_60d,1.672276094829321,1.6728831945167477,0.000607099687426782
1,w90_days_buy,1.672276094829321,1.6728634059283507,0.0005873110990297636
1,w90_gmv,1.672276094829321,1.6728570546002879,0.000580959770966949
1,w90_orders,1.672276094829321,1.6728265837252334,0.000550488895912471
1,to_ord_sum_60d,1.672276094829321,1.6727080847338476,0.00043198990452664177
1,b1_expected_next_order_overdue_ratio,1.672276094829321,1.6726882212848961,0.00041212645557520133
1,w180_days_buy,1.672276094829321,1.6726712416098786,0.0003951467805576314
1,searches_sum_14d,1.672276094829321,1.6726550351281078,0.0003789402987868229
1,has_search_to_ord_sum_60d,1.672276094829321,1.672636361865449,0.0003602670361280147
1,gmv_sum_30d,1.672276094829321,1.672584657070977,0.00030856224165609625
1,searches_sum_7d,1.672276094829321,1.6725827167353204,0.00030662190599950456
1,w180_orders_per_day,1.672276094829321,1.6725722066367565,0.00029611180743560617
1,w365_orders,1.672276094829321,1.6725721562736735,0.00029606144435256887
1,b1_regular_buyer_overdue_score,1.672276094829321,1.6725649587067657,0.00028886387744475606
1,b1_multi_order_day_count_all,1.672276094829321,1.6725241102731943,0.0002480154438733173
1,all_days_buy,1.672276094829321,1.672515183442089,0.00023908861276811244
1,has_search_to_ord_sum_120d,1.672276094829321,1.6725031583483803,0.00022706351905932287
1,b1_fresh_buyer_high_intent_score,1.672276094829321,1.6724418023712566,0.00016570754193567794
1,w90_orders_per_day,1.672276094829321,1.6723906417671246,0.00011454693780366121
1,w365_gmv_per_day,1.672276094829321,1.6723777650204315,0.00010167019111051445
1,w180_lgmv_std,1.672276094829321,1.6723640812585048,8.798642918383948e-05
1,w365_orders_per_day,1.672276094829321,1.6723313086714378,5.521384211681912e-05
1,search_to_ord_sum_all,1.672276094829321,1.672328404180574,5.230935125299929e-05
2,to_ord_sum_all,1.744161679465713,1.750943059068072,0.006781379602358806
2,w180_orders,1.744161679465713,1.7501046228778325,0.005942943412119428
2,lifetime_gmv_per_day,1.744161679465713,1.7492682435672382,0.005106564101525102
2,recency_buy_over_buydays,1.744161679465713,1.7468657249734105,0.002704045507697428
2,gmv_sum_60d,1.744161679465713,1.746561261429086,0.0023995819633728654
2,to_ord_sum_60d,1.744161679465713,1.746482784995476,0.0023211055297629457
2,w180_days_buy,1.744161679465713,1.7463326774493007,0.0021709979835875526
2,buyday_rate_all,1.744161679465713,1.7458985190448546,0.0017368395791415026
2,gmv_sum_all,1.744161679465713,1.7454432527848645,0.0012815733191513523
2,w90_days_buy,1.744161679465713,1.7450885756596963,0.0009268961939832288
2,b1_order_gmv_p25_all,1.744161679465713,1.7447938203634974,0.0006321408977842946
2,gmv_sum_30d,1.744161679465713,1.7447417082395769,0.0005800287738637611
2,searches_sum_14d,1.744161679465713,1.7447331731009676,0.0005714936352545497
2,w90_orders,1.744161679465713,1.7447146128658066,0.0005529334000935471
2,gmv_sum_120d,1.744161679465713,1.7446954771472682,0.0005337976815551482
2,to_ord_sum_120d,1.744161679465713,1.7446768522400153,0.0005151727743022416
2,all_days_buy,1.744161679465713,1.7446233901503836,0.00046171068467049103
2,b1_regular_buyer_overdue_score,1.744161679465713,1.7446173503975626,0.0004556709318495056
2,w365_orders,1.744161679465713,1.7445313949041572,0.00036971543844410704
2,w90_buyday_rate,1.744161679465713,1.744508419331067,0.00034673986535382895
2,w180_orders_per_day,1.744161679465713,1.7445063568944832,0.00034467742877009044
2,to_ord_sum_30d,1.744161679465713,1.7444928258916454,0.00033114642593234933
2,b1_order_cycle_phase,1.744161679465713,1.7444159649535156,0.00025428548780248583
2,b1_expected_next_order_overdue_ratio,1.744161679465713,1.7444123426023332,0.00025066313662014394
2,active_days_7d,1.744161679465713,1.7444052299598893,0.00024355049417623675
2,has_search_to_ord_sum_60d,1.744161679465713,1.7443155620629391,0.00015388259722604047
2,b1_cart_pressure_30d,1.744161679465713,1.7442372238075994,7.554434188628001e-05
2,w180_buyday_rate,1.744161679465713,1.7442212714063503,5.959194063720474e-05
2,b1_active_gap_last_over_mean,1.744161679465713,1.7442179466619003,5.626719618723186e-05
2,w365_orders_per_day,1.744161679465713,1.7441684509177224,6.771452009335377e-06
