fold,variant,recency_weight,rmsle,pred_mean,bias
1,post_order,0.5,1.6729561362937493,33.39494681196134,-0.008081015385969614
1,behavior_v1,0.5,1.672276094829321,33.356581306323505,-0.005392506035138744
2,post_order,0.5,1.744810508133738,36.869988096529234,0.12142639258606236
2,behavior_v1,0.5,1.744161679465713,36.9076694347231,0.12074038464207426
