scope,candidate,source,prediction_correlation,log_prediction_correlation,residual_correlation,correction_correlation_vs_exp037,rms_log_prediction_difference,candidate_calibrated_rmsle,source_calibrated_rmsle,nested_incremental_gain_vs_exp037
pilot_latest_fold,replacement_beta1_partial_3fold,EXP-037,0.9947078016743254,0.9999005560891476,0.9999238209361885,,0.021681661619777023,1.7562870104774162,1.756367272780126,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,DIST,0.9448784145886014,0.997741665438832,0.9982262460323663,-0.4414421053237395,0.10659404095078606,1.7562870104774162,1.7592942633733077,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,E11,0.9919733135763229,0.997104232752089,0.9977866284434423,-0.032954685136197336,0.11788061677932313,1.7562870104774162,1.7599175908349176,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,ETX-AVG3,0.9941833998786463,0.9978881688324961,0.9983789002259895,0.16267371243739476,0.10671647897956789,1.7562870104774162,1.7588920551805847,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,SEQ-AVG3,0.9887969985276703,0.9974299269602113,0.9978731117205359,0.17766552197038182,0.12351465099923732,1.7562870104774162,1.7582282736359875,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,SEQ-D3A-AVG3,0.9848902841895076,0.9968215079540054,0.9975135286393986,0.17103892232452306,0.1383506042163577,1.7562870104774162,1.7584773805524456,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,BTYD,0.9409187818968513,0.9569099888944953,0.9645127539882342,0.03989789557544752,0.5789460196011658,1.7562870104774162,1.8071656184050324,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,BTYD05,0.9951124721161245,0.9997892041070598,0.9998380228838396,0.03989789513684706,0.03545735389553989,1.7562870104774162,1.7558579239085423,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,FRESH-CONTRAST,0.9919005846687323,0.9997531649254944,0.999810380736907,-0.006022372166334541,0.03420256574270197,1.7562870104774162,1.756147094279523,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,MHZ-FULL,0.9911810832986417,0.9962216841867457,0.9971175117023967,-0.043399391415796476,0.13427466743333916,1.7562870104774162,1.761468034925618,-8.02623027098548e-05
pilot_latest_fold,replacement_beta1_partial_3fold,HOLIDAY-YOY,0.98173608979102,0.9989132475561957,0.9991515222448024,-0.26478877319638916,0.07241908913098437,1.7562870104774162,1.758318325653434,-8.02623027098548e-05
