candidate,fold,n,rmsle_raw,rmsle_cal,offset,delta_vs_exp037,improved
EXP037,2025-09-04,188518,1.770775679619996,1.7668833567679014,-0.11734465883717778,0.0,False
EXP037,2025-09-18,191025,1.7622693780453773,1.7605095767346348,-0.07873621163148507,0.0,False
EXP037,2025-10-16,197379,1.7416381072242886,1.7412785664162476,-0.035387154098343816,0.0,False
S1-E10,2025-09-04,188518,1.774286164623581,1.7720932692130194,-0.08818965831564286,0.005209912445117926,False
S1-E10,2025-09-18,191025,1.7661741408114302,1.7653715541597514,-0.05324028255234387,0.004861977425116626,False
S1-E10,2025-10-16,197379,1.745503007988592,1.7449516362056237,-0.04387118199049642,0.0036730697893760933,False
DIST,2025-09-04,188518,1.7718349385911325,1.7701492349196506,-0.07727053594752385,0.0032658781517491686,False
DIST,2025-09-18,191025,1.7644009723138885,1.7638236506069218,-0.04513225744261832,0.0033140738722869933,False
DIST,2025-10-16,197379,1.744906817967763,1.7442646866224032,-0.047333987708981964,0.002986120206155629,False
E11,2025-09-04,188518,1.7734401211470145,1.771230061291828,-0.08850989375749847,0.004346704523926492,False
E11,2025-09-18,191025,1.7654767580427042,1.7646856365578616,-0.05284682881074162,0.004176059823226774,False
E11,2025-10-16,197379,1.7446949743401288,1.7440969215960829,-0.045678020609143506,0.002818355179835308,False
COUNT_REAL,2025-09-04,188518,1.7706167329978633,1.7691652388548862,-0.07167965401395834,0.0022818820869847656,False
COUNT_REAL,2025-09-18,191025,1.763994275932304,1.7634822722848171,-0.04249801006059667,0.002972695550182314,False
COUNT_REAL,2025-10-16,197379,1.7441545707111124,1.7433992400244631,-0.051325007692053955,0.002120673608215551,False
COUNT_SHUFFLED,2025-09-04,188518,1.7687752761880222,1.7686848544036244,-0.017884726926715895,0.001801497635723015,False
COUNT_SHUFFLED,2025-09-18,191025,1.7633158563400355,1.7632733467408996,0.012243932919605106,0.0027637700062648207,False
COUNT_SHUFFLED,2025-10-16,197379,1.7437841105606011,1.7437789557250887,0.004240025229336843,0.002500389308841111,False
REPLACE_REAL_BETA1,2025-09-04,188518,1.7705813741304486,1.7667809038435935,-0.11594692878009831,-0.00010245292430788311,True
REPLACE_REAL_BETA1,2025-09-18,191025,1.7622727412519563,1.7605422730409066,-0.07807764978303929,3.2696306271784437e-05,False
REPLACE_REAL_BETA1,2025-10-16,197379,1.7415441836887642,1.7411640595104056,-0.03638490908891107,-0.0001145069058419157,True
REPLACE_SHUFFLED_BETA1,2025-09-04,188518,1.769571760418528,1.7666007995071524,-0.10249811472231785,-0.00028255726074899457,True
REPLACE_SHUFFLED_BETA1,2025-09-18,191025,1.7616332191296904,1.7604559772830848,-0.06439216403798885,-5.359945155003487e-05,True
REPLACE_SHUFFLED_BETA1,2025-10-16,197379,1.7414257635854757,1.741280484514287,-0.022493650858563374,1.918098039510596e-06,False
ADD10_REAL,2025-09-04,188518,1.7705088666343405,1.7669133504999972,-0.11277804930904664,2.9993732095778824e-05,False
ADD10_REAL,2025-09-18,191025,1.7621975749760332,1.7605960416570319,-0.07511239147439623,8.646492239705594e-05,False
ADD10_REAL,2025-10-16,197379,1.741651847481364,1.7412591903424581,-0.036980939457714836,-1.93760737894344e-05,True
ADD10_SHUFFLED,2025-09-04,188518,1.7701015533534292,1.7668404254543195,-0.10739852368593446,-4.2931313581906494e-05,True
ADD10_SHUFFLED,2025-09-18,191025,1.7619358106546863,1.7605590936862674,-0.06963819717637607,4.9516951632577744e-05,False
ADD10_SHUFFLED,2025-10-16,197379,1.7415851604734083,1.741301632685407,-0.031424436165575755,2.3066269159377484e-05,False
EXP037,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.7471028219606501,,0.0,False
S1-E10,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.7511317697434101,,0.004028947782759973,False
DIST,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.7501740026466108,,0.003071180685960684,False
E11,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.750306973379656,,0.003204151419005763,False
COUNT_REAL,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.7493930639654751,,0.0022902420048249716,False
COUNT_SHUFFLED,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.7495875630623758,,0.002484741101725696,False
REPLACE_REAL_BETA1,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.7470161750916957,,-8.664686895443197e-05,True
REPLACE_SHUFFLED_BETA1,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.7470687845625108,,-3.403739813934159e-05,True
ADD10_REAL,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.7471071778685205,,4.35590787040141e-06,False
ADD10_SHUFFLED,partial_weighted_1_2_8_NOT_CANONICAL_WCV,576922,,1.7471246976645554,,2.1875703905216426e-05,False
