path,fold,real_score,shuffled_score,real_minus_shuffled,status
standalone,2025-09-04,1.7691652388548862,1.7686848544036244,0.00048038445126175056,fixed_completed_fold
standalone,2025-09-18,1.7634822722848171,1.7632733467408996,0.00020892554391749307,fixed_completed_fold
standalone,2025-10-16,1.7433992400244631,1.7437789557250887,-0.00037971570062556026,fixed_completed_fold
standalone,partial_weighted_1_2_8_NOT_CANONICAL_WCV,1.7493930639654751,1.7495875630623758,-0.0001944990969007243,diagnostic_only_missing_2025-10-02
replacement_beta1,2025-09-04,1.7667809038435935,1.7666007995071524,0.00018010433644111146,fixed_completed_fold
replacement_beta1,2025-09-18,1.7605422730409066,1.7604559772830848,8.629575782181931e-05,fixed_completed_fold
replacement_beta1,2025-10-16,1.7411640595104056,1.741280484514287,-0.00011642500388142629,fixed_completed_fold
replacement_beta1,partial_weighted_1_2_8_NOT_CANONICAL_WCV,1.7470161750916957,1.7470687845625108,-5.2609470815090376e-05,diagnostic_only_missing_2025-10-02
add10,2025-09-04,1.7669133504999972,1.7668404254543195,7.292504567768532e-05,fixed_completed_fold
add10,2025-09-18,1.7605960416570319,1.7605590936862674,3.69479707644782e-05,fixed_completed_fold
add10,2025-10-16,1.7412591903424581,1.741301632685407,-4.2442342948811884e-05,fixed_completed_fold
add10,partial_weighted_1_2_8_NOT_CANONICAL_WCV,1.7471071778685205,1.7471246976645554,-1.7519796034815016e-05,diagnostic_only_missing_2025-10-02
