model,group_fold,train_n,train_positive_rate,n,positive_rate,roc_auc,pr_auc,logloss,brier,ece10,mean_probability
p105_max,0,180000,0.49998333333333334,48213,0.5000725945284467,0.6261766387868131,0.6186092607354685,0.6694728912494414,0.2383899335630564,0.024154727027134486,0.49972282392591266
p105_max,1,180000,0.49966666666666665,47955,0.5013241580648524,0.6222210306674913,0.6144104890341738,0.6705664142024286,0.23892423895801798,0.018019623812837643,0.4991991803601591
p105_max,2,180000,0.49980555555555556,48106,0.5007691348272565,0.6258773641012536,0.619971516408893,0.6693957788464867,0.23835974683200034,0.020760407904346925,0.5001239908363291
p105_max,3,180000,0.5002111111111112,48142,0.49916912467284286,0.6221066922287439,0.6160188702152476,0.6702861593998592,0.23879997017617538,0.018583436705059676,0.5002033148518201
p105_max,4,180000,0.5003333333333333,47584,0.49865501008742436,0.6206011398874818,0.6120393419569332,0.671063088909962,0.23916497612663937,0.018379884113751143,0.4998477008694779
