task,cutoff_a,cutoff_b,feature,hist_mean,test_mean,smd,ks,psi,hist_missing,test_missing,hist_q10,test_q10,hist_q50,test_q50,hist_q90,test_q90,median_delta_iqr,gain,split,gain_share,linear_standardized_coef,signed_ks
p105_max,2025-07-03,2025-10-16,w180_days_cat,10.303866666666666,9.562516666666667,-0.0500710398862162,0.035683333333333345,0.006895030319475167,0.0,0.0,0.0,0.0,5.0,5.0,26.0,24.0,0.0,11044.264381980896,276.6,0.11819890185452239,-1.0666447,-0.035683333333333345
p105_max,2025-07-03,2025-10-16,trend_pres_60_180,1.0912169208756337,1.1537825417509924,0.15800822047243093,0.08343333333333336,0.035204362694850694,0.0,0.0,0.6666533350944519,0.7272687554359436,1.0344762802124023,1.0882333517074585,1.5818129777908325,1.6666333675384521,0.13452169827502627,8484.527123260497,41.4,0.09080385565203462,0.04118319,0.08343333333333336
p105_max,2025-07-03,2025-10-16,w180_days_presence_only,8.03195,9.29155,0.1312058854200178,0.048666666666666636,0.016961342314505717,0.0,0.0,1.0,1.0,5.0,6.0,19.0,22.0,0.1111111111111111,6784.667193412781,151.0,0.07261146455513946,0.57438874,0.048666666666666636
p105_max,2025-07-03,2025-10-16,w90_days_cat,4.842416666666667,5.0737,0.030059329732230612,0.012116666666666664,0.001110356142095278,0.0,0.0,0.0,0.0,2.0,2.0,12.0,13.0,0.0,6134.573171615601,146.0,0.06565397088956003,1.4407917,0.012116666666666664
p105_max,2025-07-03,2025-10-16,w180_ponly_share,0.14385710232824397,0.15854112332891673,0.10402662967510733,0.0431333333333333,0.01153664481037756,0.0,0.0,0.012195121496915817,0.016949152573943138,0.10606060177087784,0.11764705926179886,0.32258063554763794,0.35555553436279297,0.07575761303219103,5035.820614433289,129.0,0.0538948042147123,0.26717132,0.0431333333333333
p105_max,2025-07-03,2025-10-16,trend_pres_30_90,1.0086106520868838,1.0596727780575554,0.13807152838450498,0.06818333333333332,0.022819308550382618,0.0,0.0,0.5454500913619995,0.5999963879585266,0.9999924898147583,1.0370359420776367,1.4999830722808838,1.499995231628418,0.08699642249773964,3399.8780628204345,66.2,0.03638647532924944,0.041711852,0.06818333333333332
p105_max,2025-07-03,2025-10-16,trend_srch_60_180,1.0766495540355177,1.161905390610934,0.15999124142027055,0.07996666666666663,0.032024074181611614,0.0,0.0,0.4709219306707383,0.5384606897830964,0.9999992847442627,1.095484733581543,1.783775532245636,1.8799954652786255,0.15003846071354948,3284.522015762329,31.4,0.03515190165254603,-0.009841033,0.07996666666666663
p105_max,2025-07-03,2025-10-16,gap_cv,0.980466097250705,0.9992536015989569,0.059124363630467844,0.02901666666666669,0.005241560476499918,0.0,0.0,0.644982635974884,0.642396867275238,0.9480555355548859,0.9646573662757874,1.3458996891975403,1.3858034253120421,0.04880089089341465,2806.5245769500734,89.8,0.030036235239392924,0.08073712,0.02901666666666669
p105_max,2025-07-03,2025-10-16,rec_cat,36.901073192469084,34.16612643351341,-0.06712082473344892,0.04165205168057445,0.011780220265365668,0.10236666666666672,0.12075000000000002,1.0,1.0,21.0,18.0,102.0,96.0,-0.06382978723404255,2767.628964805603,80.6,0.029619963183289605,0.018750574,-0.04165205168057445
p105_max,2025-07-03,2025-10-16,weekend_share,0.2815263260637565,0.2760292555208628,-0.06977856585178187,0.031066666666666687,0.00628277205254392,0.0,0.0,0.190476194024086,0.1875,0.2804878056049347,0.2769230902194977,0.3733493983745573,0.3617021143436432,-0.04432651989550589,2604.509161758423,72.0,0.02787420801806922,-0.092329904,-0.031066666666666687
p105_max,2025-07-03,2025-10-16,w7_days_present,2.468366666666667,2.821083333333333,0.17010723108355663,0.07171666666666665,0.028737471291005914,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,0.3333333333333333,2418.862903213501,15.8,0.025887368230965643,0.028812446,0.07171666666666665
p105_max,2025-07-03,2025-10-16,dlog_buyd_30_90,-0.6059727512319882,-0.6501967725697905,-0.08344306629899245,0.04033333333333333,0.008868053483223028,0.0,0.0,-1.3584088444709763,-1.3862943649291992,-0.6931471824645996,-0.6931471824645996,0.0,0.0,0.0,2119.0997926712034,46.6,0.022679216990000844,-0.21108173,-0.04033333333333333
p105_max,2025-07-03,2025-10-16,w90_ponly_share,0.15379258692370107,0.15992102961322913,0.039056457707191586,0.017849999999999977,0.002210377256016329,0.0,0.0,0.0,0.0,0.1111111044883728,0.11538461595773697,0.3636363446712494,0.3749999403953552,0.023452200595409603,2081.785697555542,64.8,0.022279870785145203,-0.18583328,0.017849999999999977
p105_max,2025-07-03,2025-10-16,w180_buyday_rate,0.13075888857615647,0.14099003086821177,0.0866463492938865,0.04235,0.00865432474502634,0.0,0.0,0.0,0.0,0.10569105297327042,0.11666666716337204,0.2868216931819916,0.30327868461608887,0.07466509800160945,2055.7741607666017,45.0,0.022001487818415662,0.10124458,0.04235
p105_max,2025-07-03,2025-10-16,w30_lgmv_mean,3.330960084485325,3.2575155939686704,-0.08696998132376214,0.041035603512803276,0.008837063054175979,0.42264999999999997,0.3916166666666666,2.3373544216156006,2.2640663146972657,3.2585346698760986,3.18070125579834,4.4084062576293945,4.335165882110597,-0.07411309672590366,1913.8758422851563,61.8,0.02048285109989645,-0.17019579,-0.041035603512803276
p105_max,2025-07-03,2025-10-16,w7_searches,7.852783333333333,9.642033333333334,0.11290891653039264,0.06286666666666668,0.023119595468736293,0.0,0.0,0.0,0.0,3.0,4.0,21.0,25.0,0.1111111111111111,1618.039719772339,33.6,0.01731672761710789,0.14314842,0.06286666666666668
p105_max,2025-07-03,2025-10-16,w7_lgmv_mean,3.350643959091561,3.285451105739375,-0.06660723068155787,0.039430654270151175,0.01206206549558934,0.7292666666666667,0.6897,2.232183337211609,2.081091380119324,3.243886709213257,3.175773024559021,4.627354192733765,4.588573122024536,-0.05318160846491705,1099.3814422607422,16.2,0.011765897184286141,-0.0127893025,-0.039430654270151175
p105_max,2025-07-03,2025-10-16,w90_days_presence_only,4.5341,5.047366666666667,0.09234044324511123,0.036250000000000004,0.00773137072890359,0.0,0.0,0.0,0.0,3.0,3.0,11.0,12.0,0.0,1042.4367610931397,36.2,0.01115645878733432,-0.3510118,0.036250000000000004
p105_max,2025-07-03,2025-10-16,w90_srch_per_day,3.1865194688220817,3.3344220366686583,0.07074657039534543,0.03833333333333333,0.008056466105072099,0.0,0.0,1.5999999046325684,1.6666663885116577,2.730769157409668,2.84375,5.142856597900391,5.409165477752684,0.06735985874040208,1006.3555194854737,36.2,0.010770306936195014,0.15116276,0.03833333333333333
p105_max,2025-07-03,2025-10-16,dlog_gmv_30_90,-1.375370767029323,-1.449564322868923,-0.045736683109628404,0.039349999999999996,0.007465252142245332,0.0,0.0,-4.006147956848144,-4.04805965423584,-0.7902558147907257,-0.9076698124408722,0.0,0.0,-0.054588959583280736,835.1382818222046,22.2,0.008937890690946334,0.005894556,-0.039349999999999996
p105_max,2025-07-03,2025-10-16,w180_orders,15.504066666666667,17.276633333333333,0.05549941072857956,0.040200000000000014,0.008638416263184175,0.0,0.0,0.0,0.0,7.0,8.0,37.0,41.0,0.0625,764.0537826538086,25.2,0.008177123884757644,-0.15647437,0.040200000000000014
p105_max,2025-07-03,2025-10-16,w14_searches,15.654833333333332,18.668483333333334,0.10735516924468119,0.05951666666666666,0.02066052310109061,0.0,0.0,0.0,0.0,8.0,9.0,39.0,46.0,0.058823529411764705,751.211757850647,24.0,0.008039684832519926,-0.09503744,0.05951666666666666
p105_max,2025-07-03,2025-10-16,w90_orders,8.280116666666666,9.558833333333334,0.07436072659578448,0.04920000000000002,0.012896050613028818,0.0,0.0,0.0,0.0,4.0,4.0,20.0,23.0,0.0,741.8575399398803,18.8,0.007939573295298447,0.007601094,0.04920000000000002
p105_max,2025-07-03,2025-10-16,rec_over_gap,0.8554222536437214,0.697987289276626,-0.13162954258557993,0.061516666666666664,0.0215606260176904,0.0,0.0,0.0,0.0,0.4177214503288269,0.3076922744512558,2.3542842864990234,1.9456148386001582,-0.09407499741113043,718.636100769043,18.0,0.007691050757758264,0.01684501,-0.061516666666666664
p105_max,2025-07-03,2025-10-16,w30_lgmv_std,0.8235582507186006,0.8511090035795226,0.05656096133848565,0.02592672617421743,0.007397016233951892,0.6302166666666666,0.5926333333333333,0.23991734981536866,0.2608990728855133,0.7769885063171387,0.802572637796402,1.4365747451782231,1.4672569513320923,0.04186269310135845,693.2717624664307,29.8,0.007419594295838828,-0.0033210756,0.02592672617421743
p105_max,2025-07-03,2025-10-16,w30_srch2cart,14617.027841414709,15133.696138951815,0.0011025759401377976,0.02498333333333333,0.004673786759167478,0.0,0.0,0.0,0.0,0.24137930572032928,0.24999994039535522,0.8461537957191467,0.8235293626785278,0.020037161784510312,671.483842086792,30.0,0.007186413689734472,-0.06386905,0.02498333333333333
