scenario,missing_mass,delta,fold_deltas,identified,extra_candidate_mse_vs_base_k0
neutral,0.004951197327512217,-0.0005491939575732145,"[-0.0006028875377577236, -0.0007333218212990378, -0.0004437066306641757]",False,
like_k1,0.004951197327512217,-0.0005572370093146008,"[-0.0005751984186606052, -0.0007518933327217425, -0.0004554184952745288]",False,
like_k2,0.004951197327512217,-0.0005483974018287707,"[-0.0005840378989858674, -0.0007338248354147314, -0.0004467735607465162]",False,
like_k3,0.004951197327512217,-0.0005513966574815589,"[-0.0006072774623031574, -0.0007361031138359841, -0.00044507322809894667]",False,
break_even_adversarial_k0,0.004951197327512217,-9.516197353929913e-17,,False,0.3858120975980851
