fold,n,counts_k0_k3,pi_fold_k0_k3,pi_reference_kpos_k0_k3,max_weight,ess,ess_fraction,k0_available,identified_scope
2025-09-04,188518,"[0, 685, 6552, 181281]","[0.0, 0.0036336052790714945, 0.034755301880987494, 0.9616110928399411]","[0.0, 0.01697106067820668, 0.06335649891174469, 0.9196724404100486]",4.670584550268857,175476.23413442852,0.9308195192736425,False,conditional on k>0
2025-09-18,191025,"[0, 76, 4665, 186284]","[0.0, 0.0003978536840727653, 0.024420887318413822, 0.9751812589975134]","[0.0, 0.01697106067820668, 0.06335649891174469, 0.9196724404100486]",42.65653771124252,108807.75600570609,0.5695995602968517,False,conditional on k>0
2025-10-02,193694,"[0, 140, 5889, 187665]","[0.0, 0.0007227895546583786, 0.03040362633845137, 0.9688735841068903]","[0.0, 0.01697106067820668, 0.06335649891174469, 0.9196724404100486]",23.479947335746893,138010.32865255975,0.7125173141788581,False,conditional on k>0
