segment,exp,n,share,rmsle,auc,mse_share,d_rmsle,d_auc
ВСЕ,ETX-01-S42,197379,1.0,1.7430640708024172,0.8435967292175275,1.0,-0.003308466178543412,0.0006504416435900717
ВСЕ,SEQ-D3A-S42,197379,1.0,1.7463725369809606,0.8429462875739374,1.0,0.0,0.0
ВСЕ,SEQ-D3A-AVG3,197379,1.0,1.7432736142543925,0.8435675021764057,1.0,-0.0030989227265680874,0.000621214602468334
ВСЕ,SEQ-AVG3,197379,1.0,1.743723572941276,0.84342655609276,1.0,-0.0026489640396847314,0.0004802685188225464
ВСЕ,SEQ-01-S42,197379,1.0,1.747043085659896,0.8426903524300372,1.0,0.0006705486789353454,-0.00025593514390021
ВСЕ,SEQ-D3A-BASE-S42,197379,1.0,1.7480797590300503,0.8424762537908504,1.0,0.001707222049089685,-0.000470033783086965
ВСЕ,S1-DIST-MIX,197379,1.0,1.7431352014081916,0.8441911319140495,1.0,-0.0032373355727690623,0.0012448443401120723
ВСЕ,SEQ-01-MIX,197379,1.0,1.742217797554085,0.8442170031462658,1.0,-0.00415473942687572,0.0012707155723283847
ВСЕ,SEQAVG3-CLIP-MIX,197379,1.0,1.741705055763712,0.8442316892864058,1.0,-0.004667481217248692,0.0012854017124683814
rec_buy 15-60,ETX-01-S42,56145,0.28445275333242137,1.941802462266609,0.7199539729245814,0.3530153050400018,-0.0016867025627282928,0.0003613337331974664
rec_buy 15-60,SEQ-D3A-S42,56145,0.28445275333242137,1.9434891648293373,0.7195926391913839,0.35229023313615027,0.0,0.0
rec_buy 15-60,SEQ-D3A-AVG3,56145,0.28445275333242137,1.9411735839158437,0.7206329342785103,0.352701879120672,-0.002315580913493598,0.0010402950871263306
rec_buy 15-60,SEQ-AVG3,56145,0.28445275333242137,1.941927062147618,0.7201087762735774,0.35279359542458383,-0.0015621026817194128,0.0005161370821934463
rec_buy 15-60,SEQ-01-S42,56145,0.28445275333242137,1.9449700655057829,0.718853967326688,0.35255652237832313,0.0014809006764455734,-0.0007386718646958945
rec_buy 15-60,SEQ-D3A-BASE-S42,56145,0.28445275333242137,1.9440249265014309,0.719212535224458,0.3517963360031724,0.000535761672093571,-0.0003801039669258932
rec_buy 15-60,S1-DIST-MIX,56145,0.28445275333242137,1.942564879427162,0.7204886575283395,0.3532637384807993,-0.0009242854021753732,0.0008960183369555175
rec_buy 15-60,SEQ-01-MIX,56145,0.28445275333242137,1.9414204526214356,0.7207422090857113,0.353219320759374,-0.002068712207901724,0.0011495698943273513
rec_buy 15-60,SEQAVG3-CLIP-MIX,56145,0.28445275333242137,1.9407734544426736,0.7209193368655054,0.35319179307540716,-0.002715710386663739,0.0013266976741214132
w180_days_buy 2-15,ETX-01-S42,111441,0.5646041372182451,1.9469250535851959,0.7160112595811091,0.7043942817307783,-0.00241348106373529,0.0008672442413203418
w180_days_buy 2-15,SEQ-D3A-S42,111441,0.5646041372182451,1.9493385346489311,0.7151440153397888,0.7034687440075281,0.0,0.0
w180_days_buy 2-15,SEQ-D3A-AVG3,111441,0.5646041372182451,1.9467783660560452,0.7163318400497598,0.7041188408354572,-0.002560168592885992,0.0011878247099710304
w180_days_buy 2-15,SEQ-AVG3,111441,0.5646041372182451,1.9473544766414348,0.7159357764717804,0.7041720860978063,-0.0019840580074963476,0.0007917611319916418
w180_days_buy 2-15,SEQ-01-S42,111441,0.5646041372182451,1.9502586293931354,0.7145787441857276,0.7035925644632132,0.0009200947442042917,-0.000565271154061131
w180_days_buy 2-15,SEQ-D3A-BASE-S42,111441,0.5646041372182451,1.950534637685446,0.7140964364286941,0.7029572294888345,0.0011961030365148506,-0.0010475789110946376
w180_days_buy 2-15,S1-DIST-MIX,111441,0.5646041372182451,1.9471626380897444,0.7171869606631183,0.7045087075154318,-0.0021758965591867074,0.0020429453233294925
w180_days_buy 2-15,SEQ-01-MIX,111441,0.5646041372182451,1.9461712859067803,0.7172288321998366,0.7045329115311948,-0.0031672487421507967,0.0020848168600478
w180_days_buy 2-15,SEQAVG3-CLIP-MIX,111441,0.5646041372182451,1.9457692559759274,0.717242517623103,0.704656569675336,-0.0035692786730037174,0.0020985022833142075
пересечение,ETX-01-S42,45667,0.23136706539196167,1.9829447980006671,0.6777605087586845,0.2994305339287048,-0.0012491724559451356,0.0003550688489045717
пересечение,SEQ-D3A-S42,45667,0.23136706539196167,1.9841939704566123,0.67740543990978,0.2986730266516884,0.0,0.0
