dimension,segment,n_rows,weighted_mean_correction,weighted_mean_residual,weighted_delta_mse
baseline_prediction_decile,0,57179,0.000574989817304662,-0.0535969309737882,4.304439303880093e-05
baseline_prediction_decile,1,57181,-0.0001827376765236388,-0.04342627334673525,4.0092561025320115e-05
baseline_prediction_decile,2,57182,-0.0004636643256962075,-0.03922778009825788,9.47508812507075e-05
baseline_prediction_decile,3,57180,1.6742698899313694e-05,-0.07404245021496902,0.00047003773813246615
baseline_prediction_decile,4,57182,0.0005912611068902244,-0.03959846981930874,0.0004762863421424805
baseline_prediction_decile,5,57181,0.000284272263867839,-0.04331338701312914,0.0008873040271537563
baseline_prediction_decile,6,57181,-7.256869254018701e-05,-0.029990720362603383,0.0004633077805414647
baseline_prediction_decile,7,57181,-0.0005846164350131478,-0.022303154518576476,-8.362678961967762e-05
baseline_prediction_decile,8,57182,-0.0008643396405936459,-0.0018420290669239451,2.0394195866366574e-05
baseline_prediction_decile,9,57182,0.0007007357046832936,-0.006253390805813818,-8.359441582736469e-06
recency,0-7,182009,-0.0005233671336088389,-0.010704057941551492,9.695646032207574e-05
recency,31-90,107086,2.75584286297595e-05,-0.06074310876949245,0.0003859948768689998
recency,8-30,167410,0.0002792551123238683,-0.03483937607757418,0.0004309473015000816
recency,>90/never,115306,0.00044149359311512363,-0.0504061359333063,6.366104046663601e-05
purchase_frequency_90d,0,116066,0.0004433108104869993,-0.050504127888056076,4.491262831418163e-05
purchase_frequency_90d,1,74390,0.00011820961939508299,-0.05007670802410935,0.000314190817856083
purchase_frequency_90d,2-3,110794,0.0003034027693935781,-0.0439886141276765,0.0003674827877780086
purchase_frequency_90d,4-7,128962,-0.0008068042014538281,-0.02530298375336015,0.00046627370545023193
purchase_frequency_90d,8+,141599,6.69734259828197e-05,-0.01821590332348393,6.049457481677854e-05
recent_activity_30d,0-5,156163,-0.0017490579330387973,-0.022309819313779924,0.0001226811284490615
recent_activity_30d,16-25,136148,0.0009909158342438342,-0.036699573441385844,0.0001989174077377935
recent_activity_30d,26-30,25367,0.0013372795717683788,-0.02194384129454244,-2.374974704391466e-05
recent_activity_30d,6-15,254133,0.0002564534148323067,-0.04402470197340212,0.0003549144481326722
