cutoff,candidate,rho_vs_weak_residual,rho_vs_strong_residual,rho_post_span,b,G,oracle_amplitude,oracle_mse_gain,is_purged_transition
2025-07-03,raw_X3_intensity_shock,0.013578113078223082,-0.0014249623204937948,-0.0034471379595990524,-0.00032320136958330126,0.0027179086427536222,-0.11891546481704146,-3.8433641093502676e-05,False
2025-07-03,meta_B_intensity_shock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2025-07-03,raw_meta_disagreement,-0.013578113078223082,0.0014249623204937948,0.0034471379595990533,0.00032320136958330126,0.0027179086427536227,0.11891546481704143,-3.843364109350267e-05,False
2025-07-03,meta_risk_weighted_shock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2025-08-07,raw_X3_intensity_shock,0.014081614304514305,0.00022718979994086982,-3.1107258159250506e-05,-3.0689401946995898e-06,0.002992550180048958,-0.0010255267280595381,-3.1472801964806724e-09,True
2025-08-07,meta_B_intensity_shock,0.014064913186842505,0.0038379200745872785,0.003634938399977764,0.0006433307672377905,0.00963080503035332,0.06679927225296439,-4.297402706942563e-05,True
2025-08-07,raw_meta_disagreement,0.006271537754498248,0.0037326767048788782,0.003651033804528634,0.0006463997074324901,0.009637372646170223,0.06707219188928651,-4.3355445214090625e-05,True
2025-08-07,meta_risk_weighted_shock,0.013128223249933981,0.002709056069721223,0.0027214416998759035,0.000368790778294483,0.005646119859455068,0.06531756099313071,-2.4088514154954035e-05,True
2025-09-11,raw_X3_intensity_shock,0.009456970759618129,-0.004858873578830873,-0.0052090626847047065,-0.000564110212386547,0.003769343848042265,-0.14965740328506685,-8.442326955235818e-05,True
2025-09-11,meta_B_intensity_shock,0.0027254700269753926,-0.01145678441812124,-0.011497646103760976,-0.001665228851370358,0.006741972540814194,-0.2469943093493016,-0.00041130205005275236,True
2025-09-11,raw_meta_disagreement,-0.004226713949436468,-0.007959056132891855,-0.0074775270016938615,-0.0011011186389838108,0.00696962237760761,-0.15798827817724329,-0.00017396383784192183,True
2025-09-11,meta_risk_weighted_shock,0.002446963795530953,-0.011481015710484863,-0.011132702704708114,-0.001381150896950425,0.0049469558715481985,-0.27919207949558283,-0.00038560639101677867,True
2025-10-16,raw_X3_intensity_shock,0.023520653437872043,0.007618230240907826,0.004210449913358629,0.0004524675612455645,0.003807646528046951,0.11883129327071436,-5.3767305465856584e-05,True
2025-10-16,meta_B_intensity_shock,0.02645997845482229,0.008494902633405842,0.004908182759234302,0.0006660304262933845,0.006071352188765573,0.10970050914289024,-7.30638768690405e-05,True
2025-10-16,raw_meta_disagreement,0.009439223795504999,0.0029785588518978314,0.0015653680439874835,0.0002135628650478197,0.006137016457954261,0.03479913513528521,-7.431803000677757e-06,True
2025-10-16,meta_risk_weighted_shock,0.0225008445230387,0.006116828028921814,0.002784039903853087,0.00027025654755822854,0.003106993007735602,0.08698331373304036,-2.3507810064665734e-05,True
