cutoff,candidate,RMS_raw,RMS_centered,RMS_perp,perp_fraction,second_pass_projection_error_RMS_max,mean_raw,mean_perp
2025-07-03,raw_X3_intensity_shock,0.05263882368614104,0.05260767914772131,0.052133565413787136,0.9909877466253002,5.93018970700628e-17,-0.0018104843967986532,1.959166682548887e-20
2025-07-03,meta_B_intensity_shock,0.0,0.0,0.0,0.0,5.93018970700628e-17,0.0,0.0
2025-07-03,raw_meta_disagreement,0.05263882368614104,0.05260767914772131,0.05213356541378714,0.9909877466253003,5.93018970700628e-17,0.0018104843967986532,-2.1550833508037758e-19
2025-07-03,meta_risk_weighted_shock,0.0,0.0,0.0,0.0,5.93018970700628e-17,0.0,0.0
2025-08-07,raw_X3_intensity_shock,0.055317559213746835,0.055311895717019555,0.054704206237262576,0.9890134035024587,1.077491036066661e-16,-0.0007915488335795344,-3.848739475563465e-20
2025-08-07,meta_B_intensity_shock,0.10149752646079171,0.09948958412057234,0.09813666506639258,0.9864014000446505,1.077491036066661e-16,0.020089064915387967,-1.3470588164472126e-19
2025-08-07,raw_meta_disagreement,0.10110775164091959,0.09892814266601949,0.09817012094405417,0.9923376533558869,1.077491036066661e-16,0.020880613748967502,-6.735294082236063e-20
2025-08-07,meta_risk_weighted_shock,0.08320316045037922,0.07641805593401078,0.07514066714805684,0.9832842020077427,1.077491036066661e-16,0.03290967389990289,3.4638655280071183e-19
2025-09-11,raw_X3_intensity_shock,0.06277428519693874,0.0624658611332259,0.06139498227088485,0.9828565740884112,1.580247079258302e-16,0.006215068372201644,-5.615015165504045e-20
2025-09-11,meta_B_intensity_shock,0.10650064479477458,0.08535169952996637,0.08210951553147902,0.9620138319876216,1.580247079258302e-16,0.0636983102526989,7.486686887338726e-20
2025-09-11,raw_meta_disagreement,0.1023859786549188,0.08472641576293509,0.08348426425146005,0.9853392652068442,1.580247079258302e-16,0.05748324188049724,-9.358358609173408e-20
2025-09-11,meta_risk_weighted_shock,0.09802742374862759,0.0734301615567581,0.07033459939139626,0.9578434515227218,1.580247079258302e-16,0.06494141344736347,-5.615015165504045e-20
2025-10-16,raw_X3_intensity_shock,0.06386403992797793,0.06386403925983614,0.061706130392749074,0.9662108928264398,2.974554793772524e-16,9.237990462902633e-06,1.61995060818043e-19
2025-10-16,meta_B_intensity_shock,0.08691657120684748,0.08618882785003273,0.0779188821067498,0.9040485182409892,2.974554793772524e-16,-0.01122391661553173,-8.999725601002389e-20
2025-10-16,raw_meta_disagreement,0.0832291827982333,0.08246764885007668,0.0783391119298289,0.9499374969722574,2.974554793772524e-16,-0.011233154605994633,-1.0799670721202867e-19
2025-10-16,meta_risk_weighted_shock,0.060537076493146366,0.059752266286046594,0.05574040731583867,0.9328584634597403,2.974554793772524e-16,0.00971618773071177,1.8899423762105016e-19
