fold,n,rmsle_raw,rmsle_cal,cal_delta,zero_rate,mean_ly,std_ly,mean_z,std_z,p10_z,p50_z,p90_z,log_bias,spread_ratio,auc_zero
2025-09-04,188518,1.772481,1.769134,-0.108887,0.399819,2.591791,2.352868,2.700668,1.518176,0.618962,2.468723,4.715269,-0.108877,0.645245,0.839817
2025-09-18,191025,1.763787,1.762566,-0.065604,0.389640,2.640813,2.354646,2.706417,1.520888,0.665483,2.508458,4.770114,-0.065604,0.645909,0.841747
2025-10-02,193694,1.751117,1.750727,-0.036947,0.387580,2.637580,2.345295,2.674527,1.524559,0.669503,2.494910,4.774097,-0.036947,0.650050,0.843309
2025-10-16,197379,1.744019,1.743135,-0.055504,0.387138,2.631519,2.340082,2.687023,1.535157,0.651062,2.489734,4.780066,-0.055504,0.656027,0.844191
