cutoff,feature,rho_raw,rho_after_full_span
2025-09-04,pred_mean,0.017122934500814865,-0.0043441188007626325
2025-09-04,pred_std,-0.015286345996130846,-0.001363859794869381
2025-09-04,robust_spread_q90_q10,-0.003499953086855512,-0.004033059315533439
2025-09-04,pred_mad,-0.0017640746774096315,-0.002357248871555668
2025-09-04,seq_vs_tab,0.035103398180074026,0.0013675962993883756
2025-09-04,etx_vs_tab,0.015184792009113013,0.0028225702112225667
2025-09-04,dist_vs_tab,-0.004291617262783001,0.0013024991279732682
2025-09-04,other_vs_tab,0.0376074119062208,0.0024977386814418493
2025-09-04,rank_seq_tab_abs,-0.01100049572478029,-0.008031110978024825
2025-09-04,rank_etx_tab_abs,-0.009710267980427999,-0.004781418348526348
2025-09-04,fraction_unusually_high,0.020317468323371654,0.005681160657832148
2025-09-04,fraction_unusually_low,0.0027882964100379593,0.005027914515422752
2025-09-04,max_minus_mean,0.00798922521573443,0.0006335143350788044
2025-09-04,mean_minus_min,-0.029948560826559858,-0.0014445353696384165
2025-09-18,pred_mean,0.005218646500720872,0.00025300757757927046
2025-09-18,pred_std,-0.008439088314254526,-0.0012435731868239335
2025-09-18,robust_spread_q90_q10,0.0006071116570788893,-0.003220856584795766
2025-09-18,pred_mad,0.00010747255869266496,-0.0036080373756845517
2025-09-18,seq_vs_tab,0.022761087023479353,0.0009786515269259205
2025-09-18,etx_vs_tab,0.012256586421390962,-0.0016356183110792465
2025-09-18,dist_vs_tab,-0.0011172401404218781,0.0005862714698605204
2025-09-18,other_vs_tab,0.027396472290335285,-0.0022017170821905007
2025-09-18,rank_seq_tab_abs,-0.005241353221911705,-0.00641573966480722
2025-09-18,rank_etx_tab_abs,-0.00017898355826713306,0.0001926624538695945
2025-09-18,fraction_unusually_high,0.00014145974948204547,-0.0023227896018362245
2025-09-18,fraction_unusually_low,0.00016658136854125888,0.003206330893274916
2025-09-18,max_minus_mean,0.005927649494528785,-0.0020086522989862516
2025-09-18,mean_minus_min,-0.018304748262704482,0.0010734563350441927
2025-10-02,pred_mean,-0.002690126993265634,0.00043059255238167137
2025-10-02,pred_std,-0.006203882438404252,0.0005513010616068011
2025-10-02,robust_spread_q90_q10,-0.007236370818553639,-0.0036611718574705104
2025-10-02,pred_mad,-0.004285676896084998,-0.002340118635479143
2025-10-02,seq_vs_tab,0.019781834926794965,0.0007977184162693832
2025-10-02,etx_vs_tab,0.01618723730167819,-0.0020268481807172952
2025-10-02,dist_vs_tab,-0.001313088429778455,0.0025816706846153513
2025-10-02,other_vs_tab,0.015098484770564002,0.0029971836749098056
2025-10-02,rank_seq_tab_abs,0.0013937041146081712,-0.0007667209842051965
2025-10-02,rank_etx_tab_abs,-0.00047641768849303426,-0.002071854057414548
2025-10-02,fraction_unusually_high,-0.006236828715431396,-0.004085276007132945
2025-10-02,fraction_unusually_low,0.0003452623212182574,-0.00012272164412007778
2025-10-02,max_minus_mean,0.0016318913530197754,-0.0010713227310548286
2025-10-02,mean_minus_min,-0.007154005083077454,0.004779758323211531
2025-10-16,pred_mean,-0.007514069666925021,-8.138447102864234e-05
2025-10-16,pred_std,-0.00968907720906091,-0.00113787836890353
2025-10-16,robust_spread_q90_q10,-0.012225991477845154,-0.005124905326396674
2025-10-16,pred_mad,-0.009111209929550954,-0.004524610966844263
2025-10-16,seq_vs_tab,0.01726696374360297,0.0008202506867527751
2025-10-16,etx_vs_tab,0.013956666689398212,0.00023172862259830017
2025-10-16,dist_vs_tab,-0.0034603994066947693,-0.00207574739513314
2025-10-16,other_vs_tab,0.013338928055592556,0.0002842826268568765
2025-10-16,rank_seq_tab_abs,-0.0038573018462661163,-0.005186706040416839
2025-10-16,rank_etx_tab_abs,0.0004179886616273497,-1.414037727064942e-05
2025-10-16,fraction_unusually_high,-0.010381126851443512,-0.008224437828951964
2025-10-16,fraction_unusually_low,-3.1696941667801924e-05,-0.004705450241157579
2025-10-16,max_minus_mean,0.00030133776743903397,-0.0016168280990680184
2025-10-16,mean_minus_min,-0.008644994102736576,0.003861902911231582
