top_abs_residual_pct,train_crossfit_AUC,purged_latest_AUC,train_crossfit_scalar,purged_latest_post_projection_rho,purged_latest_Delta_MSE,purged_latest_post_projection_rms,bootstrap_CI95,bootstrap_P_Delta_MSE_lt_0,bootstrap_mean
5,0.7395479142234476,0.7062487043282304,1.24162044693386,0.0027740531661205937,-4.893691597160944e-06,0.009125859601096522,"[-0.0001651870328108364, 0.0001539891422857174]",0.5365,-5.8310326288748046e-06
10,0.7234267502358556,0.6940360909049159,0.7256975710369922,-0.0006313652305563422,0.00013650688345191207,0.010635708475323085,"[-4.959133219939502e-05, 0.00032149650595918736]",0.084,0.0001330435071020555
20,0.7419335776082722,0.72660580144031,0.8584221934396922,-0.0036896788321259056,0.0009750160805243582,0.02545390832331443,"[0.0005248323750082661, 0.0014290605705448828]",0.0,0.0009732272639909724
