cutoff,top_abs_residual_pct,AUC,mean_predicted_probability,true_share
2025-09-04,5,0.7393197617650665,0.05002019926905632,0.05000053045332541
2025-09-18,5,0.7004700202805294,0.05004998296499252,0.05000392618767177
2025-10-02,5,0.7064965728750339,0.050002653151750565,0.05000154883475998
2025-10-16,5,0.7117279176258638,0.04999096319079399,0.0500002533197554
2025-09-04,10,0.7235300778932803,0.09996526688337326,0.10000106090665083
2025-09-18,10,0.6840250253048514,0.10012651979923248,0.10000261745844785
2025-10-02,10,0.6928155447691046,0.10012286901473999,0.10000309766951997
2025-10-16,10,0.7033861337302987,0.09991267323493958,0.1000005066395108
2025-09-04,20,0.7419395260375149,0.2001001387834549,0.20000212181330165
2025-09-18,20,0.7139334225071041,0.20015187561511993,0.2
2025-10-02,20,0.7204785902020491,0.20011308789253235,0.20000103255650664
2025-10-16,20,0.7300917779226621,0.20006120204925537,0.2000010132790216
