cutoff,state,share,signed_residual,MSE_contribution,mean_disagreement_std,best_production_family,MSE_SEQ,MSE_ETX,MSE_TAB,MSE_OTHER
2025-09-04,0,0.11220148739112445,-0.1297094567759694,0.05378267360005017,0.0865970179438591,OTHER,1.4939921200703925,1.5103984873296474,1.5053063020378743,1.4914862277619756
2025-09-04,1,0.28785580156802004,-0.08501426498682756,0.24042394176872325,0.1486528217792511,OTHER,2.619622469339783,2.632218132470673,2.621378855309299,2.611500569068339
2025-09-04,2,0.2780636331809164,-0.1326197167654612,0.3135380112696675,0.14230544865131378,SEQ,3.524043648537757,3.565402430309092,3.537983484637824,3.526245819356446
2025-09-04,3,0.3218790778599391,-0.15008654323164586,0.392255373361559,0.15976814925670624,OTHER,3.80981953051595,3.862012692772088,3.822982468583386,3.8044086523020417
2025-09-18,0,0.1086454652532391,0.1483865733479614,0.053708560750852265,0.09117389470338821,OTHER,1.534631952072365,1.5371525808440358,1.5367335972537854,1.5253506643971209
2025-09-18,1,0.2850045805522837,0.16991919542974038,0.2319678664916356,0.14506743848323822,OTHER,2.5198589386356343,2.5251355526944614,2.51955759073659,2.515847123592495
2025-09-18,2,0.2858788116738647,0.1511243758980362,0.32618395742964423,0.14009012281894684,OTHER,3.5489604436453845,3.584553589680647,3.554178962483285,3.543444614973137
2025-09-18,3,0.3204711425206125,0.16471867138658208,0.38813961532786795,0.1538456231355667,OTHER,3.762718606824683,3.797108238166027,3.770142008589721,3.7568084782300306
2025-10-02,0,0.10616746001424927,0.09010218037612412,0.051416389095797516,0.09970644116401672,OTHER,1.4883465797675317,1.4820529621787395,1.4925830725104359,1.4811992218289751
2025-10-02,1,0.284040806633143,0.1038228188109302,0.2300420624808563,0.14072127640247345,ETX,2.485541800851208,2.472960857290242,2.474731124971098,2.4812286139447837
2025-10-02,2,0.2937106983179654,0.08224046742258616,0.33390293351618483,0.13691236078739166,OTHER,3.485502073339375,3.5010494892289166,3.493243310669553,3.4828233392070986
2025-10-02,3,0.31608103503464224,0.11574044846773128,0.38463861490716134,0.14814311265945435,OTHER,3.731871499432051,3.726736315076831,3.729069323531741,3.722995872419836
2025-10-16,0,0.10454506305128712,0.021390113444526522,0.04885694273972156,0.09941257536411285,ETX,1.427073694729824,1.416371435559823,1.4353042235340019,1.4217204258181197
2025-10-16,1,0.29249312236864106,0.01675599745781059,0.23873875004891854,0.14662517607212067,ETX,2.4883795902294947,2.4777928673156313,2.4794513863110845,2.4809501527407845
2025-10-16,2,0.28957994518160496,0.03580448218307057,0.32674491535402866,0.1373809427022934,OTHER,3.42612390157222,3.4295122133620644,3.434013373818887,3.4244083532844662
2025-10-16,3,0.3133818693984669,0.05958424902401438,0.38565939185733117,0.15012772381305695,OTHER,3.7369433347599976,3.733165401429238,3.7375088497760913,3.732443602776206
